energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,timestamp,hyperparam_alpha,hyperparam_kfold,hyperparam_max_iter,hyperparam_seed,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy
64593.09,2465.38,67058.47,87.96602272727264,97.47,70.79,69669.08999999994,63.39141414141414,66.0,3.689393939393939,14.0,True,2025-12-15T07:02:27.959127,,,3816.0,,0.377,0.624,0.735,0.824
64720.99,2478.13,67199.12,87.39060682680152,94.92,72.89,69125.97,61.60303413400759,63.0,3.719342604298357,14.0,True,2025-12-15T07:20:24.259053,,,2553.0,,0.378,0.626,0.738,0.826
65142.66,2494.92,67637.58,86.85396745932414,93.37,67.76,69396.31999999999,61.15519399249062,62.0,3.6833541927409263,14.0,True,2025-12-15T07:38:26.044387,,,10862.0,,0.378,0.626,0.739,0.827
65196.13,2467.75,67663.88,86.74177722152689,93.46,47.42,69306.67999999998,61.15894868585732,62.0,3.65081351689612,14.0,True,2025-12-15T07:56:29.357353,,,2994.0,,0.381,0.628,0.74,0.829
64363.63,2388.74,66752.37,86.72240811153367,94.24,50.7,68423.98000000007,61.00380228136882,62.0,3.719898605830165,14.0,True,2025-12-15T08:14:20.078398,,,,1765.0,0.364,0.621,0.736,0.825
64950.09,2417.81,67367.9,86.94445979899506,94.46,67.28,69207.79000000007,61.11306532663317,62.0,3.6608040201005023,14.0,True,2025-12-15T08:32:18.870694,,,,7329.0,0.379,0.625,0.738,0.826
63808.41,2386.97,66195.38,87.10933842239189,93.74,74.46,68467.94000000002,61.39312977099237,62.0,3.746819338422392,14.0,True,2025-12-15T08:50:02.526708,,,,3568.0,0.382,0.63,0.74,0.828
64759.86,2434.61,67194.47,86.99903430749677,94.11,67.49,68468.23999999996,61.53240152477764,62.0,3.583227445997459,14.0,True,2025-12-15T09:07:57.247614,,,,6241.0,0.385,0.631,0.741,0.828
55583.48,2160.52,57744.0,74.8984375,85.31,45.06,26364.25,57.76988636363637,63.0,0.2840909090909091,3.0,False,2025-12-18T17:25:21.519509,5.033537731186141e-06,,,,0.376,0.626,0.738,0.829
54792.96,2150.93,56943.89,73.04801699716712,81.28,42.41,25785.949999999997,51.61756373937677,53.0,0.320113314447592,3.0,False,2025-12-18T17:40:24.817993,6.29612070458038e-06,,,,0.379,0.627,0.738,0.827
55697.33,2199.77,57897.1,72.78823033707867,80.92,57.9,25912.610000000008,50.0,50.0,0.2837078651685393,3.0,False,2025-12-18T17:55:39.784238,1.2757580838407052e-05,,,,0.382,0.626,0.738,0.826
55825.36,2228.45,58053.81,71.72331476323117,80.08,43.33,25748.66999999999,49.05571030640669,50.0,0.1532033426183844,3.0,False,2025-12-18T18:10:57.551941,1.4671027653833652e-05,,,,0.383,0.628,0.74,0.829
54309.78,2154.74,56464.52,71.902939481268,80.63,42.48,24950.32,49.0,49.0,0.270893371757925,3.0,False,2025-12-18T18:25:51.818810,1.5714756574404907e-05,,,,0.382,0.626,0.736,0.825
36760.64,1468.7,38229.34,72.40201646090537,80.54,42.21,17593.690000000006,49.06995884773662,50.0,0.2510288065843621,3.0,False,2025-12-18T18:36:23.542829,,7.0,,,0.384,0.63,0.741,0.83
43880.24,1767.02,45647.26,72.43045614035087,80.67,41.31,20642.68,49.82105263157895,50.0,0.287719298245614,3.0,False,2025-12-18T18:48:42.003704,,8.0,,,0.384,0.627,0.74,0.828
18949.23,787.36,19736.59,72.20785185185187,80.52,43.28,9748.060000000003,49.39259259259259,50.0,0.1481481481481481,3.0,False,2025-12-18T18:54:46.595001,,4.0,,,0.367,0.617,0.731,0.821
6949.01,307.71,7256.72,71.89684210526318,73.88,57.22,4098.120000000001,49.0,49.0,0.0,0.0,False,2025-12-18T18:57:48.810922,,2.0,,,0.381,0.629,0.744,0.833
13464.16,557.08,14021.24,72.22525252525251,79.95,46.05,7150.299999999999,49.0,49.0,0.2424242424242424,3.0,False,2025-12-18T19:02:29.861416,,3.0,,,0.376,0.624,0.737,0.826
56221.07,2208.33,58429.4,71.63606648199445,80.19,42.46,25860.619999999995,48.99445983379501,49.0,0.2659279778393352,3.0,False,2025-12-18T19:17:53.007898,,,19688.0,,0.383,0.627,0.739,0.827
55216.68,2174.93,57391.61,71.68346478873237,79.84,40.91,25447.62999999999,48.98309859154929,49.0,0.276056338028169,3.0,False,2025-12-18T19:33:01.163684,,,13681.0,,0.382,0.629,0.741,0.829
55567.46,2221.71,57789.17,71.4614285714286,80.11,48.42,25511.73000000001,48.66666666666666,49.0,0.2240896358543417,3.0,False,2025-12-18T19:48:18.314928,,,19784.0,,0.379,0.627,0.739,0.827
53787.89,2158.72,55946.61,71.77476878612723,79.94,57.51,24834.07000000002,48.29190751445087,49.0,0.2341040462427745,3.0,False,2025-12-18T20:03:07.299406,,,1097.0,,0.384,0.63,0.74,0.829
54769.1,2151.56,56920.66,72.01282485875701,79.97,41.48,25492.539999999983,48.02824858757062,49.0,0.2994350282485876,3.0,False,2025-12-18T20:18:11.746037,,,6563.0,,0.383,0.629,0.741,0.829
54681.35,2108.92,56790.27,71.33056338028165,79.66,50.89,25322.349999999984,48.0,48.0,0.2816901408450704,3.0,False,2025-12-18T20:33:14.814882,,,,2549.0,0.385,0.626,0.74,0.828
53772.88,2087.33,55860.21,71.22102272727268,79.74,37.93,25069.799999999985,48.0,48.0,0.2443181818181818,3.0,False,2025-12-18T20:48:06.757274,,,,519.0,0.386,0.627,0.738,0.826
54316.89,2092.17,56409.06,71.04341880341885,79.12,48.8,24936.240000000013,48.0,48.0,0.2193732193732193,3.0,False,2025-12-18T21:03:00.700753,,,,1888.0,0.383,0.627,0.738,0.827
54581.62,2100.11,56681.73,70.64946327683613,79.32,42.51,25009.90999999999,48.03107344632768,49.0,0.2457627118644068,3.0,False,2025-12-18T21:18:01.056464,,,,3609.0,0.385,0.632,0.742,0.83
54383.92,2100.16,56484.08,71.52962536023058,80.19,41.96,24820.78000000001,48.80115273775216,49.0,0.2968299711815562,3.0,False,2025-12-18T21:32:58.258404,,,,475.0,0.378,0.624,0.74,0.831
80614.62,3067.34,83681.96,4.107469758064515,4.79,3.71,4074.609999999999,37.55342741935484,47.0,0.0,0.0,True,2025-12-18T21:54:56.080102,1.7422214989398934e-05,,,,0.382,0.628,0.74,0.829
