,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,hyperparam_seed,hyperparam_l2_regularization,hyperparam_kfold,hyperparam_epochs,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,hyperparam_l2_regularization_x_is_parallel,hyperparam_kfold_x_is_parallel
energy_cpu_pkg_joules,0.0,0.7,0.5,0.07,0.04,0.42999998,0.65999997,0.099999994,0.07,0.11,0.17,0.42999998,0.0,0.0,0.48999998,0.0,0.0,0.0,0.0,0.0,0.0,0.34
energy_cpu_ram_joules,0.29999998,0.0,0.29,0.089999996,0.07,0.22,0.65,0.04,0.02,0.14,0.65,0.0,0.0,0.0,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.01
energy_cpu_total_joules,0.5,0.71,0.0,0.089999996,0.0,0.47,0.72999996,0.12,0.049999997,0.049999997,0.13,0.41,0.0,0.0,0.47,0.0,0.0,0.0,0.0,0.0,0.0,0.29999998
energy_gpu_avg_watts,0.0,0.02,0.0,0.0,0.58,0.44,0.31,0.47,0.37,0.25,0.44,0.099999994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_max_watts,0.0,0.04,0.0,0.42999998,0.0,0.16,0.45999998,0.32,0.13,0.28,0.45,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_min_watts,0.0,0.24,0.0,0.55,0.24,0.0,0.089999996,0.35999998,0.06,0.07,0.04,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01
energy_gpu_total_joules,0.17999999,0.32999998,0.049999997,0.21,0.52,0.06,0.0,0.01,0.02,0.21,0.53,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0
energy_gpu_temp_avg_celsius,0.0,0.049999997,0.0,0.53,0.59,0.64,0.17,0.0,0.48999998,0.26,0.37,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_temp_max_celsius,0.0,0.01,0.0,0.16,0.16,0.26,0.099999994,0.51,0.0,0.22999999,0.25,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
energy_gpu_util_avg_percent,0.22999999,0.78,0.02,0.41,0.71999997,0.29999998,0.78,0.57,0.53,0.0,0.72999996,0.03,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01
energy_gpu_util_max_percent,0.0,0.22999999,0.0,0.45999998,0.53,0.049999997,0.47,0.099999994,0.22,0.26999998,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
is_parallel,0.02,0.02,0.03,0.61,0.72999996,0.29999998,0.01,0.58,0.56,0.06,0.74,0.0,0.0,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_seed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_l2_regularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.45999998,0.0
hyperparam_kfold,0.02,0.01,0.03,0.01,0.0,0.06,0.0,0.0,0.0,0.01,0.02,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.03,0.37
hyperparam_epochs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0
perf_top1_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.48,0.14,0.42999998,0.0,0.0
perf_top5_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52,0.0,0.45,0.26,0.0,0.0
perf_top10_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.55,0.0,0.53,0.0,0.0
perf_top20_accuracy,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.099999994,0.14999999,0.47,0.0,0.0,0.0
hyperparam_l2_regularization_x_is_parallel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.53999996,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17
hyperparam_kfold_x_is_parallel,0.02,0.03,0.01,0.0,0.0,0.44,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.22,0.63,0.0,0.0,0.0,0.0,0.0,0.28,0.0
