source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation,ate,ate_ci_lower,ate_ci_upper,ate_is_significant,ate_confounders_count
hyperparam_batch_size_x_is_parallel,energy_gpu_min_watts,0.949999988079071,moderation,yes,very_strong,interaction,mediator,other,并行模式调节batch_size对gpu_min_watts的效应,-3.6606819968447724,-4.378175668226348,-2.943188325463197,True,1
hyperparam_batch_size_x_is_parallel,perf_test_accuracy,0.75,moderation,yes,very_strong,interaction,performance,other,并行模式调节batch_size对test_accuracy的效应,29.10816537233555,23.40296495935778,34.813365785313316,True,9
hyperparam_batch_size_x_is_parallel,energy_gpu_temp_avg_celsius,0.6000000238418579,moderation,yes,very_strong,interaction,mediator,other,并行模式调节batch_size对gpu_temp_avg_celsius的效应,0.5703939758418306,0.4585967565768318,0.6821911951068294,True,2
energy_cpu_total_joules,energy_cpu_pkg_joules,0.550000011920929,mediator,yes,very_strong,energy,energy,Q3,cpu_total_joules通过某种机制影响cpu_pkg_joules,0.9957762908353688,0.8006041378316364,1.1909484438391011,True,2
model_mnist_ff,perf_test_accuracy,0.550000011920929,control_effect,yes,very_strong,control,performance,other,模型控制变量的影响,-1.6926641745404556,-2.024426352750385,-1.3609019963305262,True,9
hyperparam_batch_size_x_is_parallel,energy_gpu_avg_watts,0.550000011920929,moderation,yes,very_strong,interaction,mediator,other,并行模式调节batch_size对gpu_avg_watts的效应,0.10129853656802613,0.08144402340069301,0.12115304973535926,True,2
energy_gpu_avg_watts,energy_gpu_min_watts,0.550000011920929,mediator,yes,very_strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_min_watts,1.832018746025748,1.4729430718047014,2.191094420246795,True,3
model_siamese,perf_test_accuracy,0.5,control_effect,yes,strong,control,performance,other,模型控制变量的影响,0.685882044978906,0.5514491641630405,0.8203149257947716,True,9
energy_gpu_temp_avg_celsius,energy_gpu_total_joules,0.4500000178813934,mediator,yes,strong,mediator,energy,Q3,gpu_temp_avg_celsius通过某种机制影响gpu_total_joules,0.4098307782850862,0.3295039457412093,0.4901576108289631,True,5
model_siamese,energy_gpu_max_watts,0.4500000178813934,control_effect,yes,strong,control,mediator,other,模型控制变量的影响,-0.07049037001313811,-0.08430648253571318,-0.05667425749056304,True,6
energy_cpu_total_joules,energy_cpu_ram_joules,0.4500000178813934,mediator,yes,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响cpu_ram_joules,0.994064564954716,0.7992279102235916,1.1889012196858402,True,1
hyperparam_batch_size_x_is_parallel,energy_gpu_max_watts,0.4500000178813934,moderation,yes,strong,interaction,mediator,other,并行模式调节batch_size对gpu_max_watts的效应,3.0970475083066993,2.490026196678586,3.7040688199348124,True,6
energy_gpu_util_avg_percent,energy_gpu_util_max_percent,0.4500000178813934,mediator,yes,strong,mediator,mediator,Q3,gpu_util_avg_percent通过某种机制影响gpu_util_max_percent,,,,,0
energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_avg_celsius通过某种机制影响gpu_temp_max_celsius,0.7763398655304597,0.6241772518864896,0.9285024791744299,True,3
energy_gpu_min_watts,perf_test_accuracy,0.4000000059604645,irrelevant,yes,strong,mediator,performance,Q2,gpu_min_watts → test_accuracy,-0.384136070970635,-0.4594267408808795,-0.30884540106039055,True,9
energy_gpu_temp_max_celsius,perf_test_accuracy,0.4000000059604645,irrelevant,yes,strong,mediator,performance,Q2,gpu_temp_max_celsius → test_accuracy,0.2955616232029138,0.2376315450551427,0.3534917013506849,True,10
energy_gpu_avg_watts,perf_test_accuracy,0.4000000059604645,irrelevant,yes,strong,mediator,performance,Q2,gpu_avg_watts → test_accuracy,-0.01636261375765152,-0.019569686054151218,-0.013155541461151821,True,9
energy_gpu_avg_watts,energy_gpu_max_watts,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_max_watts,0.5807270473788302,0.4669045460925795,0.6945495486650809,True,8
