experiment_id,timestamp,training_duration,hyperparam_dropout,hyperparam_epochs,hyperparam_learning_rate,hyperparam_seed,hyperparam_weight_decay,energy_cpu_total_joules,energy_gpu_total_joules,energy_gpu_avg_watts,gpu_util_avg,gpu_temp_max,cpu_pkg_ratio,gpu_power_fluctuation,gpu_temp_fluctuation,perf_accuracy,perf_precision,perf_recall
default__MRT-OAST_default_001,2025-11-18T20:37:37.187907,10.0,0.2,10.0,0.0001,1334.0,0.0,39987.66,331876.3299999997,270.25759771986947,92.68485342019544,83.0,0.9273648420537736,251.56,5.089576547231275,,0.9834,0.808854
default__MRT-OAST_default_015_parallel,2025-11-19T03:33:26.374038,10.0,0.2,10.0,0.0001,1334.0,0.0,61053.72,303567.8299999995,234.4153127413124,90.2138996138996,84.0,0.9473491541547344,311.24,4.911969111969114,,0.9834,0.808854
mutation_1x__MRT-OAST_default_033,2025-11-21T00:48:38.514460,8.0,,8.0,,,,32979.83,240764.98000000016,238.1453808110783,92.63402571711175,84.0,0.9274911362490346,240.03,4.328387734915921,,0.976605,0.742656
mutation_1x__MRT-OAST_default_034,2025-11-21T01:11:30.339925,,,,7.493787623088474e-05,,,41519.05,293020.11,230.3617216981132,92.84433962264151,84.0,0.9271686129620018,239.6,4.945754716981128,,0.980371,0.743897
mutation_1x__MRT-OAST_default_035,2025-11-21T01:34:25.043483,,0.0468958763946409,,,,,41494.79,290523.6500000003,228.0405416012561,93.04945054945055,84.0,0.9270450579458288,240.37,5.299843014128726,,0.999127,0.947042
mutation_1x__MRT-OAST_default_036,2025-11-21T01:57:21.684167,,,,,,0.0003845119009305,41652.1,294824.26999999944,231.0535031347958,92.89968652037618,84.0,0.9268598702106258,240.39,4.73510971786834,,0.981283,0.759206
mutation_1x__MRT-OAST_default_037,2025-11-21T02:20:14.256490,,,,,9748.0,,41423.67,292026.30000000016,229.580424528302,92.85849056603772,84.0,0.9274755230524,241.02,4.81996855345912,,0.985908,0.781547
mutation_1x__MRT-OAST_default_038_parallel,2025-11-21T02:39:39.090771,8.0,,8.0,,,,49013.98,239097.7199999998,229.02080459770096,89.86111111111111,84.0,0.9475843422631663,310.6,4.77107279693486,,0.976605,0.742656
mutation_1x__MRT-OAST_default_039_parallel,2025-11-21T03:03:27.300242,,,,0.0001274739700677,,,61305.74,298455.61,229.75797536566589,90.49576597382602,84.0,0.9476120833057394,313.69,4.553502694380299,,0.987276,0.866777
mutation_1x__MRT-OAST_default_040_parallel,2025-11-21T03:27:16.772326,,0.1016033768273681,,,,,61242.41,294642.5299999996,226.47388931591053,90.54727132974637,84.0,0.9478255346254336,311.76,4.740199846272105,,0.994893,0.886636
mutation_1x__MRT-OAST_default_041_parallel,2025-11-21T03:51:12.759827,,,,,,8.693354241354567e-05,61537.41,302824.4000000006,231.6942616679424,89.9778117827085,84.0,0.9472281982618378,313.59000000000003,3.891354246365722,,0.983665,0.797269
mutation_1x__MRT-OAST_default_042_parallel,2025-11-21T04:15:04.511796,,,,,2182.0,,61517.23,297533.0500000001,228.3446277820416,90.26784343821949,84.0,0.9465826078319846,310.72,4.355333844973146,,0.983556,0.791891
MRT-OAST_default_001,2025-11-26T23:05:10.088419,8.0,0.2,8.0,0.0001,1334.0,0.0,32862.98,263782.4999999997,263.25598802395183,91.23552894211576,83.0,0.9290700356449718,248.63,5.017964071856284,0.867,0.976605,0.742656
MRT-OAST_default_002,2025-11-26T23:32:14.385068,12.0,0.2,12.0,0.0001,1334.0,0.0,49752.34,361211.31999999966,238.4233135313529,92.92541254125412,84.0,0.9293844269435368,241.48,4.467986798679874,0.9244,0.9272,0.7978
MRT-OAST_default_003,2025-11-26T23:55:07.223177,10.0,0.2,10.0,8.51351160044323e-05,1334.0,0.0,41757.7,298177.63000000064,234.78553543307137,92.8007874015748,84.0,0.9291246883808256,238.75,4.8535433070866105,0.883,0.9253,0.7854
MRT-OAST_default_004,2025-11-27T00:17:51.991618,10.0,0.2,10.0,0.0001149593337697,1334.0,0.0,41493.87,300727.7199999996,238.29454833597435,92.86291600633916,84.0,0.9289128731545164,239.25,4.266244057052305,0.9186,0.985039,0.844435
MRT-OAST_default_005,2025-11-27T00:40:39.697491,10.0,0.2,10.0,0.0001,2339.0,0.0,41494.99,299031.3299999998,236.3884031620552,92.71304347826089,84.0,0.9285236603262226,240.9,4.509881422924906,0.8866,0.98178,0.781
MRT-OAST_default_006,2025-11-27T01:03:23.512587,10.0,0.2,10.0,0.0001,4162.0,0.0,41453.94,303059.8500000001,240.3329500396512,92.84694686756542,84.0,0.9286656467394896,239.36,4.158604282315622,0.9034,0.9158,0.8117
MRT-OAST_default_007,2025-11-27T01:26:07.887870,10.0,0.1245567496292607,10.0,0.0001,1334.0,0.0,41558.93,301697.3300000005,239.25244250594804,92.8366375892149,84.0,0.9289981719933598,240.14,4.333068992862806,0.9358,0.9431,0.84
MRT-OAST_default_008,2025-11-27T01:48:51.027370,10.0,0.1227548947489133,10.0,0.0001,1334.0,0.0,41568.12,303269.6500000002,240.6901984126985,92.7936507936508,84.0,0.9290261383002166,241.25,4.146031746031753,0.935,0.9453,0.8337
MRT-OAST_default_009,2025-11-27T02:11:44.734547,10.0,0.2,10.0,0.0001,1334.0,0.0004471895224744,41983.95,302104.9100000001,237.87788188976384,92.88031496062992,84.0,0.928887824990264,241.52000000000004,4.795275590551185,0.872,0.93,0.7946
MRT-OAST_default_010,2025-11-27T02:34:35.446016,10.0,0.2,10.0,0.0001,1334.0,0.0003279362511734,41783.5,302200.63999999984,238.32858044164024,92.72003154574132,84.0,0.9283999664939512,241.82,4.433753943217667,0.878,0.9323,0.7962
MRT-OAST_default_001,2025-12-02T19:20:10.686027,10.0,0.0427058613029471,10.0,0.0001,1334.0,0.0,41399.79,315153.4300000002,250.51941971383167,92.181240063593,84.0,0.9280870748378192,250.31,5.7496025437201865,0.9726,0.999124,0.944146
MRT-OAST_default_001,2025-12-03T23:20:40.746427,12.0,0.2,12.0,0.0001,1334.0,0.0,48845.5,384392.9999999996,258.5023537323467,92.86953597848016,84.0,0.9284789796398848,250.22000000000003,5.758574310692666,0.9244,0.986171,0.855606
MRT-OAST_default_013_parallel,2025-12-04T18:41:35.839824,5.0,0.2,5.0,0.0001,1334.0,0.0,30755.91,181233.69999999992,234.15206718346244,93.32558139534883,84.0,0.9375859794101362,223.43,3.041343669250651,0.8242,0.9426,0.8053
MRT-OAST_default_014_parallel,2025-12-04T19:09:19.172066,10.0,0.2,10.0,8.664548306003103e-05,1334.0,0.0,60841.11,359423.0800000004,234.91704575163425,94.55816993464052,84.0,0.937342201679095,224.66,3.256862745098033,0.8856,0.9248,0.795
MRT-OAST_default_015_parallel,2025-12-04T19:37:05.321991,10.0,0.1525213828442002,10.0,0.0001,1334.0,0.0,61129.92,357667.1400000004,233.3118982387478,94.6464448793216,84.0,0.9374537051578016,227.41000000000005,3.840834964122635,0.9182,0.9381,0.8285
