hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_map,perf_rank1,perf_rank5,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,64.0,0.5,60.0,5.0,0.05,100.0,1334.0,0.0005,0.753173,0.909145,0.96348,104651.9,8679.65,113331.55,237.7468260038235,290.61,11.67,746049.539999998,77.97673677501594,83.0,84.33556405353728,99.0,3226.2696459293365
0.1,64.0,0.5,60.0,5.0,0.05,100.0,1334.0,0.0005,0.748936,0.900238,0.962886,132745.23,10850.82,143596.05,248.81575066698963,255.93,13.01,1025867.3399999982,81.33737569730779,83.0,67.2406015037594,80.0,4236.888918638229
0.1,64.0,0.5,60.0,5.0,0.05,100.0,1334.0,0.0005,0.775227,0.924881,0.971496,142080.75,11084.26,153165.01,235.84919196748768,318.17,11.81,986557.170000001,79.8508247669137,84.0,96.90341859909157,100.0,4300.007735013962
0.1,64.0,0.0,46.0,5.0,0.1,100.0,42.0,0.0005,0.740731,0.901722,0.95962,57180.76,4365.94,61546.7,248.75240796620392,276.02,12.15,412182.7399999999,82.38684369342185,84.0,70.55340977670488,81.0,1708.4909327030182
0.1,64.0,0.0,60.0,5.0,0.0484905603406257,100.0,42.0,0.0005,0.725261,0.889549,0.960808,73680.32,5596.21,79276.53,248.8821162021729,277.4,14.06,526883.4400000001,82.31459612659424,84.0,71.5375531412376,77.0,2179.722060918808
0.1,64.0,0.3924889517665705,60.0,5.0,0.1,100.0,42.0,0.0005,0.73947,0.89905,0.965558,73515.01,5650.06,79165.07,248.3640340909092,278.49,14.25,524544.8400000002,82.27698863636364,84.0,71.88873106060606,80.0,2174.1657547950745
0.1,64.0,0.0,60.0,5.0,0.1,100.0,9598.0,0.0005,0.730582,0.896675,0.960214,106959.24,8629.64,115588.88,227.73355793450875,290.62,13.64,723281.7799999998,78.1146095717884,83.0,84.42569269521411,99.0,3266.427503347397
0.1,64.0,0.0,70.0,5.0,0.1,100.0,42.0,0.0005,0.748533,0.900534,0.964667,150837.35,12004.6,162841.95,244.8376846437081,257.57,14.85,1130415.5900000003,82.0296729478016,83.0,64.76803118908381,75.0,4744.542356491089
0.1,64.0,0.0,60.0,5.0,0.0303077455878521,100.0,42.0,0.0005,0.772271,0.907067,0.964074,130200.57,10317.47,140518.04,246.22514070351755,259.1,12.7,979976.0599999998,81.9821608040201,83.0,64.22035175879397,76.0,4090.870791196823
0.1,64.0,0.3932513830936284,60.0,5.0,0.1,100.0,42.0,0.0005,0.76057,0.911817,0.968824,130743.55,10217.25,140960.8,245.14544427710865,254.75,13.71,976659.4500000008,81.81501004016064,83.0,64.03589357429719,75.0,4096.270125865936
