hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_top1_accuracy,perf_top5_accuracy,perf_top10_accuracy,perf_top20_accuracy,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
5.033537731186141e-06,32.0,0.0,50.0,5.0,0.001,100.0,42.0,0.0,0.376,0.626,0.738,0.829,55583.48,2160.52,57744.0,74.8984375,85.31,45.06,26364.25,57.76988636363637,63.0,0.2840909090909091,3.0,851.6046724319458
6.29612070458038e-06,32.0,0.0,50.0,5.0,0.001,100.0,42.0,0.0,0.379,0.627,0.738,0.827,54792.96,2150.93,56943.89,73.04801699716712,81.28,42.41,25785.949999999997,51.61756373937677,53.0,0.320113314447592,3.0,840.2310287952423
1.2757580838407052e-05,32.0,0.0,50.0,5.0,0.001,100.0,42.0,0.0,0.382,0.626,0.738,0.826,55697.33,2199.77,57897.1,72.78823033707867,80.92,57.9,25912.610000000008,50.0,50.0,0.2837078651685393,3.0,851.9308171272278
1.4671027653833652e-05,32.0,0.0,50.0,5.0,0.001,100.0,42.0,0.0,0.383,0.628,0.74,0.829,55825.36,2228.45,58053.81,71.72331476323117,80.08,43.33,25748.66999999999,49.05571030640669,50.0,0.1532033426183844,3.0,854.73273396492
1.5714756574404907e-05,32.0,0.0,50.0,5.0,0.001,100.0,42.0,0.0,0.382,0.626,0.736,0.825,54309.78,2154.74,56464.52,71.902939481268,80.63,42.48,24950.32,49.0,49.0,0.270893371757925,3.0,831.2314999103546
0.1,32.0,0.0,50.0,7.0,0.001,100.0,42.0,0.0,0.384,0.63,0.741,0.83,36760.64,1468.7,38229.34,72.40201646090537,80.54,42.21,17593.690000000006,49.06995884773662,50.0,0.2510288065843621,3.0,568.6887843608856
0.1,32.0,0.0,50.0,8.0,0.001,100.0,42.0,0.0,0.384,0.627,0.74,0.828,43880.24,1767.02,45647.26,72.43045614035087,80.67,41.31,20642.68,49.82105263157895,50.0,0.287719298245614,3.0,675.425971031189
0.1,32.0,0.0,50.0,4.0,0.001,100.0,42.0,0.0,0.367,0.617,0.731,0.821,18949.23,787.36,19736.59,72.20785185185187,80.52,43.28,9748.060000000003,49.39259259259259,50.0,0.1481481481481481,3.0,301.5569911003113
0.1,32.0,0.0,50.0,2.0,0.001,100.0,42.0,0.0,0.381,0.629,0.744,0.833,6949.01,307.71,7256.72,71.89684210526318,73.88,57.22,4098.120000000001,49.0,49.0,0.0,0.0,119.18197321891785
0.1,32.0,0.0,50.0,3.0,0.001,100.0,42.0,0.0,0.376,0.624,0.737,0.826,13464.16,557.08,14021.24,72.22525252525251,79.95,46.05,7150.299999999999,49.0,49.0,0.2424242424242424,3.0,218.01631951332087
0.1,32.0,0.0,50.0,5.0,0.001,19688.0,42.0,0.0,0.383,0.627,0.739,0.827,56221.07,2208.33,58429.4,71.63606648199445,80.19,42.46,25860.619999999995,48.99445983379501,49.0,0.2659279778393352,3.0,860.1108856201172
0.1,32.0,0.0,50.0,5.0,0.001,13681.0,42.0,0.0,0.382,0.629,0.741,0.829,55216.68,2174.93,57391.61,71.68346478873237,79.84,40.91,25447.62999999999,48.98309859154929,49.0,0.276056338028169,3.0,845.1205389499664
0.1,32.0,0.0,50.0,5.0,0.001,19784.0,42.0,0.0,0.379,0.627,0.739,0.827,55567.46,2221.71,57789.17,71.4614285714286,80.11,48.42,25511.73000000001,48.66666666666666,49.0,0.2240896358543417,3.0,854.1158194541931
0.1,32.0,0.0,50.0,5.0,0.001,1097.0,42.0,0.0,0.384,0.63,0.74,0.829,53787.89,2158.72,55946.61,71.77476878612723,79.94,57.51,24834.07000000002,48.29190751445087,49.0,0.2341040462427745,3.0,825.94904255867
0.1,32.0,0.0,50.0,5.0,0.001,6563.0,42.0,0.0,0.383,0.629,0.741,0.829,54769.1,2151.56,56920.66,72.01282485875701,79.97,41.48,25492.539999999983,48.02824858757062,49.0,0.2994350282485876,3.0,841.4112598896027
0.1,32.0,0.0,50.0,5.0,0.001,100.0,2549.0,0.0,0.385,0.626,0.74,0.828,54681.35,2108.92,56790.27,71.33056338028165,79.66,50.89,25322.349999999984,48.0,48.0,0.2816901408450704,3.0,840.0331673622131
0.1,32.0,0.0,50.0,5.0,0.001,100.0,519.0,0.0,0.386,0.627,0.738,0.826,53772.88,2087.33,55860.21,71.22102272727268,79.74,37.93,25069.799999999985,48.0,48.0,0.2443181818181818,3.0,828.906819820404
0.1,32.0,0.0,50.0,5.0,0.001,100.0,1888.0,0.0,0.383,0.627,0.738,0.827,54316.89,2092.17,56409.06,71.04341880341885,79.12,48.8,24936.240000000013,48.0,48.0,0.2193732193732193,3.0,830.908492565155
0.1,32.0,0.0,50.0,5.0,0.001,100.0,3609.0,0.0,0.385,0.632,0.742,0.83,54581.62,2100.11,56681.73,70.64946327683613,79.32,42.51,25009.90999999999,48.03107344632768,49.0,0.2457627118644068,3.0,837.3205842971802
0.1,32.0,0.0,50.0,5.0,0.001,100.0,475.0,0.0,0.378,0.624,0.74,0.831,54383.92,2100.16,56484.08,71.52962536023058,80.19,41.96,24820.78000000001,48.80115273775216,49.0,0.2968299711815562,3.0,834.1668319702148
1.0197645461725088e-05,32.0,0.0,50.0,10.0,0.001,3644.0,4484.0,0.0,0.387,0.632,0.742,0.829,55049.64,2087.16,57136.8,74.3531944444445,85.27,41.97,26767.15000000002,57.03611111111111,64.0,0.2833333333333333,3.0,847.07128739357
1.1565177674618187e-05,32.0,0.0,50.0,10.0,0.001,1172.0,2505.0,0.0,0.383,0.632,0.741,0.828,54608.78,2092.02,56700.8,71.6962849162011,80.77,39.03,25667.26999999999,50.21508379888268,52.0,0.2374301675977653,3.0,836.925858259201
1.0961072416777757e-05,32.0,0.0,50.0,2.0,0.001,10461.0,4236.0,0.0,0.385,0.632,0.743,0.83,7031.53,302.92,7334.45,70.35859649122808,78.62,43.21,4010.440000000001,49.0,49.0,0.0175438596491228,1.0,119.98745799064636
6.931451192557236e-06,32.0,0.0,50.0,8.0,0.001,2270.0,3278.0,0.0,0.383,0.629,0.74,0.827,43291.91,1666.48,44958.39,70.6620070422535,79.43,46.43,20068.009999999995,48.28521126760563,49.0,0.1866197183098591,3.0,666.8111519813538
1.82133737145978e-05,32.0,0.0,50.0,9.0,0.001,2183.0,4727.0,0.0,0.383,0.626,0.738,0.828,48186.06,1870.27,50056.33,70.39156050955413,78.93,36.81,22102.95,47.996815286624205,48.0,0.2452229299363057,3.0,744.0221476554871
