hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,duration_seconds
0.1,16.0,0.0,16.0,5.0,2e-05,100.0,42.0,0.0,0.729200005531311,0.8187,49.148,212509.17,14265.12,226774.29,240.4114132503028,319.27,79.92,1389818.3800000006,78.72963155163467,84.0,91.92285071786888,100.0,5932.156472921372
0.1,16.0,0.0,8.0,5.0,2e-05,100.0,42.0,0.0,0.7002695798873901,0.711,49.256,109321.45,7296.02,116617.47,226.83973684210557,318.22,89.3,672352.9800000008,78.85560053981106,84.0,91.21457489878544,100.0,3041.469727754593
0.1,16.0,0.0,15.0,5.0,2e-05,100.0,42.0,0.0,0.701705813407898,0.7059,49.012,201953.97,13514.57,215468.54,230.55586263435995,318.81,89.62,1265521.1300000018,79.42831116779013,84.0,91.79431590453636,100.0,5633.400706291199
0.1,16.0,0.0,18.0,5.0,2e-05,100.0,42.0,0.0,0.8466476202011108,0.708,49.127,241416.4,16126.92,257543.32,233.907870102149,319.72,89.09,1534201.7199999953,79.32977588046958,84.0,91.87162677237384,100.0,6729.83655166626
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,0.0003360288826201,0.7066717147827148,0.7466,49.144,136565.48,9223.67,145789.15,229.88650364766232,318.79,89.27,850809.9499999982,78.95379627127804,84.0,91.89732504728453,100.0,3798.1448016166687
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,4.906997711375702e-05,0.7066717147827148,0.7466,48.878,135927.81,9304.29,145232.1,237.65282732447756,318.98,89.03,876701.2799999976,79.11873136351315,84.0,91.74844131200868,100.0,3786.358268022537
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,1.620273741011439e-05,0.7066717147827148,0.7466,49.141,135642.87,9217.14,144860.01,237.91010589193596,319.46,89.0,876222.92,78.95574260114037,84.0,91.72386641325006,100.0,3779.654055595398
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,7.609946965358083e-05,0.7066717147827148,0.7466,49.095,135441.35,9161.3,144602.65,239.89235582154464,318.93,88.89,881844.2999999981,79.16947769314473,84.0,91.75108813928183,100.0,3772.620518684387
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,679.0,0.0,0.7912367582321167,0.7996,51.78,134041.97,9090.51,143132.48,241.9666694146747,319.13,88.96,880516.7100000012,79.4712833195933,84.0,91.43638362187414,100.0,3734.49330163002
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,6680.0,0.0,0.8963995575904846,0.7721,54.73,134269.63,9242.51,143512.14,241.39537681556607,319.11,88.52,880851.7300000008,79.49054535489175,84.0,91.38366675801588,100.0,3745.01029419899
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,8020.0,0.0,0.6914843916893005,0.7173,54.473,133961.27,9153.49,143114.76,242.33988209487177,319.05,88.35,883813.5499999974,79.8590622429394,84.0,91.40471620510009,100.0,3742.472645998001
0.1,16.0,0.0,3.0,5.0,2e-05,100.0,42.0,0.0,0.7020828127861023,0.8024,49.255,135011.86,9256.11,144267.97,239.44411299126668,319.12,87.65,877323.2300000011,79.4650655021834,84.0,91.41075327510916,100.0,3760.077041864395
0.1,16.0,0.0,18.0,5.0,2e-05,100.0,42.0,0.0,0.8466476202011108,0.708,58.922,258787.49,14973.54,273761.03,225.29712247324483,319.36,4.94,1326324.1599999922,79.3640224222864,84.0,83.5294717173433,100.0,6059.904315710068
0.1,16.0,0.0,12.0,5.0,2e-05,100.0,42.0,0.0,0.6990538239479065,0.726,58.696,173611.09,10015.52,183626.61,226.5865091001014,319.11,4.91,896376.2300000011,79.43882709807886,84.0,83.07406471183013,100.0,4073.090235233307
0.1,16.0,0.0,11.0,5.0,2e-05,100.0,42.0,0.0,0.7006441950798035,0.7054,58.556,160683.6,9252.82,169936.42,218.5263439385633,318.95,4.81,796747.0500000018,79.29484366428963,84.0,83.06006582556226,100.0,3753.467439174652
0.1,16.0,0.0,19.0,5.0,2e-05,100.0,42.0,0.0,0.7151914238929749,0.6898,58.605,273395.9,16131.99,289527.89,224.32410734372573,318.88,4.92,1395968.9200000053,79.58251647115539,84.0,83.45155069901976,100.0,6406.453266620636
0.1,16.0,0.0,9.0,5.0,2e-05,100.0,42.0,0.0,0.8546658754348755,0.8334,58.416,132389.35,7667.17,140056.52,212.6136266666668,319.68,4.94,637840.8800000004,78.70966666666666,85.0,82.99333333333334,100.0,3088.431779384613
0.1,16.0,0.0,3.0,5.0,2.8613808398421448e-05,100.0,42.0,0.0,0.7004393935203552,0.7107,58.553,147199.04,8664.53,155863.57,212.28222754491077,318.51,4.84,709022.6400000019,78.9254491017964,85.0,83.08203592814371,100.0,3438.347673892975
0.1,16.0,0.0,3.0,5.0,3.888216794334247e-05,100.0,42.0,0.0,0.6954760551452637,0.7043,58.468,147252.98,8566.81,155819.79,212.3522255459171,318.88,4.85,709893.4900000008,78.98115465151062,84.0,82.83128926114269,100.0,3441.8901772499084
