source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation,ate,ate_ci_lower,ate_ci_upper,ate_is_significant,ate_confounders_count,ate_global_std,ate_global_std_ci_lower,ate_global_std_ci_upper,ate_global_std_is_significant,ate_global_std_confounders_count
hyperparam_batch_size_x_is_parallel,energy_gpu_min_watts,0.949999988079071,moderation,yes,very_strong,interaction,mediator,other,并行模式调节batch_size对gpu_min_watts的效应,-3.660681996844773,-4.378175668226348,-2.943188325463197,True,1,-4.14364759724662,-4.955802526306957,-3.331492668186282,True,1
hyperparam_batch_size_x_is_parallel,perf_test_accuracy,0.75,moderation,yes,very_strong,interaction,performance,other,并行模式调节batch_size对test_accuracy的效应,29.10816537233555,23.40296495935778,34.81336578531332,True,9,19.8489365417881,15.958544979597631,23.739328103978565,True,9
hyperparam_batch_size_x_is_parallel,energy_gpu_temp_avg_celsius,0.6000000238418579,moderation,yes,very_strong,interaction,mediator,other,并行模式调节batch_size对gpu_temp_avg_celsius的效应,0.5703939758418306,0.4585967565768318,0.6821911951068294,True,2,1.1069022111012468,0.8899493777254024,1.3238550444770911,True,2
energy_cpu_total_joules,energy_cpu_pkg_joules,0.550000011920929,mediator,yes,very_strong,energy,energy,Q3,cpu_total_joules通过某种机制影响cpu_pkg_joules,0.9957762908353688,0.8006041378316364,1.1909484438391011,True,2,1.2815567962255898,1.0303716641653742,1.5327419282858055,True,2
model_mnist_ff,perf_test_accuracy,0.550000011920929,control_effect,yes,very_strong,control,performance,other,模型控制变量的影响,-1.6926641745404556,-2.024426352750385,-1.3609019963305262,True,9,-2.0280874167792904,-2.425592550468031,-1.6305822830905494,True,9
hyperparam_batch_size_x_is_parallel,energy_gpu_avg_watts,0.550000011920929,moderation,yes,very_strong,interaction,mediator,other,并行模式调节batch_size对gpu_avg_watts的效应,0.1012985365680261,0.081444023400693,0.1211530497353592,True,2,0.21292017250815487,0.17118781869655653,0.2546525263197532,True,2
energy_gpu_avg_watts,energy_gpu_min_watts,0.550000011920929,mediator,yes,very_strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_min_watts,1.832018746025748,1.4729430718047014,2.191094420246795,True,3,1.8573052607732539,1.493273429661696,2.221337091884812,True,3
model_siamese,perf_test_accuracy,0.5,control_effect,yes,strong,control,performance,other,模型控制变量的影响,0.685882044978906,0.5514491641630405,0.8203149257947716,True,9,0.25025089867382483,0.20120172253375515,0.2993000748138945,True,9
energy_gpu_temp_avg_celsius,energy_gpu_total_joules,0.4500000178813934,mediator,yes,strong,mediator,energy,Q3,gpu_temp_avg_celsius通过某种机制影响gpu_total_joules,0.4098307782850862,0.3295039457412093,0.4901576108289631,True,5,0.04889591120645537,0.039312312609990116,0.05847950980292062,True,5
model_siamese,energy_gpu_max_watts,0.4500000178813934,control_effect,yes,strong,control,mediator,other,模型控制变量的影响,-0.0704903700131381,-0.0843064825357131,-0.056674257490563,True,6,0.13661414245560166,0.10983777053430374,0.16339051437689958,True,6
energy_cpu_total_joules,energy_cpu_ram_joules,0.4500000178813934,mediator,yes,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响cpu_ram_joules,0.994064564954716,0.7992279102235916,1.1889012196858402,True,1,1.004559737509474,0.807666028957617,1.2014534460613309,True,1
hyperparam_batch_size_x_is_parallel,energy_gpu_max_watts,0.4500000178813934,moderation,yes,strong,interaction,mediator,other,并行模式调节batch_size对gpu_max_watts的效应,3.0970475083066997,2.490026196678586,3.704068819934813,True,6,0.7897246806120615,0.6349386432120974,0.9445107180120256,True,6
energy_gpu_util_avg_percent,energy_gpu_util_max_percent,0.4500000178813934,mediator,yes,strong,mediator,mediator,Q3,gpu_util_avg_percent通过某种机制影响gpu_util_max_percent,,,,,0,,,,False,0
energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_avg_celsius通过某种机制影响gpu_temp_max_celsius,0.7763398655304597,0.6241772518864896,0.92850247917443,True,3,0.6509869425246851,0.5233935017898468,0.7785803832595235,True,3
energy_gpu_min_watts,perf_test_accuracy,0.4000000059604645,irrelevant,yes,strong,mediator,performance,Q2,gpu_min_watts → test_accuracy,-0.384136070970635,-0.4594267408808795,-0.3088454010603905,True,9,-0.2975924741450036,-0.35592059907742435,-0.2392643492125829,True,9
energy_gpu_temp_max_celsius,perf_test_accuracy,0.4000000059604645,irrelevant,yes,strong,mediator,performance,Q2,gpu_temp_max_celsius → test_accuracy,0.2955616232029138,0.2376315450551427,0.3534917013506849,True,10,0.14113912516663604,0.11347585663397537,0.1688023936992967,True,10
energy_gpu_avg_watts,perf_test_accuracy,0.4000000059604645,irrelevant,yes,strong,mediator,performance,Q2,gpu_avg_watts → test_accuracy,-0.0163626137576515,-0.0195696860541512,-0.0131555414611518,True,9,0.04286073454924003,0.034460030577588986,0.05126143852089108,True,9
energy_gpu_avg_watts,energy_gpu_max_watts,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_max_watts,0.5807270473788302,0.4669045460925795,0.6945495486650809,True,8,0.3201827416372724,0.257426924276367,0.3829385589981778,True,8
energy_gpu_avg_watts,energy_gpu_total_joules,0.4000000059604645,mediator,yes,strong,mediator,energy,Q3,gpu_avg_watts通过某种机制影响gpu_total_joules,0.3517680022443674,0.2828214738044713,0.4207145306842634,True,6,-0.0016691552576971,-0.0019963096882057315,-0.0013420008271884684,True,6
energy_gpu_util_avg_percent,perf_test_accuracy,0.4000000059604645,irrelevant,yes,strong,mediator,performance,Q2,gpu_util_avg_percent → test_accuracy,0.9034784779945392,0.7263966963076095,1.080560259681469,True,10,0.6476363367112171,0.5206996147158185,0.7745730587066157,True,10
energy_gpu_max_watts,energy_gpu_util_max_percent,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_max_watts通过某种机制影响gpu_util_max_percent,0.9106053976530396,0.7321267397130438,1.0890840555930352,True,8,0.9040534220869789,0.7268589513579311,1.0812478928160267,True,8
energy_gpu_util_max_percent,energy_gpu_util_avg_percent,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_util_max_percent通过某种机制影响gpu_util_avg_percent,,,,,0,,,,False,0
model_siamese,energy_gpu_total_joules,0.3499999940395355,control_effect,yes,strong,control,energy,other,模型控制变量的影响,0.2594933875472477,0.2086326835879872,0.3103540915065083,True,4,0.026466599171339825,0.02127914573375722,0.03165405260892243,True,4
hyperparam_batch_size_x_is_parallel,energy_gpu_util_avg_percent,0.3499999940395355,moderation,yes,strong,interaction,mediator,other,并行模式调节batch_size对gpu_util_avg_percent的效应,0.4613781991813155,0.3709480721417777,0.5518083262208534,True,3,0.44164410002768695,0.3550818564222603,0.5282063436331136,True,3
hyperparam_batch_size,perf_test_accuracy,0.3499999940395355,main_effect,yes,strong,hyperparam,performance,other,batch_size直接影响test_accuracy,-1.72976671717809,-2.068800993744996,-1.3907324406111845,True,9,-2.169501039240521,-2.5947232429316633,-1.7442788355493788,True,9
