,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,hyperparam_l2_regularization,perf_eval_loss,perf_final_training_loss,perf_eval_samples_per_second,hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel,hyperparam_l2_regularization_x_is_parallel
energy_cpu_pkg_joules,0.0,0.47,0.53,0.01,0.01,0.0,0.26,0.29,0.0,0.17999999,0.01,0.7,0.01,0.03,0.0,0.01,0.01,0.0,0.0,0.22,0.06,0.02
energy_cpu_ram_joules,0.52,0.0,0.48,0.01,0.0,0.0,0.56,0.17999999,0.0,0.04,0.0,0.66999996,0.01,0.29,0.0,0.03,0.53,0.01,0.0,0.049999997,0.02,0.01
energy_cpu_total_joules,0.5,0.48999998,0.0,0.0,0.01,0.0,0.22,0.25,0.0,0.19,0.01,0.71999997,0.01,0.14,0.0,0.01,0.06,0.01,0.0,0.22,0.07,0.01
energy_gpu_avg_watts,0.07,0.48,0.12,0.0,0.049999997,0.26,0.79999995,0.58,0.0,0.35,0.07,0.65,0.04,0.02,0.01,0.0,0.02,0.0,0.02,0.32,0.02,0.01
energy_gpu_max_watts,0.01,0.01,0.01,0.77,0.0,0.39,0.0,0.81,0.68,0.89,0.56,0.03,0.42999998,0.78999996,0.0,0.0,0.0,0.01,0.11,0.04,0.04,0.01
energy_gpu_min_watts,0.22999999,0.049999997,0.24,0.65999997,0.01,0.0,0.11,0.17,0.01,0.74,0.02,0.71,0.02,0.01,0.0,0.03,0.0,0.01,0.55,0.26,0.089999996,0.03
energy_gpu_total_joules,0.22999999,0.44,0.41,0.02,0.0,0.0,0.0,0.19,0.0,0.19999999,0.01,0.69,0.02,0.049999997,0.0,0.0,0.39,0.0,0.0,0.29,0.089999996,0.01
energy_gpu_temp_avg_celsius,0.19999999,0.25,0.16,0.37,0.17,0.01,0.11,0.0,0.34,0.48999998,0.25,0.65999997,0.19999999,0.41,0.0,0.01,0.0,0.01,0.06,0.13,0.26,0.01
energy_gpu_temp_max_celsius,0.01,0.03,0.03,0.049999997,0.29999998,0.089999996,0.03,0.65999997,0.0,0.88,0.38,0.38,0.26,0.62,0.0,0.0,0.0,0.0,0.06,0.59999996,0.5,0.01
energy_gpu_util_avg_percent,0.34,0.29999998,0.31,0.08,0.099999994,0.01,0.39999998,0.16,0.0,0.0,0.089999996,0.0,0.21,0.19,0.0,0.0,0.0,0.0,0.03,0.01,0.04,0.0
energy_gpu_util_max_percent,0.03,0.02,0.07,0.66999996,0.44,0.11,0.07,0.68,0.63,0.90999997,0.0,0.02,0.42,0.71999997,0.0,0.01,0.0,0.02,0.03,0.02,0.02,0.02
is_parallel,0.24,0.21,0.26999998,0.01,0.0,0.12,0.21,0.32,0.01,0.59,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.099999994,0.34,0.62,0.0
hyperparam_learning_rate,0.049999997,0.03,0.02,0.78999996,0.57,0.38,0.02,0.78,0.7,0.78999996,0.58,0.13,0.0,0.75,0.01,0.0,0.01,0.0,0.42999998,0.049999997,0.099999994,0.03
hyperparam_epochs,0.17,0.0,0.14999999,0.03,0.19,0.0,0.02,0.45,0.28,0.74,0.25,0.48999998,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.29999998,0.01
hyperparam_seed,0.03,0.0,0.02,0.01,0.01,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.01,0.02
hyperparam_l2_regularization,0.01,0.0,0.11,0.049999997,0.049999997,0.03,0.049999997,0.04,0.07,0.03,0.02,0.02,0.01,0.02,0.0,0.0,0.02,0.01,0.02,0.06,0.06,0.44
perf_eval_loss,0.0,0.01,0.0,0.049999997,0.0,0.01,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
perf_final_training_loss,0.06,0.0,0.0,0.07,0.02,0.01,0.01,0.02,0.049999997,0.03,0.02,0.03,0.02,0.03,0.0,0.03,0.0,0.0,0.01,0.0,0.099999994,0.03
perf_eval_samples_per_second,0.0,0.03,0.01,0.26,0.0,0.45,0.03,0.03,0.0,0.25,0.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28,0.25,0.0
hyperparam_learning_rate_x_is_parallel,0.06,0.01,0.04,0.44,0.0,0.049999997,0.25,0.049999997,0.28,0.06,0.0,0.59999996,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.06,0.02
hyperparam_epochs_x_is_parallel,0.06,0.089999996,0.089999996,0.01,0.01,0.02,0.13,0.14999999,0.06,0.07,0.02,0.01,0.02,0.0,0.0,0.01,0.0,0.0,0.34,0.089999996,0.0,0.0
hyperparam_l2_regularization_x_is_parallel,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.53,0.0,0.0,0.0,0.0,0.0,0.0
