source,target,weight
energy_cpu_pkg_joules,energy_cpu_total_joules,0.45000001788139343
energy_cpu_pkg_joules,energy_gpu_temp_avg_celsius,0.3499999940395355
energy_cpu_pkg_joules,is_parallel,0.30000001192092896
energy_cpu_pkg_joules,hyperparam_kfold,0.3499999940395355
energy_cpu_pkg_joules,hyperparam_kfold_x_is_parallel,0.30000001192092896
energy_cpu_total_joules,energy_cpu_pkg_joules,0.3499999940395355
energy_cpu_total_joules,is_parallel,0.3499999940395355
energy_gpu_avg_watts,energy_gpu_max_watts,0.3499999940395355
energy_gpu_avg_watts,energy_gpu_temp_max_celsius,0.3499999940395355
energy_gpu_max_watts,energy_gpu_util_avg_percent,0.3499999940395355
energy_gpu_max_watts,energy_gpu_util_max_percent,0.3499999940395355
energy_gpu_min_watts,energy_gpu_avg_watts,0.30000001192092896
energy_gpu_min_watts,energy_gpu_temp_avg_celsius,0.6500000357627869
energy_gpu_min_watts,energy_gpu_temp_max_celsius,0.30000001192092896
energy_gpu_min_watts,is_parallel,0.30000001192092896
energy_gpu_min_watts,hyperparam_seed,0.4000000059604645
energy_gpu_min_watts,hyperparam_kfold_x_is_parallel,0.3499999940395355
energy_gpu_total_joules,energy_cpu_ram_joules,0.5
energy_gpu_total_joules,energy_gpu_avg_watts,0.30000001192092896
energy_gpu_total_joules,energy_gpu_util_avg_percent,0.4000000059604645
energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,0.30000001192092896
hyperparam_alpha,perf_top1_accuracy,0.30000001192092896
hyperparam_kfold,hyperparam_seed,0.30000001192092896
hyperparam_kfold,hyperparam_kfold_x_is_parallel,0.30000001192092896
perf_top5_accuracy,hyperparam_seed,0.45000001788139343
perf_top5_accuracy,perf_top1_accuracy,0.550000011920929
perf_top10_accuracy,perf_top5_accuracy,0.45000001788139343
perf_top20_accuracy,perf_top5_accuracy,0.4000000059604645
perf_top20_accuracy,perf_top10_accuracy,0.550000011920929
hyperparam_alpha_x_is_parallel,hyperparam_alpha,0.6000000238418579
hyperparam_kfold_x_is_parallel,hyperparam_kfold,0.30000001192092896
hyperparam_kfold_x_is_parallel,perf_top20_accuracy,0.3499999940395355
hyperparam_kfold_x_is_parallel,hyperparam_alpha_x_is_parallel,0.30000001192092896
hyperparam_max_iter_x_is_parallel,hyperparam_max_iter,0.550000011920929
