source,target,weight
energy_gpu_avg_watts,perf_precision,0.30000001192092896
energy_gpu_min_watts,hyperparam_l2_regularization,0.75
energy_gpu_min_watts,hyperparam_learning_rate_x_is_parallel,0.3499999940395355
energy_gpu_min_watts,hyperparam_epochs_x_is_parallel,0.75
energy_gpu_total_joules,energy_cpu_pkg_joules,0.3499999940395355
energy_gpu_total_joules,energy_cpu_ram_joules,0.4000000059604645
energy_gpu_total_joules,energy_cpu_total_joules,0.45000001788139343
energy_gpu_total_joules,hyperparam_seed,0.4000000059604645
energy_gpu_temp_avg_celsius,energy_gpu_avg_watts,0.30000001192092896
energy_gpu_temp_avg_celsius,energy_gpu_util_avg_percent,0.3499999940395355
energy_gpu_temp_avg_celsius,energy_gpu_util_max_percent,0.3499999940395355
is_parallel,hyperparam_dropout_x_is_parallel,0.3499999940395355
hyperparam_epochs,energy_gpu_max_watts,0.3499999940395355
hyperparam_seed,perf_precision,0.4000000059604645
hyperparam_dropout,perf_recall,0.45000001788139343
perf_accuracy,hyperparam_seed,0.6000000238418579
perf_accuracy,hyperparam_dropout,0.4000000059604645
perf_precision,perf_recall,0.4000000059604645
perf_recall,perf_precision,0.5
hyperparam_learning_rate_x_is_parallel,is_parallel,0.3499999940395355
hyperparam_learning_rate_x_is_parallel,perf_recall,0.550000011920929
hyperparam_learning_rate_x_is_parallel,hyperparam_dropout_x_is_parallel,0.30000001192092896
hyperparam_epochs_x_is_parallel,is_parallel,0.6000000238418579
hyperparam_epochs_x_is_parallel,hyperparam_learning_rate_x_is_parallel,0.3499999940395355
hyperparam_epochs_x_is_parallel,hyperparam_l2_regularization_x_is_parallel,0.30000001192092896
hyperparam_epochs_x_is_parallel,hyperparam_dropout_x_is_parallel,0.75
hyperparam_l2_regularization_x_is_parallel,hyperparam_l2_regularization,0.699999988079071
hyperparam_l2_regularization_x_is_parallel,perf_recall,0.4000000059604645
hyperparam_dropout_x_is_parallel,perf_precision,0.30000001192092896
