,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,is_parallel,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,perf_test_accuracy,hyperparam_l2_regularization,perf_best_val_accuracy,hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel,hyperparam_l2_regularization_x_is_parallel
energy_cpu_pkg_joules,0.0,0.53999996,0.44,0.89,0.24,0.25,0.7,0.32,0.17999999,0.21,0.089999996,0.0,0.0,0.049999997,0.0,0.0,0.0,0.0,0.0,0.0,0.02
energy_cpu_ram_joules,0.44,0.0,0.42999998,0.72999996,0.44,0.59,0.48999998,0.35999998,0.14999999,0.13,0.099999994,0.01,0.0,0.01,0.04,0.0,0.0,0.0,0.0,0.03,0.03
energy_cpu_total_joules,0.5,0.53,0.0,0.88,0.24,0.37,0.7,0.32999998,0.19,0.21,0.16,0.01,0.0,0.049999997,0.01,0.0,0.0,0.0,0.0,0.02,0.0
energy_gpu_avg_watts,0.03,0.22999999,0.06,0.0,0.37,0.099999994,0.0,0.29999998,0.22999999,0.06,0.48,0.01,0.02,0.03,0.01,0.01,0.0,0.0,0.0,0.0,0.0
energy_gpu_max_watts,0.12,0.24,0.14,0.62,0.0,0.48,0.01,0.45,0.19,0.48,0.42999998,0.0,0.0,0.0,0.01,0.01,0.0,0.0,0.02,0.01,0.049999997
energy_gpu_min_watts,0.12,0.26999998,0.13,0.02,0.5,0.0,0.03,0.03,0.049999997,0.45,0.14999999,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.01,0.07,0.01
energy_gpu_total_joules,0.28,0.049999997,0.29999998,0.049999997,0.07,0.35999998,0.0,0.02,0.03,0.03,0.01,0.04,0.0,0.049999997,0.0,0.01,0.0,0.0,0.01,0.01,0.049999997
energy_gpu_temp_avg_celsius,0.04,0.32,0.03,0.5,0.55,0.02,0.02,0.0,0.42999998,0.32,0.22999999,0.03,0.0,0.02,0.41,0.0,0.0,0.0,0.01,0.02,0.02
energy_gpu_temp_max_celsius,0.02,0.19999999,0.06,0.45999998,0.22999999,0.04,0.049999997,0.53,0.0,0.17,0.63,0.02,0.01,0.03,0.48999998,0.0,0.01,0.0,0.01,0.01,0.01
energy_gpu_util_avg_percent,0.14,0.099999994,0.08,0.78,0.52,0.53999996,0.04,0.06,0.07,0.0,0.62,0.02,0.0,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0
energy_gpu_util_max_percent,0.04,0.01,0.02,0.17999999,0.13,0.16,0.0,0.26999998,0.29,0.37,0.0,0.06,0.0,0.03,0.01,0.0,0.0,0.0,0.03,0.099999994,0.01
is_parallel,0.07,0.099999994,0.04,0.08,0.07,0.14999999,0.03,0.59999996,0.39,0.29999998,0.81,0.0,0.03,0.099999994,0.01,0.0,0.03,0.04,0.69,0.62,0.04
hyperparam_learning_rate,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.02,0.03,0.01,0.01,0.14,0.0,0.0,0.0,0.08,0.39,0.59,0.78,0.08,0.0
hyperparam_epochs,0.26,0.14999999,0.26999998,0.93,0.19,0.29,0.95,0.75,0.42999998,0.45999998,0.26,0.32999998,0.0,0.0,0.0,0.049999997,0.0,0.0,0.089999996,0.71999997,0.02
hyperparam_seed,0.0,0.02,0.0,0.0,0.0,0.01,0.0,0.04,0.03,0.01,0.089999996,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
perf_test_accuracy,0.55,0.34,0.5,0.29,0.84999996,0.08,0.94,0.01,0.48,0.099999994,0.06,0.01,0.35,0.08,0.0,0.0,0.01,0.02,0.01,0.0,0.03
hyperparam_l2_regularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.59,0.0,0.0,0.47
perf_best_val_accuracy,0.0,0.0,0.01,0.03,0.0,0.01,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999998,0.0,0.01,0.0,0.17
hyperparam_learning_rate_x_is_parallel,0.0,0.01,0.0,0.0,0.01,0.04,0.0,0.02,0.04,0.02,0.19,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.47,0.01
hyperparam_epochs_x_is_parallel,0.02,0.02,0.0,0.01,0.0,0.01,0.0,0.02,0.02,0.29,0.26999998,0.39,0.0,0.03,0.0,0.01,0.0,0.0,0.5,0.0,0.01
hyperparam_l2_regularization_x_is_parallel,0.0,0.0,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.01,0.0,0.0,0.51,0.22,0.0,0.0,0.0
