source,target,strength,ate_global_std,ate_global_std_ci_lower,ate_global_std_ci_upper,ate_global_std_is_significant,ate_global_std_confounders_count
energy_cpu_pkg_joules,energy_cpu_total_joules,0.45999998,,,,False,0
energy_cpu_pkg_joules,is_parallel,0.58,0.11751895140346837,0.09448523692838856,0.14055266587854817,True,7
energy_cpu_ram_joules,energy_cpu_total_joules,0.42,,,,False,0
energy_cpu_ram_joules,energy_gpu_total_joules,0.53999996,,,,False,0
energy_cpu_ram_joules,is_parallel,0.48,-0.03428771832114726,-0.04100811111209213,-0.0275673255302024,True,7
energy_cpu_total_joules,energy_cpu_pkg_joules,0.52,,,,False,0
energy_cpu_total_joules,energy_cpu_ram_joules,0.53999996,,,,False,0
energy_cpu_total_joules,energy_gpu_total_joules,0.32,-0.2216478698346234,-0.2650908523222096,-0.1782048873470372,True,4
energy_cpu_total_joules,is_parallel,0.59999996,0.12733957785991465,0.10238102059937138,0.15229813512045792,True,7
energy_gpu_avg_watts,energy_gpu_total_joules,0.48,0.04401471450608815,0.03538783046289487,0.052641598549281424,True,6
energy_gpu_avg_watts,energy_gpu_temp_avg_celsius,0.35999998,,,,False,0
energy_gpu_avg_watts,is_parallel,0.34,0.016284706703097233,0.013092904189290175,0.01947650921690429,True,10
energy_gpu_max_watts,energy_gpu_avg_watts,0.42,0.06092160211024406,0.048980968096636227,0.0728622361238519,True,5
energy_gpu_max_watts,energy_gpu_min_watts,0.39999998,-0.005624582972270812,-0.006727001234835891,-0.004522164709705733,True,4
energy_gpu_max_watts,energy_gpu_temp_avg_celsius,0.64,-0.006338580045523643,-0.007580941734446277,-0.005096218356601009,True,5
energy_gpu_max_watts,energy_gpu_temp_max_celsius,0.64,,,,False,0
energy_gpu_max_watts,energy_gpu_util_avg_percent,0.79999995,0.0011180430539964518,0.0008989066154131473,0.0013371794925797565,True,5
energy_gpu_max_watts,energy_gpu_util_max_percent,0.68,,,,False,0
energy_gpu_max_watts,hyperparam_learning_rate,0.59999996,,,,False,0
energy_gpu_max_watts,hyperparam_epochs,0.68,0.0074192234109824685,0.005965055622429905,0.008873391199535032,True,3
energy_gpu_min_watts,energy_gpu_util_avg_percent,0.39999998,-0.3549898813765512,-0.4245678981263552,-0.28541186462674717,True,6
energy_gpu_min_watts,is_parallel,0.39999998,0.6487637825700212,0.521606081186297,0.7759214839537454,True,9
energy_gpu_min_watts,perf_eval_samples_per_second,0.62,,,,False,0
energy_gpu_total_joules,energy_cpu_ram_joules,0.45999998,,,,False,0
energy_gpu_total_joules,is_parallel,0.5,-0.03718266760759876,-0.04447047045868811,-0.0298948647565094,True,8
energy_gpu_total_joules,perf_eval_loss,0.34,-0.2689265462679461,-0.32163614933646356,-0.21621694319942866,True,4
energy_gpu_temp_avg_celsius,energy_gpu_avg_watts,0.45999998,,,,False,0
energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,0.34,,,,False,0
energy_gpu_temp_avg_celsius,is_parallel,0.58,,,,False,0
energy_gpu_temp_max_celsius,energy_gpu_max_watts,0.34,,,,False,0
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.34,,,,False,0
energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,0.38,0.0,0.0,0.0,False,6
energy_gpu_temp_max_celsius,energy_gpu_util_max_percent,0.52,,,,False,0
energy_gpu_temp_max_celsius,hyperparam_learning_rate,0.45999998,,,,False,0
energy_gpu_temp_max_celsius,hyperparam_epochs,0.35999998,0.0,0.0,0.0,False,4
energy_gpu_util_avg_percent,energy_gpu_avg_watts,0.32,0.2333581487271181,0.18761995157660294,0.27909634587763327,True,7
energy_gpu_util_avg_percent,energy_gpu_total_joules,0.45999998,0.5095491261377646,0.4096774974147627,0.6094207548607664,True,9
energy_gpu_util_max_percent,energy_gpu_max_watts,0.32,,,,False,0
energy_gpu_util_max_percent,energy_gpu_temp_avg_celsius,0.39999998,0.0,0.0,0.0,False,6
energy_gpu_util_max_percent,energy_gpu_temp_max_celsius,0.42,,,,False,0
energy_gpu_util_max_percent,energy_gpu_util_avg_percent,0.64,0.0,0.0,0.0,False,6
energy_gpu_util_max_percent,hyperparam_learning_rate,0.44,,,,False,0
energy_gpu_util_max_percent,hyperparam_epochs,0.53999996,,,,False,0
is_parallel,energy_gpu_temp_avg_celsius,0.39999998,,,,False,0
is_parallel,energy_gpu_util_avg_percent,0.39999998,,,,True,12
is_parallel,hyperparam_learning_rate_x_is_parallel,0.48,,,,True,8
is_parallel,hyperparam_epochs_x_is_parallel,0.52,,,,True,8
hyperparam_learning_rate,energy_gpu_avg_watts,0.38,0.0,0.0,0.0,False,6
hyperparam_learning_rate,energy_gpu_max_watts,0.38,,,,False,0
hyperparam_learning_rate,energy_gpu_min_watts,0.34,0.0,0.0,0.0,False,5
hyperparam_learning_rate,energy_gpu_temp_avg_celsius,0.64,0.0,0.0,0.0,False,6
hyperparam_learning_rate,energy_gpu_temp_max_celsius,0.53999996,,,,False,0
hyperparam_learning_rate,energy_gpu_util_avg_percent,0.68,0.0,0.0,0.0,False,6
hyperparam_learning_rate,energy_gpu_util_max_percent,0.56,,,,False,0
hyperparam_learning_rate,hyperparam_epochs,0.53999996,,,,False,0
hyperparam_epochs,energy_gpu_util_max_percent,0.32,,,,False,0
hyperparam_epochs,hyperparam_learning_rate,0.45999998,,,,False,0
