source,target,strength,ate_global_std,ate_global_std_ci_lower,ate_global_std_ci_upper,ate_global_std_is_significant,ate_global_std_confounders_count
energy_cpu_pkg_joules,energy_cpu_ram_joules,0.45999998,,,,False,0
energy_cpu_pkg_joules,energy_cpu_total_joules,0.44,,,,False,0
energy_cpu_pkg_joules,energy_gpu_total_joules,0.56,0.11802229253512705,0.09488992319824215,0.14115466187201195,True,2
energy_cpu_pkg_joules,is_parallel,0.34,0.377534320874092,0.30353759398276997,0.45153104776541403,True,4
energy_cpu_ram_joules,energy_cpu_pkg_joules,0.52,,,,False,0
energy_cpu_ram_joules,energy_cpu_total_joules,0.62,,,,False,0
energy_cpu_ram_joules,energy_gpu_total_joules,0.62,0.18057346652355816,0.14518106708494075,0.21596586596217557,True,2
energy_cpu_ram_joules,hyperparam_epochs,0.68,0.03845820578715747,0.030920397452874608,0.04599601412144034,True,6
energy_cpu_total_joules,energy_cpu_pkg_joules,0.56,,,,False,0
energy_cpu_total_joules,energy_cpu_ram_joules,0.32,,,,False,0
energy_cpu_total_joules,energy_gpu_total_joules,0.58,,,,False,0
energy_gpu_avg_watts,energy_gpu_min_watts,0.34,,,,False,0
energy_gpu_max_watts,energy_gpu_temp_avg_celsius,0.34,-0.01722626645432529,-0.020602614679373046,-0.013849918229277534,True,5
energy_gpu_max_watts,energy_gpu_temp_max_celsius,0.53999996,,,,False,0
energy_gpu_max_watts,energy_gpu_util_avg_percent,0.42,,,,False,0
energy_gpu_max_watts,energy_gpu_util_max_percent,0.52,,,,False,0
energy_gpu_max_watts,hyperparam_learning_rate,0.42,,,,False,0
energy_gpu_max_watts,hyperparam_epochs,0.39999998,0.005884054443476225,0.004730779772554885,0.007037329114397565,True,5
energy_gpu_min_watts,energy_gpu_avg_watts,0.35999998,,,,False,0
energy_gpu_min_watts,energy_gpu_temp_avg_celsius,0.42,0.04431032162646709,0.03562549858767954,0.052995144665254644,True,7
energy_gpu_total_joules,energy_cpu_total_joules,0.35999998,,,,False,0
energy_gpu_temp_max_celsius,energy_gpu_max_watts,0.32,,,,False,0
energy_gpu_temp_max_celsius,hyperparam_learning_rate,0.32,,,,False,0
energy_gpu_util_avg_percent,energy_gpu_max_watts,0.58,,,,False,0
energy_gpu_util_avg_percent,energy_gpu_temp_avg_celsius,0.65999997,-0.00711610457127655,-0.008510861067246755,-0.0057213480753063465,True,4
energy_gpu_util_avg_percent,energy_gpu_temp_max_celsius,0.76,0.003876567249707332,0.003116760068764695,0.004636374430649969,True,3
energy_gpu_util_avg_percent,energy_gpu_util_max_percent,0.59999996,,,,False,0
energy_gpu_util_avg_percent,hyperparam_learning_rate,0.5,,,,False,0
energy_gpu_util_avg_percent,hyperparam_epochs,0.79999995,-0.008332497582130014,-0.009965667108227497,-0.006699328056032531,True,4
energy_gpu_util_max_percent,energy_gpu_max_watts,0.39999998,,,,False,0
energy_gpu_util_max_percent,energy_gpu_temp_avg_celsius,0.45999998,-0.04339977856774662,-0.051906135167024955,-0.034893421968468286,True,4
energy_gpu_util_max_percent,energy_gpu_util_avg_percent,0.35999998,,,,False,0
energy_gpu_util_max_percent,hyperparam_learning_rate,0.45999998,,,,False,0
energy_gpu_util_max_percent,hyperparam_epochs,0.58,-0.000598274093803798,-0.0007155358161893425,-0.00048101237141825364,True,4
is_parallel,energy_gpu_min_watts,0.62,-0.01725848069744132,-0.18828973021682505,0.1537727688219424,False,4
is_parallel,hyperparam_learning_rate_x_is_parallel,0.39999998,,,,False,0
is_parallel,hyperparam_epochs_x_is_parallel,0.45999998,,,,False,0
hyperparam_learning_rate,energy_gpu_avg_watts,0.68,0.004358169780693932,0.003503968503677921,0.005212371057709942,True,5
hyperparam_learning_rate,energy_gpu_max_watts,0.56,,,,False,0
hyperparam_learning_rate,energy_gpu_temp_avg_celsius,0.71999997,-0.0013055893143477197,-0.0015614848199598727,-0.0010496938087355668,True,5
hyperparam_learning_rate,energy_gpu_temp_max_celsius,0.59999996,,,,False,0
hyperparam_learning_rate,energy_gpu_util_avg_percent,0.45999998,,,,False,0
hyperparam_learning_rate,energy_gpu_util_max_percent,0.53999996,,,,False,0
hyperparam_learning_rate,hyperparam_epochs,0.68,0.00013503761841593992,0.00010857024520641569,0.00016150499162546415,True,5
hyperparam_learning_rate,hyperparam_dropout,0.48,0.0018001503647079556,0.0014473208932251963,0.002152979836190715,True,4
hyperparam_l2_regularization,hyperparam_l2_regularization_x_is_parallel,0.48,,,,False,0
perf_precision,perf_recall,0.35999998,,,,False,0
perf_recall,perf_precision,0.34,,,,False,0
hyperparam_learning_rate_x_is_parallel,energy_gpu_min_watts,0.38,-0.2543357474777607,-0.3041855539834018,-0.2044859409721196,True,3
hyperparam_learning_rate_x_is_parallel,is_parallel,0.58,,,,False,0
hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel,0.62,0.08048187989008389,0.06470743143162744,0.09625632834854034,True,2
hyperparam_learning_rate_x_is_parallel,hyperparam_dropout_x_is_parallel,0.56,,,,False,0
hyperparam_epochs_x_is_parallel,is_parallel,0.48,,,,False,0
hyperparam_epochs_x_is_parallel,hyperparam_dropout_x_is_parallel,0.58,,,,False,0
hyperparam_l2_regularization_x_is_parallel,hyperparam_l2_regularization,0.32,,,,False,0
hyperparam_dropout_x_is_parallel,hyperparam_learning_rate_x_is_parallel,0.38,,,,False,0
hyperparam_dropout_x_is_parallel,hyperparam_epochs_x_is_parallel,0.39999998,,,,False,0
