source,target,strength,ate_global_std,ate_global_std_ci_lower,ate_global_std_ci_upper,ate_global_std_is_significant,ate_global_std_confounders_count
energy_cpu_pkg_joules,energy_cpu_ram_joules,0.55,1.2239733934273662,0.9840746083156025,1.46387217853913,True,1
energy_cpu_pkg_joules,energy_cpu_total_joules,0.45000002,0.9741200122453698,0.7831924898452773,1.1650475346454623,True,1
energy_cpu_pkg_joules,perf_rank1,0.35,,,,True,16
energy_cpu_pkg_joules,perf_rank5,0.4,,,,True,10
energy_cpu_pkg_joules,perf_top1_accuracy,0.45000002,,,,True,13
energy_cpu_pkg_joules,perf_top5_accuracy,0.35,,,,True,11
energy_cpu_pkg_joules,perf_accuracy,0.45000002,,,,True,4
energy_cpu_ram_joules,perf_map,0.45000002,,,,True,18
energy_cpu_ram_joules,perf_rank1,0.35,,,,True,16
energy_cpu_ram_joules,perf_top1_accuracy,0.55,,,,True,12
energy_cpu_ram_joules,perf_top5_accuracy,0.35,,,,True,11
energy_cpu_total_joules,hyperparam_epochs,0.4,4.285901922525031,3.4458651457101253,5.125938699339938,True,3
energy_cpu_total_joules,perf_eval_loss,0.55,,,,True,8
energy_cpu_total_joules,perf_final_training_loss,0.4,,,,True,4
energy_cpu_total_joules,perf_rank1,0.4,,,,True,16
energy_cpu_total_joules,perf_rank5,0.35,,,,True,10
energy_cpu_total_joules,perf_top5_accuracy,0.4,,,,True,11
energy_cpu_total_joules,perf_precision,0.35,,,,True,9
energy_gpu_avg_watts,hyperparam_epochs,0.5,2.6674473121062454,2.1446276389334216,3.1902669852790693,True,2
energy_gpu_avg_watts,perf_eval_loss,0.45000002,,,,True,7
energy_gpu_avg_watts,perf_final_training_loss,0.45000002,,,,True,3
energy_gpu_avg_watts,perf_eval_samples_per_second,0.35,,,,True,12
energy_gpu_avg_watts,perf_map,0.35,,,,True,17
energy_gpu_avg_watts,perf_rank1,0.35,,,,True,16
energy_gpu_avg_watts,perf_rank5,0.55,,,,True,10
energy_gpu_avg_watts,perf_top1_accuracy,0.4,,,,True,12
energy_gpu_avg_watts,perf_top5_accuracy,0.4,,,,True,11
energy_gpu_avg_watts,perf_top10_accuracy,0.45000002,,,,True,8
energy_gpu_avg_watts,perf_top20_accuracy,0.45000002,,,,True,14
energy_gpu_avg_watts,hyperparam_epochs_x_is_parallel,0.35,1.1729193542382526,0.943027160807555,1.40281154766895,True,5
energy_gpu_max_watts,energy_gpu_util_avg_percent,0.4,1.5406753028901783,1.2387029435237034,1.8426476622566532,True,1
energy_gpu_max_watts,perf_eval_loss,0.5,,,,True,7
energy_gpu_max_watts,perf_final_training_loss,0.5,,,,True,4
energy_gpu_max_watts,perf_eval_samples_per_second,0.55,,,,True,12
energy_gpu_max_watts,perf_map,0.6,,,,True,17
energy_gpu_max_watts,perf_rank1,0.35,,,,True,16
energy_gpu_max_watts,perf_rank5,0.4,,,,True,10
energy_gpu_max_watts,perf_top1_accuracy,0.45000002,,,,True,12
energy_gpu_max_watts,perf_top20_accuracy,0.55,,,,True,14
energy_gpu_max_watts,perf_precision,0.35,,,,True,8
energy_gpu_max_watts,perf_recall,0.4,,,,True,5
energy_gpu_min_watts,perf_map,0.5,,,,True,17
energy_gpu_min_watts,perf_rank1,0.35,,,,True,16
energy_gpu_min_watts,perf_rank5,0.4,,,,True,10
energy_gpu_min_watts,perf_top5_accuracy,0.45000002,,,,True,11
energy_gpu_min_watts,perf_precision,0.4,,,,True,8
energy_gpu_total_joules,energy_cpu_pkg_joules,0.35,2.5794510040069376,2.0738786072215776,3.0850234007922976,True,0
energy_gpu_total_joules,perf_eval_loss,0.4,,,,True,7
energy_gpu_total_joules,perf_eval_samples_per_second,0.5,,,,True,12
energy_gpu_total_joules,perf_map,0.55,,,,True,17
energy_gpu_total_joules,perf_rank1,0.5,,,,True,16
energy_gpu_total_joules,perf_rank5,0.35,,,,True,10
energy_gpu_total_joules,perf_top5_accuracy,0.6,,,,True,11
energy_gpu_total_joules,perf_top10_accuracy,0.35,,,,True,8
energy_gpu_total_joules,perf_top20_accuracy,0.4,,,,True,14
energy_gpu_total_joules,perf_accuracy,0.35,,,,True,4
energy_gpu_total_joules,perf_precision,0.5,,,,True,8
energy_gpu_total_joules,perf_recall,0.35,,,,True,5
energy_gpu_total_joules,perf_best_val_accuracy,0.35,0.09949322138317032,0.07999254999206894,0.1189938927742717,True,3
energy_gpu_total_joules,hyperparam_epochs_x_is_parallel,0.35,3.1982594307635273,2.571400582333876,3.8251182791931786,True,5
energy_gpu_temp_avg_celsius,hyperparam_seed,0.35,1.0811055011409567,0.6171643335538747,1.5450466687280389,True,2
energy_gpu_temp_avg_celsius,perf_eval_loss,0.5,,,,True,7
energy_gpu_temp_avg_celsius,perf_eval_samples_per_second,0.4,,,,True,12
energy_gpu_temp_avg_celsius,perf_rank1,0.35,,,,True,16
energy_gpu_temp_avg_celsius,perf_top5_accuracy,0.35,,,,True,11
energy_gpu_temp_avg_celsius,perf_top10_accuracy,0.45000002,,,,True,9
energy_gpu_temp_avg_celsius,perf_top20_accuracy,0.45000002,,,,True,14
energy_gpu_temp_avg_celsius,perf_precision,0.35,,,,True,8
energy_gpu_temp_avg_celsius,perf_recall,0.4,,,,True,5
energy_gpu_temp_max_celsius,is_parallel,0.35,-1.1220717357553553,-1.341997795963405,-0.9021456755473056,True,1
energy_gpu_temp_max_celsius,perf_eval_loss,0.45000002,,,,True,7
energy_gpu_temp_max_celsius,perf_eval_samples_per_second,0.45000002,,,,True,12
energy_gpu_temp_max_celsius,perf_rank1,0.35,,,,True,16
energy_gpu_temp_max_celsius,perf_rank5,0.4,,,,True,10
energy_gpu_temp_max_celsius,perf_top5_accuracy,0.4,,,,True,11
energy_gpu_temp_max_celsius,perf_top10_accuracy,0.45000002,,,,True,8
energy_gpu_temp_max_celsius,perf_precision,0.4,,,,True,8
energy_gpu_temp_max_celsius,perf_recall,0.35,,,,True,5
energy_gpu_util_avg_percent,perf_eval_loss,0.5,,,,True,7
energy_gpu_util_avg_percent,perf_map,0.35,,,,True,17
energy_gpu_util_avg_percent,perf_rank1,0.5,,,,True,16
energy_gpu_util_avg_percent,perf_top10_accuracy,0.4,,,,True,9
energy_gpu_util_avg_percent,hyperparam_learning_rate_x_is_parallel,0.4,-2.96251950482913,-3.5431733277756394,-2.3818656818826205,True,3
energy_gpu_util_avg_percent,hyperparam_epochs_x_is_parallel,0.35,0.5147455918026014,0.4138554558092915,0.6156357277959112,True,6
energy_gpu_util_max_percent,is_parallel,0.35,1.5407066584991767,1.238728153433338,1.8426851635650152,True,1
energy_gpu_util_max_percent,perf_final_training_loss,0.35,,,,True,3
energy_gpu_util_max_percent,perf_eval_samples_per_second,0.4,,,,True,12
energy_gpu_util_max_percent,perf_map,0.4,,,,True,17
energy_gpu_util_max_percent,perf_top1_accuracy,0.55,,,,True,12
energy_gpu_util_max_percent,perf_top5_accuracy,0.4,,,,True,11
energy_gpu_util_max_percent,perf_top10_accuracy,0.5,,,,True,8
energy_gpu_util_max_percent,perf_top20_accuracy,0.4,,,,True,14
energy_gpu_util_max_percent,perf_precision,0.35,,,,True,8
energy_gpu_util_max_percent,hyperparam_learning_rate_x_is_parallel,0.35,-0.43226939176070645,-0.5169941925458049,-0.34754459097560797,True,2
is_parallel,perf_eval_samples_per_second,0.55,,,,True,12
is_parallel,perf_top1_accuracy,0.45000002,,,,True,13
is_parallel,perf_top10_accuracy,0.4,,,,True,8
is_parallel,perf_precision,0.4,,,,True,8
is_parallel,hyperparam_learning_rate_x_is_parallel,0.35,1.4333590931252609,1.1524207108727098,1.714297475377812,True,3
is_parallel,hyperparam_epochs_x_is_parallel,0.45000002,1.6926958591398957,1.3609274707484762,2.0244642475313155,True,7
model_mnist_ff,perf_rank5,0.35,0.0,0.0,0.0,False,10
hyperparam_learning_rate,perf_eval_samples_per_second,0.4,,,,True,12
hyperparam_learning_rate,perf_map,0.35,,,,True,17
hyperparam_learning_rate,perf_rank1,0.4,,,,True,16
hyperparam_learning_rate,perf_rank5,0.4,,,,True,10
hyperparam_learning_rate,perf_top1_accuracy,0.4,,,,True,12
hyperparam_learning_rate,perf_top20_accuracy,0.4,,,,True,14
hyperparam_epochs,perf_eval_samples_per_second,0.35,,,,True,13
hyperparam_epochs,perf_top5_accuracy,0.55,,,,True,11
hyperparam_epochs,perf_top20_accuracy,0.5,,,,True,15
hyperparam_seed,perf_map,0.35,,,,True,19
hyperparam_seed,perf_rank1,0.4,,,,True,17
perf_test_accuracy,energy_gpu_max_watts,0.35,-1.0678992842115644,-1.2772075439170312,-0.8585910245060978,True,0
perf_test_accuracy,energy_gpu_temp_avg_celsius,0.35,-0.5574192868001445,-0.6666734670129728,-0.4481651065873162,True,0
perf_test_accuracy,hyperparam_learning_rate,0.85,7.987591639482726,6.422023678144112,9.55315960082134,True,0
perf_test_accuracy,hyperparam_epochs,0.55,2.3459680615941747,1.8861583215217164,2.805777801666633,True,2
perf_test_accuracy,hyperparam_seed,0.35,0.025325121078265733,-0.5015226546333156,0.5521728967898469,False,2
perf_test_accuracy,perf_eval_loss,0.5,,,,True,7
perf_test_accuracy,perf_eval_samples_per_second,0.45000002,,,,True,12
perf_test_accuracy,perf_map,0.4,,,,True,17
perf_test_accuracy,perf_rank1,0.55,,,,True,16
perf_test_accuracy,perf_rank5,0.5,,,,True,10
perf_test_accuracy,perf_top1_accuracy,0.4,,,,True,12
perf_test_accuracy,perf_top5_accuracy,0.45000002,,,,True,11
perf_test_accuracy,perf_top20_accuracy,0.45000002,,,,True,14
perf_test_accuracy,perf_accuracy,0.55,,,,True,4
perf_test_accuracy,perf_precision,0.45000002,,,,True,8
perf_test_accuracy,perf_recall,0.5,,,,True,5
perf_test_accuracy,perf_best_val_accuracy,0.35,1.6232876355953283,1.358820432900118,1.8877548382905387,True,3
perf_test_accuracy,hyperparam_epochs_x_is_parallel,0.35,-2.7203921379897,-3.2535889970356813,-2.187195278943719,True,5
hyperparam_l2_regularization,perf_map,0.45000002,,,,True,18
hyperparam_l2_regularization,perf_top20_accuracy,0.35,,,,True,15
hyperparam_l2_regularization,perf_accuracy,0.35,,,,True,5
hyperparam_l2_regularization,perf_best_val_accuracy,0.35,0.17133427719208777,0.13775275886243857,0.20491579552173697,True,3
perf_eval_loss,perf_rank1,0.4,0.0,0.0,0.0,False,16
perf_final_training_loss,perf_rank1,0.4,0.0,0.0,0.0,False,17
model_hrnet18,perf_map,0.4,0.0,0.0,0.0,False,17
model_hrnet18,perf_top1_accuracy,0.45000002,0.0,0.0,0.0,False,12
model_hrnet18,perf_top20_accuracy,0.45000002,0.0,0.0,0.0,False,14
model_pcb,hyperparam_seed,0.35,0.0,0.0,0.0,False,2
model_pcb,perf_top20_accuracy,0.35,0.0,0.0,0.0,False,14
perf_rank5,perf_top1_accuracy,0.35,0.0,0.0,0.0,False,18
hyperparam_alpha,perf_top1_accuracy,0.4,0.0,0.0,0.0,False,12
hyperparam_kfold,perf_map,0.4,0.0,0.0,0.0,False,17
hyperparam_kfold,perf_top1_accuracy,0.4,0.0,0.0,0.0,False,12
hyperparam_max_iter,perf_map,0.35,0.0,0.0,0.0,False,17
hyperparam_max_iter,perf_rank5,0.4,0.0,0.0,0.0,False,10
perf_top10_accuracy,perf_eval_samples_per_second,0.35,0.0,0.0,0.0,False,14
perf_top10_accuracy,perf_top20_accuracy,0.35,0.0,0.0,0.0,False,18
perf_top10_accuracy,perf_accuracy,0.4,0.0,0.0,0.0,False,12
perf_top20_accuracy,perf_eval_samples_per_second,0.35,0.0,0.0,0.0,False,17
perf_top20_accuracy,perf_top5_accuracy,0.35,0.0,0.0,0.0,False,20
perf_recall,perf_rank1,0.35,0.0,0.0,0.0,False,17
perf_best_val_accuracy,perf_map,0.35,,,,True,18
perf_best_val_accuracy,perf_top10_accuracy,0.35,,,,True,11
hyperparam_batch_size_x_is_parallel,perf_map,0.35,0.0,0.0,0.0,False,17
hyperparam_learning_rate_x_is_parallel,perf_map,0.4,,,,True,18
hyperparam_learning_rate_x_is_parallel,perf_top1_accuracy,0.35,,,,True,13
hyperparam_learning_rate_x_is_parallel,perf_top20_accuracy,0.55,,,,True,16
hyperparam_learning_rate_x_is_parallel,perf_recall,0.35,,,,True,8
hyperparam_learning_rate_x_is_parallel,hyperparam_epochs_x_is_parallel,0.55,0.18911465988883,0.1520481865506193,0.2261811332270407,True,6
hyperparam_epochs_x_is_parallel,perf_top20_accuracy,0.4,,,,True,16
hyperparam_l2_regularization_x_is_parallel,hyperparam_l2_regularization,0.45000002,1.0141485529236562,0.8153754365506196,1.2129216692966929,True,0
hyperparam_l2_regularization_x_is_parallel,perf_best_val_accuracy,0.35,-0.06622587429468711,-0.07920614565644579,-0.05324560293292844,True,3
hyperparam_max_iter_x_is_parallel,perf_eval_samples_per_second,0.35,0.0,0.0,0.0,False,12
hyperparam_max_iter_x_is_parallel,perf_map,0.45000002,0.0,0.0,0.0,False,17
hyperparam_max_iter_x_is_parallel,perf_rank1,0.35,0.0,0.0,0.0,False,16
hyperparam_max_iter_x_is_parallel,perf_top10_accuracy,0.35,0.0,0.0,0.0,False,8
hyperparam_max_iter_x_is_parallel,perf_top20_accuracy,0.35,0.0,0.0,0.0,False,14
