source,target,weight,strength,source_category,target_category
energy_cpu_pkg_joules,energy_cpu_ram_joules,0.4599999785423279,0.4599999785423279,energy,energy
energy_cpu_pkg_joules,energy_cpu_total_joules,0.4399999976158142,0.4399999976158142,energy,energy
energy_cpu_pkg_joules,energy_gpu_total_joules,0.5600000023841858,0.5600000023841858,energy,energy
energy_cpu_ram_joules,energy_cpu_pkg_joules,0.5199999809265137,0.5199999809265137,energy,energy
energy_cpu_ram_joules,energy_cpu_total_joules,0.6200000047683716,0.6200000047683716,energy,energy
energy_cpu_ram_joules,energy_gpu_total_joules,0.6200000047683716,0.6200000047683716,energy,energy
energy_cpu_total_joules,energy_cpu_pkg_joules,0.5600000023841858,0.5600000023841858,energy,energy
energy_cpu_total_joules,energy_cpu_ram_joules,0.3199999928474426,0.3199999928474426,energy,energy
energy_cpu_total_joules,energy_gpu_total_joules,0.5799999833106995,0.5799999833106995,energy,energy
energy_gpu_avg_watts,energy_gpu_min_watts,0.3400000035762787,0.3400000035762787,energy,energy
energy_gpu_min_watts,energy_gpu_avg_watts,0.3599999845027923,0.3599999845027923,energy,energy
energy_gpu_total_joules,energy_cpu_total_joules,0.3599999845027923,0.3599999845027923,energy,energy
energy_gpu_temp_max_celsius,energy_gpu_max_watts,0.3199999928474426,0.3199999928474426,mediator,energy
energy_gpu_util_avg_percent,energy_gpu_max_watts,0.5799999833106995,0.5799999833106995,mediator,energy
energy_gpu_util_avg_percent,energy_gpu_temp_avg_celsius,0.6599999666213989,0.6599999666213989,mediator,mediator
energy_gpu_util_avg_percent,energy_gpu_temp_max_celsius,0.7599999904632568,0.7599999904632568,mediator,mediator
energy_gpu_util_avg_percent,energy_gpu_util_max_percent,0.5999999642372131,0.5999999642372131,mediator,mediator
energy_gpu_util_max_percent,energy_gpu_max_watts,0.3999999761581421,0.3999999761581421,mediator,energy
energy_gpu_util_max_percent,energy_gpu_temp_avg_celsius,0.4599999785423279,0.4599999785423279,mediator,mediator
energy_gpu_util_max_percent,energy_gpu_util_avg_percent,0.3599999845027923,0.3599999845027923,mediator,mediator
is_parallel,energy_gpu_min_watts,0.6200000047683716,0.6200000047683716,mode,energy
hyperparam_learning_rate,energy_gpu_avg_watts,0.6800000071525574,0.6800000071525574,hyperparam,energy
hyperparam_learning_rate,energy_gpu_max_watts,0.5600000023841858,0.5600000023841858,hyperparam,energy
hyperparam_learning_rate,energy_gpu_temp_avg_celsius,0.7199999690055847,0.7199999690055847,hyperparam,mediator
hyperparam_learning_rate,energy_gpu_temp_max_celsius,0.5999999642372131,0.5999999642372131,hyperparam,mediator
hyperparam_learning_rate,energy_gpu_util_avg_percent,0.4599999785423279,0.4599999785423279,hyperparam,mediator
hyperparam_learning_rate,energy_gpu_util_max_percent,0.5399999618530273,0.5399999618530273,hyperparam,mediator
hyperparam_learning_rate_x_is_parallel,energy_gpu_min_watts,0.3799999952316284,0.3799999952316284,interaction,energy
