source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation,ate,ate_ci_lower,ate_ci_upper,ate_is_significant,ate_confounders_count
hyperparam_kfold_x_is_parallel,perf_top1_accuracy,0.6500000357627869,moderation,yes,very_strong,interaction,performance,other,并行模式调节kfold对top1_accuracy的效应,,,,,0
energy_gpu_util_max_percent,energy_gpu_util_avg_percent,0.6000000238418579,mediator,yes,very_strong,mediator,mediator,Q3,gpu_util_max_percent通过某种机制影响gpu_util_avg_percent,0.3719373610752222,0.2990376383044786,0.44483708384596576,True,2
energy_gpu_util_max_percent,energy_gpu_total_joules,0.4500000178813934,mediator,yes,strong,mediator,energy,Q3,gpu_util_max_percent通过某种机制影响gpu_total_joules,2751.3500031974413,2212.0854025707426,3290.61460382414,True,4
energy_gpu_util_avg_percent,perf_top20_accuracy,0.4500000178813934,irrelevant,yes,strong,mediator,performance,Q2,gpu_util_avg_percent → top20_accuracy,0.005161419399233313,0.004149781196983584,0.006173057601483041,True,4
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_temp_avg_celsius,0.5782764617293189,0.4649342752303724,0.6916186482282654,True,1
energy_gpu_temp_max_celsius,energy_gpu_util_max_percent,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_util_max_percent,-0.004164250175344037,-0.004980443209711468,-0.003348057140976605,True,1
energy_gpu_min_watts,energy_gpu_max_watts,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_max_watts,0.7402723840299901,0.595178996760112,0.8853657712998682,True,4
hyperparam_max_iter,perf_top10_accuracy,0.4000000059604645,main_effect,yes,strong,hyperparam,performance,other,max_iter直接影响top10_accuracy,7.152582689713163e-08,5.750676482529383e-08,8.554488896896943e-08,True,1
hyperparam_kfold_x_is_parallel,energy_gpu_temp_avg_celsius,0.3499999940395355,moderation,yes,strong,interaction,mediator,other,并行模式调节kfold对gpu_temp_avg_celsius的效应,,,,,0
energy_cpu_ram_joules,energy_cpu_total_joules,0.3499999940395355,mediator,yes,strong,energy,energy,Q3,cpu_ram_joules通过某种机制影响cpu_total_joules,,,,,0
hyperparam_alpha,perf_top20_accuracy,0.3499999940395355,main_effect,yes,strong,hyperparam,performance,other,alpha直接影响top20_accuracy,-182.514250558959,-218.28704366851497,-146.74145744940301,True,3
hyperparam_kfold,perf_top5_accuracy,0.3499999940395355,main_effect,yes,strong,hyperparam,performance,other,kfold直接影响top5_accuracy,0.0002482709560606837,0.0001996098486727897,0.00029693206344857774,True,0
