source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation,ate,ate_ci_lower,ate_ci_upper,ate_is_significant,ate_confounders_count
hyperparam_epochs_x_is_parallel,perf_recall,0.6000000238418579,moderation,yes,very_strong,interaction,performance,other,并行模式调节epochs对recall的效应,0.5493927537385264,0.4417117740057752,0.6570737334712775,True,4
hyperparam_epochs,energy_gpu_max_watts,0.550000011920929,main_effect,yes,very_strong,hyperparam,mediator,other,epochs直接影响gpu_max_watts,0.3253176681039184,0.26155540515555037,0.3890799310522864,True,3
hyperparam_epochs,energy_gpu_min_watts,0.5,main_effect,yes,strong,hyperparam,mediator,other,epochs直接影响gpu_min_watts,0.08440333616991079,0.06786028228060828,0.1009463900592133,True,2
hyperparam_epochs_x_is_parallel,energy_gpu_min_watts,0.5,moderation,yes,strong,interaction,mediator,other,并行模式调节epochs对gpu_min_watts的效应,0.23098553313148162,0.18571236863771123,0.276258697625252,True,2
hyperparam_dropout,perf_precision,0.4500000178813934,main_effect,yes,strong,hyperparam,performance,other,dropout直接影响precision,-0.053992840459728395,-0.06457543718983516,-0.04341024372962163,True,4
energy_gpu_temp_avg_celsius,energy_gpu_util_avg_percent,0.4500000178813934,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_avg_celsius通过某种机制影响gpu_util_avg_percent,-0.11441115183886257,-0.13683573759927964,-0.0919865660784455,True,4
hyperparam_epochs_x_is_parallel,energy_gpu_util_max_percent,0.4500000178813934,moderation,yes,strong,interaction,mediator,other,并行模式调节epochs对gpu_util_max_percent的效应,0.0952460818107268,0.07657784977582435,0.11391431384562925,True,3
energy_gpu_util_avg_percent,energy_gpu_min_watts,0.4500000178813934,mediator,yes,strong,mediator,mediator,Q3,gpu_util_avg_percent通过某种机制影响gpu_min_watts,,,,,0
energy_cpu_ram_joules,energy_gpu_total_joules,0.4500000178813934,mediator,yes,strong,energy,energy,Q3,cpu_ram_joules通过某种机制影响gpu_total_joules,1.1707216730341774,0.9412602251194786,1.4001831209488762,True,3
hyperparam_learning_rate,perf_recall,0.4500000178813934,main_effect,yes,strong,hyperparam,performance,other,learning_rate直接影响recall,0.6933774563211558,0.5574754748822093,0.8292794377601023,True,4
hyperparam_dropout,perf_recall,0.4500000178813934,main_effect,yes,strong,hyperparam,performance,other,dropout直接影响recall,-0.4208306706246088,-0.5033134820670322,-0.33834785918218546,True,4
hyperparam_learning_rate_x_is_parallel,perf_recall,0.4500000178813934,moderation,yes,strong,interaction,performance,other,并行模式调节learning_rate对recall的效应,0.28248664495888565,0.22711926254694406,0.33785402737082726,True,4
energy_gpu_avg_watts,perf_accuracy,0.4000000059604645,irrelevant,yes,strong,mediator,performance,Q2,gpu_avg_watts → accuracy,-0.2922707388226075,-0.3495558036318386,-0.23498567401337644,True,5
hyperparam_epochs,energy_gpu_avg_watts,0.4000000059604645,main_effect,yes,strong,hyperparam,mediator,other,epochs直接影响gpu_avg_watts,-0.5907335293213044,-0.70651730106828,-0.4749497575743287,True,1
hyperparam_epochs,energy_gpu_util_max_percent,0.4000000059604645,main_effect,yes,strong,hyperparam,mediator,other,epochs直接影响gpu_util_max_percent,-0.2932277717662972,-0.3507004150324915,-0.23575512850010297,True,3
energy_gpu_min_watts,energy_gpu_util_max_percent,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_util_max_percent,-0.0567534583584247,-0.06787713619667594,-0.045629780520173455,True,3
energy_cpu_total_joules,energy_cpu_pkg_joules,0.4000000059604645,mediator,yes,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响cpu_pkg_joules,,,,,0
hyperparam_epochs_x_is_parallel,perf_precision,0.4000000059604645,moderation,yes,strong,interaction,performance,other,并行模式调节epochs对precision的效应,0.34031089607199216,0.2736099604418817,0.40701183170210264,True,4
energy_gpu_avg_watts,energy_gpu_temp_avg_celsius,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_temp_avg_celsius,-0.3131735213772251,-0.3745555315671612,-0.251791511187289,True,3
hyperparam_learning_rate_x_is_parallel,perf_accuracy,0.3499999940395355,moderation,yes,strong,interaction,performance,other,并行模式调节learning_rate对accuracy的效应,0.4933833180098461,0.39668018767991625,0.5900864483397759,True,3
energy_gpu_avg_watts,energy_gpu_temp_max_celsius,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_temp_max_celsius,-0.5944055974079155,-0.710909094499867,-0.4779021003159641,True,2
energy_gpu_avg_watts,energy_gpu_total_joules,0.3499999940395355,mediator,yes,strong,mediator,energy,Q3,gpu_avg_watts通过某种机制影响gpu_total_joules,0.2046828893676253,0.16456504305157074,0.24480073568367985,True,3
energy_cpu_total_joules,energy_cpu_ram_joules,0.3499999940395355,mediator,yes,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响cpu_ram_joules,1.0927926248114135,0.8786052703483764,1.3069799792744505,True,1
energy_gpu_min_watts,energy_gpu_util_avg_percent,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_util_avg_percent,,,,,0
hyperparam_l2_regularization_x_is_parallel,perf_recall,0.3499999940395355,moderation,yes,strong,interaction,performance,other,并行模式调节l2_regularization对recall的效应,-0.6876721615274773,-0.822455905186863,-0.5528884178680917,True,4
