source,target,strength,edge_type,is_significant,strength_level,source_category,target_category,question_relevance,interpretation
hyperparam_kfold_x_is_parallel,perf_top1_accuracy,0.6500000357627869,moderation,yes,very_strong,interaction,performance,other,并行模式调节kfold对top1_accuracy的效应
energy_gpu_util_max_percent,energy_gpu_util_avg_percent,0.6000000238418579,mediator,yes,very_strong,mediator,mediator,Q3,gpu_util_max_percent通过某种机制影响gpu_util_avg_percent
energy_gpu_util_max_percent,energy_gpu_total_joules,0.4500000178813934,mediator,yes,strong,mediator,energy,Q3,gpu_util_max_percent通过某种机制影响gpu_total_joules
energy_gpu_util_avg_percent,perf_top20_accuracy,0.4500000178813934,irrelevant,yes,strong,mediator,performance,Q2,gpu_util_avg_percent → top20_accuracy
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_temp_avg_celsius
energy_gpu_temp_max_celsius,energy_gpu_util_max_percent,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_max_celsius通过某种机制影响gpu_util_max_percent
energy_gpu_min_watts,energy_gpu_max_watts,0.4000000059604645,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_max_watts
hyperparam_max_iter,perf_top10_accuracy,0.4000000059604645,main_effect,yes,strong,hyperparam,performance,other,max_iter直接影响top10_accuracy
hyperparam_kfold_x_is_parallel,energy_gpu_temp_avg_celsius,0.3499999940395355,moderation,yes,strong,interaction,mediator,other,并行模式调节kfold对gpu_temp_avg_celsius的效应
energy_cpu_ram_joules,energy_cpu_total_joules,0.3499999940395355,mediator,yes,strong,energy,energy,Q3,cpu_ram_joules通过某种机制影响cpu_total_joules
hyperparam_alpha,perf_top20_accuracy,0.3499999940395355,main_effect,yes,strong,hyperparam,performance,other,alpha直接影响top20_accuracy
hyperparam_kfold,perf_top5_accuracy,0.3499999940395355,main_effect,yes,strong,hyperparam,performance,other,kfold直接影响top5_accuracy
hyperparam_kfold,perf_top1_accuracy,0.3499999940395355,main_effect,yes,strong,hyperparam,performance,other,kfold直接影响top1_accuracy
energy_gpu_temp_avg_celsius,energy_gpu_total_joules,0.3499999940395355,mediator,yes,strong,mediator,energy,Q3,gpu_temp_avg_celsius通过某种机制影响gpu_total_joules
energy_gpu_avg_watts,energy_gpu_max_watts,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_max_watts
energy_gpu_max_watts,energy_gpu_util_avg_percent,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_max_watts通过某种机制影响gpu_util_avg_percent
energy_gpu_util_avg_percent,perf_top10_accuracy,0.3499999940395355,irrelevant,yes,strong,mediator,performance,Q2,gpu_util_avg_percent → top10_accuracy
energy_gpu_avg_watts,energy_gpu_temp_max_celsius,0.3499999940395355,mediator,yes,strong,mediator,mediator,Q3,gpu_avg_watts通过某种机制影响gpu_temp_max_celsius
energy_cpu_pkg_joules,energy_cpu_total_joules,0.3499999940395355,mediator,yes,strong,energy,energy,Q3,cpu_pkg_joules通过某种机制影响cpu_total_joules
energy_gpu_util_max_percent,perf_top20_accuracy,0.3499999940395355,irrelevant,yes,strong,mediator,performance,Q2,gpu_util_max_percent → top20_accuracy
hyperparam_kfold,energy_gpu_min_watts,0.3499999940395355,main_effect,yes,strong,hyperparam,mediator,other,kfold直接影响gpu_min_watts
energy_gpu_min_watts,energy_gpu_total_joules,0.3000000119209289,mediator,yes,strong,mediator,energy,Q3,gpu_min_watts通过某种机制影响gpu_total_joules
hyperparam_kfold_x_is_parallel,perf_top5_accuracy,0.3000000119209289,moderation,yes,strong,interaction,performance,other,并行模式调节kfold对top5_accuracy的效应
hyperparam_kfold_x_is_parallel,perf_top20_accuracy,0.3000000119209289,moderation,yes,strong,interaction,performance,other,并行模式调节kfold对top20_accuracy的效应
hyperparam_alpha,perf_top1_accuracy,0.3000000119209289,main_effect,yes,strong,hyperparam,performance,other,alpha直接影响top1_accuracy
hyperparam_kfold,perf_top20_accuracy,0.3000000119209289,main_effect,yes,strong,hyperparam,performance,other,kfold直接影响top20_accuracy
hyperparam_kfold_x_is_parallel,energy_gpu_total_joules,0.3000000119209289,moderation,yes,strong,interaction,energy,Q1,并行模式调节kfold对gpu_total_joules的效应
energy_gpu_min_watts,perf_top1_accuracy,0.3000000119209289,irrelevant,yes,strong,mediator,performance,Q2,gpu_min_watts → top1_accuracy
energy_gpu_max_watts,energy_gpu_avg_watts,0.3000000119209289,mediator,yes,strong,mediator,mediator,Q3,gpu_max_watts通过某种机制影响gpu_avg_watts
energy_gpu_temp_avg_celsius,energy_gpu_avg_watts,0.3000000119209289,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_avg_celsius通过某种机制影响gpu_avg_watts
energy_gpu_temp_avg_celsius,energy_gpu_max_watts,0.3000000119209289,mediator,yes,strong,mediator,mediator,Q3,gpu_temp_avg_celsius通过某种机制影响gpu_max_watts
energy_cpu_ram_joules,energy_gpu_total_joules,0.3000000119209289,mediator,yes,strong,energy,energy,Q3,cpu_ram_joules通过某种机制影响gpu_total_joules
hyperparam_alpha_x_is_parallel,perf_top20_accuracy,0.3000000119209289,moderation,yes,strong,interaction,performance,other,并行模式调节alpha对top20_accuracy的效应
hyperparam_kfold_x_is_parallel,energy_gpu_util_avg_percent,0.3000000119209289,moderation,yes,strong,interaction,mediator,other,并行模式调节kfold对gpu_util_avg_percent的效应
energy_cpu_ram_joules,energy_cpu_pkg_joules,0.3000000119209289,mediator,yes,strong,energy,energy,Q3,cpu_ram_joules通过某种机制影响cpu_pkg_joules
energy_cpu_total_joules,energy_cpu_ram_joules,0.3000000119209289,mediator,yes,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响cpu_ram_joules
energy_gpu_min_watts,energy_gpu_avg_watts,0.3000000119209289,mediator,yes,strong,mediator,mediator,Q3,gpu_min_watts通过某种机制影响gpu_avg_watts
energy_cpu_total_joules,energy_cpu_pkg_joules,0.3000000119209289,mediator,yes,strong,energy,energy,Q3,cpu_total_joules通过某种机制影响cpu_pkg_joules
hyperparam_alpha_x_is_parallel,perf_top1_accuracy,0.3000000119209289,moderation,yes,strong,interaction,performance,other,并行模式调节alpha对top1_accuracy的效应
energy_gpu_util_max_percent,energy_gpu_min_watts,0.3000000119209289,mediator,yes,strong,mediator,mediator,Q3,gpu_util_max_percent通过某种机制影响gpu_min_watts
