,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent,model_mnist_ff,model_mnist_rnn,model_siamese,hyperparam_batch_size,hyperparam_learning_rate,hyperparam_epochs,hyperparam_seed,hyperparam_l2_regularization,model_hrnet18,model_pcb,hyperparam_dropout,perf_map,perf_rank1,perf_rank5,hyperparam_alpha,hyperparam_kfold,hyperparam_max_iter
energy_cpu_pkg_joules,0.0,0.31,0.3,0.05,0.07000001,0.09,0.24000001,0.0,0.05,0.0,0.030000001,0.0,0.0,0.0,0.0,0.0,0.07000001,0.0,0.0,0.02,0.05,0.02,0.0,0.0,0.02,0.0,0.0,0.0
energy_cpu_ram_joules,0.29,0.0,0.36,0.04,0.030000001,0.17,0.19000001,0.0,0.060000002,0.02,0.04,0.0,0.0,0.0,0.0,0.01,0.02,0.0,0.0,0.030000001,0.08,0.0,0.02,0.0,0.0,0.0,0.0,0.0
energy_cpu_total_joules,0.31,0.25,0.0,0.02,0.07,0.02,0.25,0.0,0.02,0.01,0.04,0.0,0.0,0.0,0.0,0.01,0.07000001,0.0,0.0,0.030000001,0.02,0.05,0.01,0.0,0.01,0.0,0.0,0.0
energy_gpu_avg_watts,0.030000001,0.02,0.02,0.0,0.120000005,0.34,0.16,0.31,0.24000001,0.11,0.09,0.0,0.0,0.0,0.0,0.16,0.11,0.05,0.0,0.22999999,0.09,0.21,0.030000001,0.05,0.02,0.0,0.0,0.0
energy_gpu_max_watts,0.07,0.080000006,0.030000001,0.15,0.0,0.35,0.21,0.14000002,0.16,0.31,0.32999998,0.0,0.0,0.0,0.0,0.17,0.1,0.15,0.0,0.26999998,0.41000003,0.21000001,0.07,0.11,0.11,0.0,0.0,0.0
energy_gpu_min_watts,0.04,0.02,0.05,0.0,0.0,0.0,0.32,0.0,0.0,0.1,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.13,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0
energy_gpu_total_joules,0.16,0.16999999,0.17,0.02,0.02,0.25,0.0,0.01,0.01,0.030000001,0.0,0.0,0.0,0.0,0.0,0.0,0.030000001,0.0,0.0,0.07000001,0.0,0.030000001,0.01,0.01,0.02,0.0,0.0,0.0
energy_gpu_temp_avg_celsius,0.07000001,0.05,0.05,0.22999999,0.089999996,0.2,0.1,0.0,0.2,0.060000002,0.13000001,0.0,0.0,0.0,0.0,0.22,0.23000002,0.14,0.0,0.45,0.05,0.19000001,0.02,0.060000002,0.02,0.0,0.0,0.0
energy_gpu_temp_max_celsius,0.05,0.060000002,0.060000002,0.22,0.18,0.16,0.14000002,0.27,0.0,0.19000001,0.26,0.0,0.0,0.0,0.0,0.34,0.2,0.120000005,0.0,0.19000001,0.120000005,0.2,0.01,0.05,0.02,0.0,0.0,0.0
energy_gpu_util_avg_percent,0.030000001,0.04,0.02,0.02,0.09,0.83000004,0.31,0.01,0.060000002,0.0,0.120000005,0.0,0.0,0.0,0.0,0.04,0.02,0.31,0.0,0.01,0.19000001,0.01,0.01,0.0,0.02,0.0,0.0,0.0
energy_gpu_util_max_percent,0.030000001,0.07,0.01,0.16,0.27,0.1,0.09,0.22999999,0.24000001,0.31,0.0,0.0,0.0,0.0,0.0,0.1,0.09,0.23999998,0.0,0.15,0.14000002,0.11,0.0,0.030000001,0.02,0.0,0.0,0.0
model_mnist_ff,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_mnist_rnn,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_siamese,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_batch_size,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_learning_rate,0.01,0.04,0.01,0.0,0.01,0.0,0.01,0.01,0.04,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.030000001,0.060000002,0.060000002,0.11,0.120000005,0.13,0.0,0.0,0.0
hyperparam_epochs,0.089999996,0.14000002,0.060000002,0.01,0.02,0.26,0.41,0.01,0.02,0.0,0.02,0.0,0.0,0.0,0.0,0.030000001,0.0,0.09,0.0,0.05,0.02,0.0,0.01,0.01,0.060000002,0.0,0.0,0.0
hyperparam_seed,0.0,0.0,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_l2_regularization,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
model_hrnet18,0.060000002,0.14000002,0.030000001,0.080000006,0.11,0.41,0.37000003,0.120000005,0.060000002,0.01,0.02,0.0,0.0,0.0,0.0,0.04,0.01,0.04,0.0,0.0,0.17,0.16000001,0.04,0.030000001,0.120000005,0.0,0.0,0.0
model_pcb,0.1,0.060000002,0.04,0.01,0.1,0.25,0.16,0.02,0.02,0.17,0.01,0.0,0.0,0.0,0.0,0.030000001,0.0,0.2,0.0,0.24000001,0.0,0.01,0.120000005,0.2,0.14,0.0,0.0,0.0
hyperparam_dropout,0.05,0.0,0.02,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.030000001,0.0,0.43,0.0,0.01,0.0,0.0,0.060000002,0.07000001,0.120000005,0.0,0.0,0.0
perf_map,0.0,0.01,0.02,0.0,0.0,0.01,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.31,0.0,0.0,0.0,0.01,0.120000005,0.04,0.0,0.33,0.25,0.0,0.0,0.0
perf_rank1,0.01,0.01,0.0,0.01,0.0,0.02,0.030000001,0.02,0.0,0.030000001,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.0,0.0,0.11,0.26,0.24000001,0.33,0.0,0.34000003,0.0,0.0,0.0
perf_rank5,0.0,0.0,0.0,0.0,0.0,0.030000001,0.0,0.01,0.0,0.02,0.0,0.0,0.0,0.0,0.0,0.089999996,0.0,0.05,0.0,0.04,0.23999998,0.2,0.21,0.27,0.0,0.0,0.0,0.0
hyperparam_alpha,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_kfold,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hyperparam_max_iter,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
