source,target,weight
energy_cpu_pkg_joules,energy_cpu_ram_joules,0.5
energy_cpu_pkg_joules,energy_cpu_total_joules,0.4000000059604645
energy_cpu_ram_joules,energy_cpu_total_joules,0.30000001192092896
energy_cpu_ram_joules,energy_gpu_total_joules,0.30000001192092896
energy_gpu_avg_watts,energy_gpu_min_watts,0.3499999940395355
energy_gpu_avg_watts,energy_gpu_temp_avg_celsius,0.3499999940395355
energy_gpu_avg_watts,hyperparam_dropout,0.3499999940395355
energy_gpu_max_watts,energy_gpu_min_watts,0.3499999940395355
energy_gpu_max_watts,energy_gpu_total_joules,0.30000001192092896
energy_gpu_max_watts,energy_gpu_util_avg_percent,0.45000001788139343
energy_gpu_max_watts,model_pcb,0.45000001788139343
energy_gpu_min_watts,energy_gpu_total_joules,0.4000000059604645
energy_gpu_temp_avg_celsius,hyperparam_learning_rate,0.30000001192092896
energy_gpu_temp_avg_celsius,model_hrnet18,0.45000001788139343
energy_gpu_temp_avg_celsius,hyperparam_dropout,0.4000000059604645
energy_gpu_temp_max_celsius,energy_gpu_temp_avg_celsius,0.30000001192092896
energy_gpu_temp_max_celsius,hyperparam_learning_rate,0.30000001192092896
energy_gpu_temp_max_celsius,hyperparam_epochs,0.3499999940395355
energy_gpu_util_avg_percent,energy_gpu_min_watts,0.9000000357627869
energy_gpu_util_max_percent,energy_gpu_max_watts,0.30000001192092896
hyperparam_epochs,energy_gpu_min_watts,0.3499999940395355
model_hrnet18,energy_gpu_min_watts,0.5
model_hrnet18,energy_gpu_total_joules,0.5
model_pcb,model_hrnet18,0.30000001192092896
hyperparam_dropout,hyperparam_seed,0.30000001192092896
perf_map,hyperparam_learning_rate,0.3499999940395355
perf_map,perf_rank1,0.3499999940395355
perf_map,perf_rank5,0.30000001192092896
perf_rank1,perf_map,0.3499999940395355
perf_rank1,perf_rank5,0.3499999940395355
