timestamp,power_draw_w
1763123991,82.60
1763123993,82.27
1763123995,90.76
1763123996,95.65
1763123997,198.44
1763123998,236.41
1763123999,234.98
1763124000,235.49
1763124001,205.54
1763124002,184.56
1763124003,235.35
1763124004,233.38
1763124005,235.43
1763124006,236.38
1763124007,174.54
1763124008,220.48
1763124009,239.72
1763124010,239.84
1763124011,237.15
1763124012,207.75
1763124013,183.44
1763124014,230.82
1763124015,237.46
1763124016,238.21
1763124017,236.82
1763124018,180.41
1763124019,213.89
1763124020,223.71
1763124021,229.12
1763124023,237.42
1763124024,224.15
1763124025,169.30
1763124026,226.55
1763124027,235.87
1763124028,239.41
1763124029,237.62
1763124030,196.30
1763124031,203.85
1763124032,239.32
1763124033,233.66
1763124034,237.99
1763124035,232.09
1763124036,168.29
1763124037,236.86
1763124038,239.26
1763124039,238.46
1763124040,240.98
1763124041,198.22
1763124042,207.32
1763124043,238.82
1763124044,238.17
1763124045,241.23
1763124046,234.69
1763124047,169.83
1763124048,240.16
1763124049,238.21
1763124050,239.78
1763124051,239.88
1763124052,205.05
1763124053,201.88
1763124054,242.35
1763124055,243.17
1763124056,241.72
1763124057,241.33
1763124058,173.91
1763124060,241.41
1763124061,237.60
1763124062,241.95
1763124063,238.83
1763124064,208.26
1763124065,193.02
1763124066,237.67
1763124067,231.34
1763124068,242.34
1763124069,240.21
1763124070,191.15
1763124071,214.41
1763124072,241.07
1763124073,241.93
1763124074,241.98
1763124075,215.07
1763124076,194.18
1763124077,240.10
1763124078,240.78
1763124079,241.54
1763124080,238.91
1763124081,185.89
1763124082,205.92
1763124083,235.07
1763124084,230.61
1763124085,240.26
1763124086,240.67
1763124087,175.26
1763124088,241.02
1763124089,239.50
1763124090,241.16
1763124091,238.43
1763124092,200.39
1763124093,205.59
1763124094,238.43
1763124095,242.47
1763124096,241.24
1763124097,235.86
1763124098,176.28
1763124100,240.92
1763124101,240.39
1763124102,240.09
1763124103,239.19
1763124104,198.27
1763124105,204.09
1763124106,242.27
1763124107,241.31
1763124108,240.35
1763124109,237.25
1763124110,168.70
1763124111,233.18
1763124112,236.49
1763124113,242.14
1763124114,232.06
1763124115,208.83
1763124116,192.32
1763124117,239.01
1763124118,239.65
1763124119,240.40
1763124120,237.73
1763124121,186.02
1763124122,227.38
1763124123,240.97
1763124124,238.86
1763124125,240.65
1763124126,210.60
1763124127,193.02
1763124128,240.45
1763124129,238.10
1763124130,241.43
1763124131,238.80
1763124132,182.64
1763124133,225.37
1763124134,239.55
1763124135,242.83
1763124136,239.92
1763124137,212.26
1763124139,194.22
1763124140,238.09
1763124141,240.88
1763124142,239.67
1763124143,242.47
