timestamp,gpu_util_percent,memory_util_percent
1763200849,0,0
1763200850,0,0
1763200852,0,0
1763200853,0,0
1763200854,0,0
1763200855,2,0
1763200856,0,0
1763200857,69,59
1763200858,77,67
1763200859,77,67
1763200860,74,64
1763200861,72,63
1763200862,81,70
1763200863,82,71
1763200864,82,71
1763200865,92,69
1763200866,93,67
1763200867,85,66
1763200868,88,62
1763200869,86,66
1763200870,92,68
1763200871,91,68
1763200872,91,68
1763200873,76,65
1763200874,90,69
1763200875,79,69
1763200876,76,65
1763200877,76,66
1763200878,81,69
1763200879,30,27
1763200880,76,66
1763200881,76,66
1763200882,75,64
1763200883,74,63
1763200884,71,62
1763200885,76,65
1763200886,75,64
1763200887,76,66
1763200889,74,64
1763200890,75,64
1763200891,76,66
1763200892,76,66
1763200893,77,67
1763200894,75,65
1763200895,75,64
1763200896,75,65
1763200897,77,67
1763200898,74,64
1763200899,76,66
1763200900,76,66
1763200901,74,64
1763200902,75,64
1763200903,77,67
1763200904,82,71
1763200905,78,68
1763200906,77,67
1763200907,77,66
1763200908,76,65
1763200909,75,66
1763200910,82,71
1763200911,77,67
1763200912,67,49
1763200913,0,0
1763200914,0,0
1763200915,0,0
1763200916,0,0
1763200917,0,0
1763200918,9,0
1763200919,8,0
1763200920,7,0
1763200921,7,0
1763200922,11,0
1763200923,0,0
1763200924,0,0
1763200926,0,0
1763200927,0,0
1763200928,0,0
1763200929,0,0
1763200930,1,0
1763200931,0,0
1763200932,0,0
1763200933,0,0
1763200934,58,33
1763200935,0,0
1763200936,0,0
1763200937,0,0
1763200938,0,0
1763200939,0,0
1763200940,31,16
1763200941,60,48
1763200942,59,47
1763200943,64,51
1763200944,58,47
1763200945,60,47
1763200946,62,50
1763200947,65,52
1763200948,59,46
1763200949,62,49
1763200950,57,46
1763200951,62,50
1763200952,53,42
1763200953,66,52
1763200954,64,51
1763200955,66,53
1763200956,60,48
1763200957,64,51
1763200958,63,50
1763200960,61,48
1763200961,51,40
1763200962,59,46
1763200963,60,47
1763200964,58,45
1763200965,57,45
1763200966,64,51
1763200967,56,44
1763200968,58,46
1763200969,68,55
1763200970,63,50
1763200971,49,39
1763200972,75,52
1763200973,67,49
1763200974,72,51
1763200975,73,51
1763200976,74,53
1763200977,76,52
1763200978,100,79
1763200979,98,72
1763200980,96,69
1763200981,81,68
1763200982,99,78
1763200983,98,79
1763200984,98,79
1763200985,98,79
1763200986,98,78
1763200987,99,79
1763200988,98,77
1763200989,99,79
1763200990,97,72
1763200991,97,70
1763200993,86,72
1763200994,89,74
1763200995,91,75
1763200996,92,73
1763200997,96,74
1763200998,93,73
1763200999,94,72
1763201000,96,74
1763201001,91,71
1763201002,95,74
1763201003,96,74
