timestamp,power_draw_w
1763197990,315.83
1763197991,311.15
1763197992,310.32
1763197993,316.02
1763197994,312.12
1763197995,293.01
1763197996,291.91
1763197997,292.23
1763197998,292.42
1763197999,292.75
1763198000,293.17
1763198001,293.97
1763198002,294.47
1763198003,294.30
1763198004,294.65
1763198005,294.79
1763198006,294.76
1763198008,294.88
1763198009,294.87
1763198010,295.46
1763198011,295.66
1763198012,295.11
1763198013,295.27
1763198014,295.20
1763198015,295.63
1763198016,295.65
1763198017,295.68
1763198018,295.65
1763198019,295.26
1763198020,295.73
1763198021,295.86
1763198022,294.94
1763198023,296.13
1763198024,294.04
1763198025,292.99
1763198026,294.60
1763198027,295.17
1763198028,291.79
1763198029,289.36
1763198030,292.01
1763198031,293.60
1763198032,290.20
1763198033,294.41
1763198034,289.13
1763198035,293.28
1763198036,289.42
1763198037,292.36
1763198038,304.20
