timestamp,gpu_temp_c,memory_temp_c
1763211742,66,N/A
1763211744,65,N/A
1763211746,66,N/A
1763211747,66,N/A
1763211748,68,N/A
1763211749,72,N/A
1763211750,73,N/A
1763211751,73,N/A
1763211752,74,N/A
1763211753,72,N/A
1763211754,74,N/A
1763211755,74,N/A
1763211756,74,N/A
1763211757,75,N/A
1763211758,75,N/A
1763211759,75,N/A
1763211760,75,N/A
1763211761,76,N/A
1763211762,77,N/A
1763211763,77,N/A
1763211764,75,N/A
1763211765,76,N/A
1763211766,77,N/A
1763211767,78,N/A
1763211768,78,N/A
1763211769,78,N/A
1763211770,76,N/A
1763211771,78,N/A
1763211772,78,N/A
1763211773,79,N/A
1763211775,79,N/A
1763211776,77,N/A
1763211777,78,N/A
1763211778,79,N/A
1763211779,79,N/A
1763211780,79,N/A
1763211781,80,N/A
1763211782,78,N/A
1763211783,79,N/A
1763211784,80,N/A
1763211785,80,N/A
1763211786,80,N/A
1763211787,78,N/A
1763211788,79,N/A
1763211789,80,N/A
1763211790,80,N/A
1763211791,80,N/A
1763211792,80,N/A
1763211793,78,N/A
1763211794,80,N/A
1763211795,80,N/A
1763211796,81,N/A
1763211797,81,N/A
1763211798,79,N/A
1763211799,80,N/A
1763211800,81,N/A
1763211801,81,N/A
1763211802,81,N/A
1763211803,81,N/A
1763211804,80,N/A
1763211805,81,N/A
1763211806,81,N/A
1763211807,81,N/A
1763211809,81,N/A
1763211810,79,N/A
1763211811,81,N/A
1763211812,81,N/A
1763211813,81,N/A
1763211814,82,N/A
1763211815,81,N/A
1763211816,79,N/A
1763211817,81,N/A
1763211818,81,N/A
1763211819,82,N/A
1763211820,82,N/A
1763211821,80,N/A
1763211822,81,N/A
1763211823,82,N/A
1763211824,81,N/A
1763211825,82,N/A
1763211826,82,N/A
1763211827,80,N/A
1763211828,82,N/A
1763211829,82,N/A
1763211830,82,N/A
1763211831,82,N/A
1763211832,80,N/A
1763211833,82,N/A
1763211834,82,N/A
1763211835,82,N/A
1763211836,82,N/A
1763211837,81,N/A
1763211838,80,N/A
1763211839,82,N/A
1763211840,82,N/A
1763211842,82,N/A
1763211843,82,N/A
1763211844,80,N/A
1763211845,81,N/A
1763211846,81,N/A
1763211847,82,N/A
1763211848,82,N/A
1763211849,82,N/A
1763211850,80,N/A
1763211851,81,N/A
1763211852,82,N/A
1763211853,82,N/A
1763211854,81,N/A
1763211855,79,N/A
1763211856,81,N/A
1763211857,81,N/A
1763211858,81,N/A
1763211859,81,N/A
1763211860,81,N/A
1763211861,79,N/A
1763211862,81,N/A
1763211863,81,N/A
1763211864,81,N/A
1763211865,81,N/A
1763211866,79,N/A
1763211867,81,N/A
1763211868,81,N/A
1763211869,81,N/A
1763211870,81,N/A
1763211871,81,N/A
1763211872,79,N/A
1763211873,80,N/A
1763211874,81,N/A
1763211875,81,N/A
1763211876,81,N/A
1763211877,79,N/A
1763211878,80,N/A
1763211880,81,N/A
1763211881,80,N/A
1763211882,81,N/A
1763211883,81,N/A
1763211884,77,N/A
