timestamp,gpu_util_percent,memory_util_percent
1763395701,0,0
1763395703,0,0
1763395704,0,0
1763395705,0,0
1763395706,2,0
1763395707,11,6
1763395708,11,6
1763395709,10,5
1763395710,14,7
1763395711,14,7
1763395712,14,7
1763395713,30,7
1763395714,30,7
1763395715,29,7
1763395716,31,7
1763395717,29,7
1763395718,94,71
1763395719,94,77
1763395720,93,77
1763395721,96,72
1763395722,95,71
1763395723,95,73
1763395724,93,71
1763395725,93,70
1763395726,93,71
1763395727,97,72
1763395728,97,72
1763395729,93,70
1763395730,95,71
1763395731,96,72
1763395732,95,72
1763395733,90,75
1763395734,91,75
1763395735,96,71
1763395736,91,69
1763395737,95,71
1763395738,95,71
1763395739,94,70
1763395740,95,71
1763395742,94,70
1763395743,94,69
1763395744,95,71
1763395745,92,69
1763395746,95,71
1763395747,91,71
1763395748,89,74
1763395749,97,72
1763395750,96,71
1763395751,96,71
1763395752,93,69
1763395753,96,71
1763395754,95,71
1763395755,93,70
1763395756,96,71
1763395757,95,71
1763395758,96,71
1763395759,93,70
1763395760,96,71
1763395761,90,75
1763395762,91,75
1763395763,96,71
1763395764,94,70
1763395765,95,70
1763395766,93,70
1763395767,96,71
1763395768,96,72
1763395769,93,71
1763395770,96,71
1763395771,97,72
1763395772,92,69
1763395773,94,70
1763395774,94,69
1763395775,95,77
1763395776,95,71
1763395777,93,71
1763395778,96,71
1763395779,96,71
1763395780,93,70
1763395781,93,70
1763395783,91,67
1763395784,95,71
1763395785,93,69
1763395786,97,71
1763395787,96,71
1763395788,93,70
1763395789,94,75
1763395790,88,73
1763395791,96,72
1763395792,92,69
1763395793,97,72
1763395794,96,71
1763395795,92,70
1763395796,97,71
1763395797,97,72
1763395798,97,72
1763395799,93,70
1763395800,96,71
1763395801,96,71
1763395802,93,69
1763395803,90,74
1763395804,90,75
1763395805,95,70
1763395806,93,70
1763395807,96,71
1763395808,93,70
1763395809,96,71
1763395810,96,71
1763395811,93,68
1763395812,96,70
1763395813,96,70
1763395814,93,68
1763395815,96,71
1763395816,92,72
1763395817,89,73
1763395818,96,71
1763395819,93,67
1763395820,96,71
1763395821,96,71
1763395823,95,71
1763395824,96,71
1763395825,96,71
1763395826,93,69
1763395827,96,71
1763395828,95,70
1763395829,96,72
1763395830,93,69
1763395831,92,75
1763395832,90,70
1763395833,97,71
1763395834,95,70
1763395835,93,68
1763395836,96,70
1763395837,96,71
1763395838,92,69
1763395839,96,71
1763395840,96,70
1763395841,93,69
1763395842,96,68
1763395843,92,68
1763395844,93,74
1763395845,88,72
