timestamp,gpu_util_percent,memory_util_percent
1763402681,99,63
1763402682,99,63
1763402683,99,66
1763402684,99,72
1763402685,98,70
1763402686,99,62
1763402687,72,51
1763402688,99,63
1763402689,99,67
1763402690,99,71
1763402691,97,70
1763402692,99,62
1763402693,99,62
1763402694,99,67
1763402695,99,72
1763402696,98,70
1763402697,99,64
1763402698,99,62
1763402699,99,69
1763402700,98,69
1763402701,98,69
1763402702,98,69
1763402703,99,63
1763402704,99,62
1763402705,99,62
1763402706,99,67
1763402707,98,69
1763402708,98,69
1763402709,99,66
1763402710,99,62
1763402711,99,61
1763402712,99,61
1763402713,99,63
1763402714,98,70
1763402715,98,68
1763402717,99,68
1763402718,99,64
1763402719,99,62
1763402720,99,61
1763402721,99,61
1763402722,99,69
1763402723,99,69
1763402724,97,63
1763402725,79,54
1763402726,98,68
1763402727,98,69
1763402728,99,68
1763402729,99,60
1763402730,99,63
1763402731,99,66
1763402732,99,68
1763402733,99,70
1763402734,99,68
1763402735,98,68
1763402736,99,64
1763402737,99,63
1763402738,99,61
1763402739,99,61
1763402740,99,61
1763402741,99,61
1763402742,97,60
1763402743,99,61
1763402744,99,61
1763402745,99,61
1763402746,99,61
1763402747,99,60
1763402748,99,61
1763402749,99,61
1763402750,99,62
1763402751,99,62
1763402753,99,60
1763402754,99,60
1763402755,99,60
1763402756,99,60
1763402757,99,65
1763402758,99,66
1763402759,98,65
1763402760,99,65
1763402761,99,60
1763402762,99,60
1763402763,99,61
1763402764,99,61
1763402765,98,65
1763402766,99,67
1763402767,99,63
1763402768,99,59
1763402769,99,60
1763402770,99,63
1763402771,99,64
1763402772,98,65
1763402773,99,66
1763402774,99,60
1763402775,99,59
1763402776,99,66
1763402777,99,66
1763402778,99,64
1763402779,99,64
1763402780,99,60
1763402781,99,60
1763402782,99,66
1763402783,99,66
1763402784,99,65
1763402785,99,60
1763402786,99,60
1763402787,99,60
1763402788,99,61
1763402790,98,65
1763402791,99,67
1763402792,99,64
1763402793,99,64
1763402794,72,47
1763402795,15,7
1763402796,99,70
1763402797,98,72
1763402798,99,64
1763402799,99,63
1763402800,97,70
1763402801,99,66
1763402802,99,62
1763402803,99,63
1763402804,99,71
1763402805,98,70
1763402806,99,67
1763402807,99,64
1763402808,99,70
1763402809,98,68
1763402810,98,68
1763402811,98,68
1763402812,99,67
1763402813,99,67
1763402814,99,61
1763402815,99,61
1763402816,99,62
1763402817,99,64
1763402818,99,67
1763402819,98,66
1763402820,98,66
1763402821,98,67
1763402822,99,67
1763402823,99,67
1763402825,99,63
1763402826,99,60
1763402827,99,59
1763402828,99,59
1763402829,99,60
1763402830,99,62
1763402831,98,66
1763402832,99,67
1763402833,99,65
1763402834,99,61
1763402835,99,63
1763402836,99,59
1763402837,99,59
1763402838,99,60
1763402839,99,66
1763402840,98,66
1763402841,99,68
1763402842,99,67
1763402843,99,63
1763402844,99,59
1763402845,99,60
1763402846,99,61
1763402847,99,65
1763402848,98,66
1763402849,97,65
1763402850,99,67
1763402851,99,66
1763402852,99,62
1763402853,99,59
1763402854,99,60
1763402855,99,60
1763402856,87,55
1763402857,98,66
1763402858,99,67
1763402860,99,67
1763402861,99,62
1763402862,99,59
1763402863,44,31
1763402864,98,63
1763402865,98,71
1763402866,99,68
1763402867,99,62
1763402868,99,66
1763402869,99,71
1763402870,99,62
1763402871,99,62
1763402872,99,66
1763402873,99,71
1763402874,98,71
1763402875,99,67
1763402876,99,62
1763402877,99,62
1763402878,99,66
1763402879,99,66
1763402880,99,69
1763402881,99,70
1763402882,99,67
1763402883,99,65
1763402884,99,68
1763402885,99,67
1763402886,99,64
1763402887,99,61
1763402888,99,60
1763402889,99,60
1763402890,99,60
1763402891,99,59
1763402892,99,60
1763402893,99,62
1763402894,99,66
1763402896,98,66
1763402897,99,68
1763402898,99,61
1763402899,99,63
1763402900,99,60
1763402901,99,59
1763402902,99,60
1763402903,99,62
1763402904,99,67
1763402905,98,66
1763402906,98,66
1763402907,98,66
1763402908,99,64
1763402909,99,61
1763402910,99,59
1763402911,99,60
1763402912,99,60
1763402913,99,60
1763402914,99,61
1763402915,99,65
1763402916,98,66
1763402917,98,66
1763402918,99,67
1763402919,99,65
1763402920,99,67
1763402921,99,64
1763402922,99,61
1763402923,99,60
1763402924,99,61
