timestamp,power_draw_w
1763457006,311.49
1763457007,311.14
1763457008,312.67
1763457009,311.72
1763457010,309.19
1763457011,310.32
1763457012,310.60
1763457013,310.89
1763457014,310.76
1763457015,310.49
1763457016,311.17
1763457017,311.18
1763457018,313.15
1763457019,313.22
1763457020,313.65
1763457021,313.91
1763457022,313.87
1763457023,314.96
1763457024,314.62
1763457025,315.53
1763457026,315.51
1763457027,315.97
1763457028,316.76
1763457029,315.99
1763457030,316.85
1763457031,317.25
1763457032,318.02
