timestamp,power_draw_w
1763547044,78.88
1763547046,76.52
1763547048,76.50
1763547050,85.32
1763547051,102.77
1763547052,170.69
1763547053,242.40
1763547054,248.26
1763547055,247.05
1763547056,258.26
1763547057,257.35
1763547058,258.16
1763547059,257.93
1763547060,258.57
1763547061,259.50
1763547062,259.59
1763547063,260.49
1763547064,259.98
1763547065,259.80
1763547066,261.75
1763547067,237.54
1763547068,260.14
1763547069,262.70
1763547070,262.42
1763547071,263.67
1763547072,262.26
1763547073,262.10
1763547074,260.92
1763547075,263.86
1763547076,261.55
1763547077,260.85
1763547078,260.75
1763547079,261.49
1763547081,261.09
1763547082,262.96
1763547083,261.54
1763547084,258.95
1763547085,256.20
1763547086,252.50
1763547087,259.98
1763547088,253.22
1763547089,242.14
1763547090,262.36
1763547091,263.05
1763547092,263.77
1763547093,262.81
1763547094,263.62
1763547095,264.59
1763547096,264.70
1763547097,262.60
1763547098,265.39
1763547099,258.76
1763547100,264.04
1763547101,267.08
1763547102,266.05
1763547103,260.90
1763547104,257.08
1763547105,250.88
1763547106,253.49
1763547107,254.59
1763547108,252.74
1763547109,252.34
1763547110,253.62
1763547111,252.71
1763547112,265.30
1763547113,264.68
1763547114,266.27
1763547115,265.04
1763547117,266.11
1763547118,263.16
1763547119,259.50
1763547120,263.64
1763547121,254.00
1763547122,259.39
1763547123,263.53
1763547124,264.61
1763547125,263.65
1763547126,248.02
1763547127,264.31
1763547128,251.87
1763547129,251.44
1763547130,258.92
1763547131,258.67
1763547132,258.19
1763547133,256.18
1763547134,261.11
1763547135,266.16
1763547136,264.57
1763547137,265.31
1763547138,264.59
1763547139,260.03
1763547140,264.22
1763547141,261.83
1763547142,263.84
1763547143,263.68
1763547144,263.36
1763547145,265.17
1763547146,266.52
1763547147,264.51
1763547148,267.07
1763547149,267.01
1763547150,266.83
1763547151,266.23
1763547153,266.06
1763547154,265.24
1763547155,255.09
1763547156,263.27
1763547157,266.91
1763547158,266.52
1763547159,241.29
1763547160,265.97
1763547161,271.23
1763547162,264.64
1763547163,250.30
1763547164,265.68
1763547165,264.99
1763547166,265.61
1763547167,265.65
1763547168,266.71
1763547169,266.39
1763547170,258.43
1763547171,265.08
1763547172,264.63
1763547173,264.15
1763547174,256.01
1763547175,252.41
1763547176,254.82
1763547177,258.02
1763547178,253.78
1763547179,254.49
1763547180,255.65
1763547181,257.98
1763547182,257.27
1763547183,260.40
1763547184,266.28
1763547185,264.24
1763547186,253.86
1763547187,265.37
1763547188,260.64
1763547190,263.44
1763547191,265.76
1763547192,266.60
1763547193,266.10
1763547194,267.02
1763547195,266.33
1763547196,266.47
1763547197,266.36
1763547198,252.60
1763547199,259.79
1763547200,251.97
1763547201,266.10
1763547202,265.30
1763547203,263.71
1763547204,255.46
1763547205,264.46
1763547206,264.85
1763547207,266.37
1763547208,266.42
1763547209,265.93
1763547210,263.61
1763547211,266.66
1763547212,266.65
1763547213,266.51
1763547214,266.83
1763547215,267.42
1763547216,267.71
1763547217,268.38
1763547218,267.46
1763547219,267.45
1763547220,268.40
1763547221,268.52
1763547222,268.55
1763547223,269.60
1763547224,265.89
1763547226,267.48
1763547227,266.95
1763547228,267.27
1763547229,267.15
1763547230,267.17
1763547231,266.23
1763547232,264.44
1763547233,256.79
1763547234,261.42
1763547235,258.71
1763547236,250.31
1763547237,267.05
1763547238,267.26
1763547239,262.14
1763547240,257.86
1763547241,264.03
1763547242,264.32
1763547243,266.79
1763547244,266.91
1763547245,265.46
1763547246,265.40
1763547247,263.76
1763547248,266.82
1763547249,266.93
1763547250,267.22
1763547251,265.98
1763547252,265.44
1763547253,266.23
1763547254,249.10
1763547255,269.67
1763547256,271.46
1763547257,270.19
1763547258,271.17
1763547259,269.56
1763547260,270.66
1763547261,269.68
1763547263,259.29
1763547264,270.35
1763547265,268.76
1763547266,270.05
1763547267,270.61
1763547268,268.02
1763547269,269.33
1763547270,271.89
1763547271,272.29
1763547272,248.54
1763547273,267.62
1763547274,268.61
1763547275,267.91
1763547276,266.76
1763547277,265.84
1763547278,266.22
1763547279,267.31
1763547280,260.50
1763547281,251.51
1763547282,254.71
1763547283,260.12
1763547284,262.75
1763547285,260.08
1763547286,258.87
1763547287,256.22
1763547288,255.10
1763547289,257.03
1763547290,254.59
1763547291,253.51
1763547292,255.94
1763547293,259.55
1763547294,257.83
1763547295,266.22
1763547296,265.61
1763547297,266.96
1763547298,267.28
1763547300,267.27
1763547301,267.35
1763547302,266.05
1763547303,265.92
1763547304,268.01
1763547305,266.35
1763547306,258.57
1763547307,260.87
1763547308,268.01
1763547309,267.60
1763547310,254.76
1763547311,268.21
1763547312,268.56
1763547313,267.68
1763547314,260.04
1763547315,259.83
1763547316,255.26
1763547317,257.45
1763547318,268.53
1763547319,268.48
1763547320,265.48
1763547321,265.19
1763547322,267.82
1763547323,266.72
1763547324,268.31
1763547325,268.33
1763547326,268.75
1763547327,268.12
1763547328,268.43
1763547329,265.83
1763547330,265.62
1763547331,265.68
1763547332,266.86
1763547333,266.10
1763547334,267.49
1763547335,268.10
1763547336,263.11
1763547338,263.20
1763547339,263.34
1763547340,269.26
1763547341,265.11
1763547342,267.24
1763547343,266.18
1763547344,268.04
1763547345,265.92
1763547346,253.10
1763547347,264.82
1763547348,268.98
1763547349,268.94
1763547350,256.63
1763547351,247.63
1763547352,265.08
1763547353,256.86
1763547354,261.50
1763547355,271.92
1763547356,269.72
1763547357,269.45
1763547358,261.82
1763547359,268.45
1763547360,262.23
1763547361,259.85
1763547362,263.94
1763547363,271.41
1763547364,266.44
1763547365,252.51
1763547366,258.18
1763547367,252.51
1763547368,255.66
1763547369,267.99
1763547370,268.44
1763547372,270.76
1763547373,266.91
1763547374,260.62
1763547375,263.04
1763547376,266.27
1763547377,262.85
1763547378,267.73
1763547379,266.99
1763547380,264.65
1763547381,269.87
1763547382,267.52
1763547383,247.26
1763547384,264.05
1763547385,263.08
1763547386,268.89
1763547387,264.45
1763547388,259.83
1763547389,259.28
1763547390,264.85
1763547391,269.70
1763547392,266.52
1763547393,262.65
1763547394,264.61
1763547395,269.90
1763547396,264.87
1763547397,260.54
1763547398,263.35
1763547399,270.22
1763547400,265.45
1763547401,264.38
1763547402,263.23
1763547403,260.11
1763547404,262.89
1763547405,257.55
1763547406,262.85
1763547407,266.10
1763547409,258.68
1763547410,261.58
1763547411,261.70
1763547412,267.83
1763547413,263.22
1763547414,262.77
1763547415,260.70
1763547416,265.38
1763547417,262.78
1763547418,265.79
1763547419,224.40
1763547420,242.13
1763547421,263.84
1763547422,267.69
1763547423,261.74
1763547424,256.20
1763547425,258.99
1763547426,258.70
1763547427,262.01
1763547428,262.58
1763547429,266.92
1763547430,270.25
1763547431,263.15
1763547432,262.71
1763547433,259.97
1763547434,266.98
1763547435,260.69
1763547436,263.03
1763547437,269.96
1763547438,251.31
1763547439,255.90
1763547440,256.99
1763547441,263.15
1763547442,261.50
1763547443,259.62
1763547445,243.12
1763547446,256.82
