timestamp,gpu_util_percent,memory_util_percent
1763572792,0,0
1763572794,0,0
1763572796,0,0
1763572798,0,0
1763572799,5,0
1763572800,98,44
1763572801,98,39
1763572802,99,70
1763572803,99,72
1763572804,99,71
1763572805,99,70
1763572806,99,74
1763572807,98,77
1763572808,98,79
1763572809,99,78
1763572810,99,73
1763572811,99,70
1763572812,99,73
1763572813,99,70
1763572814,99,72
1763572815,98,76
1763572816,98,79
1763572817,99,78
1763572818,99,72
1763572819,99,69
1763572820,99,71
1763572821,99,69
1763572822,98,73
1763572823,98,79
1763572824,99,76
1763572825,99,71
1763572826,99,71
1763572828,99,69
1763572829,99,74
1763572830,98,79
1763572831,99,75
1763572832,99,70
1763572833,99,74
1763572834,98,78
1763572835,99,74
1763572836,99,74
1763572837,99,69
1763572838,98,74
1763572839,99,77
1763572840,99,70
1763572841,99,73
1763572842,98,77
1763572843,99,71
1763572844,99,71
1763572845,99,69
1763572846,98,78
1763572847,99,71
1763572848,99,69
1763572849,98,77
1763572850,99,69
1763572851,99,68
1763572852,98,75
1763572853,99,72
1763572854,99,71
1763572855,99,67
1763572856,98,74
1763572857,99,66
1763572858,98,72
1763572859,99,66
1763572860,99,69
1763572861,79,53
1763572862,98,67
1763572863,99,66
1763572864,99,66
1763572866,99,73
1763572867,99,65
1763572868,99,68
1763572869,98,72
1763572870,99,67
1763572871,99,65
1763572872,99,72
1763572873,98,71
1763572874,99,65
1763572875,98,72
1763572876,99,68
1763572877,99,65
1763572878,99,73
1763572879,98,70
1763572880,99,65
1763572881,99,69
1763572882,99,67
1763572883,99,66
1763572884,99,73
1763572885,99,70
1763572886,99,65
1763572887,99,70
1763572888,98,72
1763572889,99,65
1763572890,98,71
1763572891,99,69
1763572892,99,65
1763572893,99,72
1763572894,98,71
1763572895,99,65
1763572896,99,69
1763572897,99,66
1763572898,99,66
1763572899,99,73
1763572900,99,71
1763572901,99,65
1763572902,99,71
1763572903,98,71
1763572904,99,65
1763572906,98,72
1763572907,99,68
1763572908,99,66
1763572909,99,73
1763572910,99,70
1763572911,99,65
1763572912,99,71
1763572913,98,72
1763572914,99,67
1763572915,98,72
1763572916,99,68
1763572917,99,66
1763572918,99,73
1763572919,99,70
1763572920,99,65
1763572921,98,72
1763572922,99,65
1763572923,99,67
1763572924,98,72
1763572925,99,68
1763572926,99,66
1763572927,42,34
1763572928,98,68
1763572929,99,70
1763572930,99,67
1763572931,98,74
1763572932,99,66
1763572933,99,73
1763572934,99,71
1763572935,99,67
1763572936,99,69
1763572937,99,68
1763572938,98,73
1763572939,99,65
1763572940,99,74
1763572941,99,69
1763572942,99,68
1763572943,98,74
1763572945,99,69
1763572946,98,72
1763572947,99,66
1763572948,99,74
1763572949,99,67
1763572950,99,69
1763572951,98,73
1763572952,99,66
1763572953,98,71
1763572954,99,66
1763572955,98,73
1763572956,99,66
1763572957,99,70
1763572958,98,72
1763572959,99,66
1763572960,99,71
1763572961,99,67
1763572962,98,74
1763572963,99,65
1763572964,99,72
1763572965,99,71
1763572966,99,67
1763572967,98,73
1763572968,99,68
1763572969,98,74
1763572970,99,66
1763572971,99,73
1763572972,99,71
1763572973,99,67
1763572974,98,74
1763572975,99,69
1763572976,98,73
1763572977,99,66
1763572978,99,74
1763572979,99,69
1763572980,99,68
1763572981,98,74
1763572982,99,66
1763572983,98,72
1763572985,99,66
1763572986,99,73
1763572987,99,67
1763572988,99,69
1763572989,98,73
1763572990,99,66
1763572991,98,71
1763572992,70,50
1763572993,98,68
1763572994,99,70
1763572995,98,71
1763572996,99,67
1763572997,98,74
1763572998,99,66
1763572999,98,71
1763573000,99,67
1763573001,98,74
1763573002,99,66
1763573003,99,74
1763573004,99,67
1763573005,99,71
1763573006,99,66
1763573007,99,74
1763573008,99,67
1763573009,99,71
1763573010,98,71
1763573011,99,67
1763573012,98,74
1763573013,99,66
1763573014,98,71
1763573015,99,67
1763573016,98,74
1763573017,99,66
1763573018,99,74
1763573019,99,67
1763573020,99,71
1763573021,99,66
1763573022,99,74
1763573024,99,67
1763573025,99,71
1763573026,98,71
1763573027,99,67
1763573028,98,74
1763573029,99,66
1763573030,98,71
1763573031,99,67
1763573032,98,74
1763573033,99,66
1763573034,99,74
1763573035,99,68
1763573036,99,70
1763573037,98,72
1763573038,99,74
1763573039,99,68
1763573040,99,70
1763573041,98,72
1763573042,99,67
1763573043,98,74
1763573044,99,66
1763573045,98,72
1763573046,99,66
1763573047,98,74
1763573048,99,66
1763573049,99,74
1763573050,99,69
1763573051,99,69
1763573052,98,72
1763573053,99,74
1763573054,99,70
1763573055,99,70
1763573056,98,68
1763573057,21,17
1763573058,99,68
1763573059,98,74
1763573060,99,73
1763573061,99,70
1763573063,99,70
1763573064,98,71
1763573065,99,68
1763573066,98,74
1763573067,99,66
1763573068,98,74
1763573069,99,69
1763573070,98,72
1763573071,99,67
1763573072,98,75
1763573073,99,66
1763573074,98,73
1763573075,99,66
1763573076,99,73
1763573077,99,67
1763573078,98,74
1763573079,99,66
1763573080,99,74
1763573081,99,69
1763573082,99,68
1763573083,98,73
1763573084,99,66
1763573085,99,72
1763573086,99,69
1763573087,99,65
1763573088,99,70
1763573089,98,72
1763573090,99,67
1763573091,99,65
1763573092,98,72
1763573093,99,67
1763573094,99,65
1763573095,99,69
1763573096,98,72
1763573097,99,68
1763573098,99,65
1763573099,99,69
1763573100,99,68
1763573101,99,65
1763573103,99,69
1763573104,98,72
1763573105,99,68
1763573106,99,65
1763573107,99,69
1763573108,99,68
1763573109,99,65
1763573110,99,69
1763573111,98,72
1763573112,99,67
1763573113,99,65
1763573114,99,69
1763573115,98,72
1763573116,99,65
1763573117,99,69
1763573118,98,72
1763573119,99,68
1763573120,99,65
1763573121,99,70
1763573122,98,66
1763573123,99,75
1763573124,98,78
1763573125,98,77
1763573126,99,75
1763573127,99,70
1763573128,99,71
1763573129,98,75
1763573130,98,78
1763573131,98,77
1763573132,99,75
1763573133,99,68
1763573134,99,66
1763573135,99,73
1763573136,98,70
1763573137,99,65
1763573138,99,67
1763573139,98,70
1763573140,99,64
1763573142,99,64
1763573143,99,66
1763573144,99,71
1763573145,98,71
1763573146,99,68
1763573147,99,66
1763573148,99,70
1763573149,98,71
1763573150,99,70
1763573151,99,64
1763573152,99,64
1763573153,99,67
1763573154,99,72
1763573155,99,64
1763573156,99,64
1763573157,99,66
1763573158,99,71
1763573159,98,71
1763573160,99,67
1763573161,99,64
1763573162,99,66
1763573163,98,71
1763573164,99,67
1763573165,99,64
1763573166,99,65
1763573167,99,70
1763573168,98,71
1763573169,99,70
1763573170,99,65
1763573171,99,70
1763573172,98,71
1763573173,99,70
1763573174,99,64
1763573175,99,65
1763573176,99,69
1763573177,98,70
1763573178,99,64
