timestamp,power_draw_w
1764159335,75.80
1764159337,78.24
1764159339,75.73
1764159340,84.71
1764159341,85.26
1764159343,85.24
1764159344,85.41
1764159345,85.53
1764159346,85.67
1764159347,85.70
1764159348,85.73
1764159349,85.82
1764159350,85.85
1764159351,85.85
1764159352,18.12
1764159353,8.55
1764159354,5.50
1764159355,5.19
1764159356,4.97
1764159357,4.96
1764159358,5.08
1764159359,4.91
1764159360,4.87
1764159361,4.98
1764159362,4.70
1764159363,4.84
1764159364,4.98
1764159365,4.82
1764159366,4.79
1764159367,4.96
1764159368,4.88
1764159369,5.03
1764159370,4.91
1764159371,4.94
1764159372,5.08
1764159373,4.89
1764159374,4.87
1764159375,5.03
1764159376,4.87
1764159377,34.05
1764159379,84.49
1764159380,84.71
1764159381,84.52
1764159382,118.96
1764159383,264.47
1764159384,267.83
1764159385,266.25
1764159386,267.90
1764159387,267.03
1764159388,271.06
1764159389,268.56
1764159390,267.05
1764159391,268.99
1764159392,271.59
1764159393,269.93
1764159394,272.64
1764159395,271.35
1764159396,271.39
1764159397,275.09
1764159398,271.76
1764159399,274.73
1764159400,272.10
1764159401,273.32
1764159402,271.02
1764159403,272.55
1764159404,271.52
1764159405,274.28
1764159406,271.85
1764159407,277.05
1764159408,275.02
1764159409,277.46
1764159410,276.68
1764159411,278.14
1764159412,276.56
1764159413,278.44
1764159414,280.28
1764159415,280.67
1764159416,278.01
1764159418,281.52
1764159419,279.09
1764159420,282.22
1764159421,278.66
1764159422,281.91
1764159423,278.64
1764159424,281.02
1764159425,281.62
1764159426,281.65
1764159427,284.05
1764159428,283.68
1764159429,281.20
1764159430,282.94
1764159431,282.30
1764159432,280.68
1764159433,285.21
1764159434,285.59
1764159435,281.93
1764159436,286.53
1764159437,284.45
1764159438,281.86
1764159439,284.96
1764159440,281.74
1764159441,283.16
1764159442,282.71
1764159443,281.52
1764159444,282.67
1764159445,282.71
1764159446,282.14
1764159447,281.69
1764159448,282.21
1764159449,284.78
1764159450,283.32
1764159451,279.98
1764159452,280.80
1764159453,284.07
1764159454,279.68
1764159456,281.58
1764159457,277.88
1764159458,279.31
1764159459,279.89
1764159460,280.08
1764159461,277.28
1764159462,273.95
1764159463,276.74
1764159464,281.60
1764159465,271.27
1764159466,275.95
1764159467,274.05
1764159468,271.08
1764159469,275.78
1764159470,274.34
1764159471,274.28
1764159472,274.80
1764159473,278.25
1764159474,272.06
1764159475,274.65
1764159476,272.90
1764159477,272.14
1764159478,276.35
1764159479,271.42
1764159480,275.64
1764159481,276.50
1764159482,272.53
1764159483,272.84
1764159484,270.05
1764159485,274.43
1764159486,268.81
1764159487,270.58
1764159488,268.59
1764159489,272.17
1764159490,267.62
1764159491,269.20
1764159492,271.41
1764159494,266.44
1764159495,274.61
1764159496,271.96
1764159497,273.16
1764159498,271.18
1764159499,267.96
1764159500,274.40
1764159501,275.53
1764159502,270.18
1764159503,263.69
1764159504,271.09
1764159505,268.96
1764159506,272.01
1764159507,272.62
1764159508,266.11
1764159509,269.70
1764159510,264.71
1764159511,266.50
1764159512,265.63
1764159513,272.77
1764159514,250.82
1764159515,251.23
1764159516,252.41
1764159517,233.75
1764159518,201.50
1764159519,199.02
1764159520,197.51
1764159521,198.60
1764159522,200.08
1764159523,197.67
1764159524,200.26
1764159525,197.67
1764159526,199.94
1764159527,197.12
1764159528,199.36
1764159529,200.29
1764159530,197.97
1764159531,199.54
1764159532,198.75
1764159534,197.64
1764159535,200.18
1764159536,197.57
1764159537,198.14
1764159538,199.20
1764159539,197.94
1764159540,199.19
1764159541,197.48
1764159542,198.13
1764159543,197.98
1764159544,197.87
1764159545,199.42
1764159546,197.11
1764159547,199.20
1764159548,199.14
1764159549,196.95
1764159550,200.07
1764159551,197.72
1764159552,198.46
1764159553,199.24
1764159554,197.35
1764159555,199.77
1764159556,199.10
1764159557,197.46
1764159558,199.39
1764159559,197.93
1764159560,198.70
1764159561,199.46
1764159562,198.13
1764159563,199.34
1764159564,197.79
1764159565,198.99
1764159566,198.13
1764159567,197.35
1764159568,200.32
1764159569,197.51
1764159570,198.71
1764159572,200.29
1764159573,197.60
1764159574,199.75
1764159575,199.03
1764159576,197.62
1764159577,200.02
1764159578,197.40
1764159579,197.88
1764159580,198.42
1764159581,197.86
1764159582,200.23
1764159583,198.52
1764159584,198.28
1764159585,199.58
1764159586,198.19
1764159587,198.54
1764159588,198.90
1764159589,197.30
1764159590,198.65
1764159591,199.45
1764159592,197.89
1764159593,198.50
1764159594,197.76
1764159595,199.59
1764159596,199.79
1764159597,197.86
1764159598,199.04
1764159599,197.46
1764159600,198.03
1764159601,199.45
1764159602,198.31
1764159603,201.65
1764159604,204.60
1764159605,203.12
1764159606,203.18
1764159607,204.13
1764159608,202.32
1764159609,202.59
1764159610,204.25
1764159612,202.27
1764159613,203.23
1764159614,204.08
1764159615,203.33
1764159616,202.99
1764159617,203.87
1764159618,202.83
1764159619,202.91
1764159620,204.36
1764159621,202.76
1764159622,201.91
1764159623,204.32
1764159624,205.28
1764159625,208.21
1764159626,208.21
1764159627,212.16
1764159628,210.84
1764159629,212.10
1764159630,213.49
1764159631,212.75
1764159632,211.60
1764159633,212.81
1764159634,213.19
1764159635,211.88
1764159636,211.07
1764159637,212.87
1764159638,213.22
1764159639,211.65
1764159640,211.87
1764159641,213.50
1764159642,213.28
1764159643,211.29
1764159644,211.35
1764159645,218.34
1764159646,223.62
1764159647,222.57
1764159648,221.90
1764159649,222.21
1764159651,223.31
1764159652,222.75
1764159653,222.53
1764159654,224.14
1764159655,227.38
1764159656,227.55
1764159657,226.94
1764159658,228.05
1764159659,224.66
1764159660,226.07
1764159661,227.26
1764159662,227.18
1764159663,226.97
1764159664,227.70
1764159665,226.15
1764159666,227.58
1764159667,227.22
1764159668,227.94
1764159669,227.32
1764159670,226.43
1764159671,226.80
1764159672,228.90
1764159673,228.90
1764159674,227.95
1764159675,225.98
1764159676,229.17
1764159677,234.43
1764159678,235.33
1764159679,234.79
1764159680,233.58
1764159681,234.22
1764159682,233.88
1764159683,234.51
1764159684,233.86
1764159685,233.68
1764159686,234.28
1764159687,139.50
1764159688,127.25
1764159689,99.12
1764159691,97.86
1764159692,97.01
1764159693,96.63
1764159694,96.38
1764159695,160.76
1764159696,277.98
1764159697,279.00
1764159698,277.56
1764159699,277.70
1764159700,281.87
1764159701,281.36
1764159702,278.96
1764159703,277.35
