timestamp,gpu_util_percent,memory_util_percent
1763498933,0,0
1763498934,0,0
1763498935,0,0
1763498936,0,0
1763498937,0,0
1763498938,0,0
1763498939,0,0
1763498940,4,2
1763498941,68,38
1763498942,60,34
1763498943,62,35
1763498944,54,26
1763498945,56,29
1763498946,53,26
1763498947,56,29
1763498948,53,26
1763498949,61,35
1763498950,60,32
1763498951,70,38
1763498952,53,27
1763498953,53,28
1763498954,62,33
1763498955,52,27
1763498956,49,24
1763498957,61,35
1763498958,65,32
1763498959,58,28
1763498961,52,25
1763498962,62,30
1763498963,50,25
1763498964,51,25
1763498965,53,26
1763498966,57,33
1763498967,50,27
1763498968,49,24
1763498969,58,31
1763498970,59,29
1763498971,50,25
1763498972,52,27
1763498973,62,34
1763498974,66,36
1763498975,61,30
1763498976,53,26
1763498977,63,36
1763498978,66,34
1763498979,56,33
1763498980,50,26
1763498981,48,23
1763498982,54,27
1763498983,55,27
1763498984,59,34
1763498985,53,27
1763498986,62,35
1763498987,50,26
1763498988,52,26
1763498989,70,36
1763498990,62,30
1763498991,56,28
1763498992,54,27
1763498993,71,37
1763498994,60,30
1763498996,50,24
1763498997,70,38
1763498998,29,16
1763498999,63,36
1763499000,56,27
1763499001,54,30
1763499002,57,28
1763499003,60,34
1763499004,59,31
1763499005,61,30
1763499006,65,31
1763499007,61,34
1763499008,57,32
1763499009,50,26
1763499010,63,31
1763499011,66,31
1763499012,58,28
1763499013,52,26
1763499014,52,27
1763499015,53,26
1763499016,56,31
1763499017,62,35
1763499018,55,29
1763499019,62,35
1763499020,46,22
1763499021,55,26
1763499022,70,38
1763499023,65,31
1763499024,59,31
1763499025,61,29
1763499026,65,36
1763499027,71,37
1763499028,53,26
1763499029,60,34
1763499030,61,35
1763499032,67,32
1763499033,66,33
1763499034,59,29
1763499035,55,27
1763499036,54,27
1763499037,54,31
1763499038,61,29
1763499039,61,35
1763499040,56,27
1763499041,59,29
1763499042,53,30
1763499043,73,38
1763499044,65,37
1763499045,61,30
1763499046,60,34
1763499047,66,32
1763499048,54,27
1763499049,60,33
1763499050,48,23
1763499051,55,27
1763499052,59,32
1763499053,55,27
1763499054,55,32
1763499055,49,24
1763499056,55,27
1763499057,60,34
1763499058,61,33
1763499059,67,33
1763499060,59,33
1763499061,60,29
1763499062,52,26
1763499063,52,27
1763499064,65,37
1763499065,65,31
1763499066,59,30
1763499068,64,31
1763499069,55,27
1763499070,54,27
1763499071,56,27
1763499072,49,24
1763499073,62,29
1763499074,70,35
1763499075,66,32
1763499076,55,32
1763499077,47,23
1763499078,60,30
1763499079,59,29
1763499080,56,30
1763499081,60,34
1763499082,55,30
1763499083,47,23
1763499084,64,36
1763499085,58,29
1763499086,52,25
1763499087,58,33
1763499088,64,34
1763499089,62,31
1763499090,67,37
1763499091,51,26
1763499092,62,35
1763499093,59,33
1763499094,52,27
1763499095,54,27
1763499096,57,32
1763499097,61,30
1763499098,50,26
1763499099,58,28
1763499100,56,29
1763499101,44,21
1763499103,34,16
1763499104,53,26
1763499105,69,34
1763499106,55,27
1763499107,60,29
1763499108,54,27
1763499109,55,30
1763499110,59,28
1763499111,49,24
1763499112,56,31
1763499113,65,36
1763499114,67,33
1763499115,55,27
1763499116,58,33
1763499117,66,32
1763499118,58,28
1763499119,54,29
1763499120,50,25
1763499121,57,28
1763499122,58,28
1763499123,47,23
1763499124,62,35
1763499125,64,36
1763499126,57,28
1763499127,53,26
1763499128,61,31
1763499129,70,38
1763499130,62,35
1763499131,64,36
1763499132,47,23
1763499133,51,26
1763499134,53,27
1763499135,61,35
1763499136,62,29
1763499137,61,33
1763499138,75,39
1763499140,75,40
1763499141,61,33
1763499142,66,36
1763499143,66,35
1763499144,57,28
1763499145,54,27
1763499146,55,31
1763499147,59,34
1763499148,65,34
1763499149,63,31
1763499150,56,27
1763499151,50,24
1763499152,62,35
1763499153,52,26
1763499154,54,26
1763499155,54,26
1763499156,54,26
1763499157,57,31
1763499158,57,33
1763499159,60,29
1763499160,67,35
1763499161,68,37
1763499162,62,35
1763499163,63,30
1763499164,73,39
1763499165,74,39
1763499166,55,30
1763499167,56,31
1763499168,57,33
1763499169,50,25
1763499170,65,34
1763499171,59,34
1763499172,59,31
1763499173,52,27
1763499174,52,25
1763499176,48,23
1763499177,47,23
1763499178,48,24
1763499179,49,24
1763499180,52,26
1763499181,60,29
1763499182,64,34
1763499183,64,31
1763499184,46,23
1763499185,28,12
1763499186,56,28
1763499187,56,28
1763499188,62,34
1763499189,52,27
1763499190,47,23
1763499191,59,31
1763499192,71,37
1763499193,69,38
1763499194,60,34
1763499195,49,24
1763499196,72,39
1763499197,57,28
1763499198,57,28
1763499199,56,28
1763499200,55,27
1763499201,50,26
1763499202,56,28
1763499203,56,33
1763499204,63,30
1763499205,52,27
1763499206,62,35
1763499207,61,35
1763499208,66,35
1763499209,55,27
1763499210,64,36
1763499212,61,29
1763499213,59,31
1763499214,51,26
1763499215,48,24
1763499216,56,27
1763499217,58,28
1763499218,55,27
1763499219,52,26
1763499220,52,25
1763499221,54,27
1763499222,65,31
1763499223,55,27
1763499224,53,27
1763499225,53,26
1763499226,54,27
1763499227,56,32
1763499228,57,33
1763499229,53,30
1763499230,62,30
1763499231,65,34
1763499232,65,31
1763499233,60,32
1763499234,62,29
1763499235,61,33
1763499236,55,27
1763499237,49,24
1763499238,49,24
1763499239,57,28
1763499240,61,35
1763499241,57,28
1763499242,58,33
1763499243,62,34
1763499244,55,28
1763499245,56,28
1763499247,52,27
1763499248,58,32
1763499249,52,27
1763499250,54,27
1763499251,50,25
1763499252,65,36
1763499253,59,34
1763499254,50,26
1763499255,63,31
1763499256,48,24
1763499257,56,27
1763499258,61,33
1763499259,66,36
1763499260,68,35
1763499261,51,27
1763499262,53,26
1763499263,61,29
1763499264,45,24
1763499265,52,25
1763499266,62,29
1763499267,63,34
1763499268,47,23
1763499269,59,29
1763499270,52,26
1763499271,55,30
1763499272,59,28
1763499273,60,29
1763499274,50,24
1763499275,55,30
1763499276,63,36
1763499277,58,28
1763499278,56,33
1763499279,64,36
1763499280,73,39
1763499282,66,31
1763499283,52,27
1763499284,59,30
1763499285,68,37
1763499286,70,34
1763499287,70,38
1763499288,67,32
1763499289,60,31
1763499290,55,28
1763499291,55,27
1763499292,60,29
1763499293,58,30
1763499294,71,39
1763499295,62,30
1763499296,64,36
1763499297,53,26
1763499298,51,26
1763499299,59,34
1763499300,59,30
1763499301,52,26
1763499302,69,38
1763499303,67,32
1763499304,59,30
1763499305,62,34
1763499306,66,36
1763499307,55,29
1763499308,51,26
1763499309,54,27
1763499310,62,35
1763499311,65,36
1763499312,52,26
1763499313,55,30
1763499314,53,26
1763499315,49,24
1763499317,56,28
1763499318,61,29
1763499319,32,16
1763499320,72,38
1763499321,53,26
1763499322,60,29
1763499323,71,37
1763499324,60,29
1763499325,66,36
1763499326,60,34
1763499327,51,26
1763499328,63,30
1763499329,72,38
1763499330,52,27
1763499331,63,31
1763499332,59,29
1763499333,54,26
1763499334,53,29
1763499335,60,29
1763499336,49,24
1763499337,55,31
1763499338,65,36
1763499339,64,31
1763499340,49,24
1763499341,56,31
1763499342,62,35
1763499343,56,28
1763499344,47,23
1763499345,48,23
1763499346,56,27
1763499347,53,29
1763499348,56,28
1763499349,59,32
1763499350,50,27
1763499352,60,31
1763499353,69,38
1763499354,52,26
1763499355,52,27
1763499356,58,29
1763499357,64,31
1763499358,47,23
1763499359,62,35
1763499360,52,27
1763499361,64,35
1763499362,60,29
1763499363,50,26
1763499364,65,37
1763499365,56,27
1763499366,52,27
1763499367,47,23
1763499368,64,32
1763499369,52,29
1763499370,50,26
1763499371,44,22
1763499372,60,33
1763499373,72,38
1763499374,66,32
1763499375,64,35
1763499376,61,31
1763499377,65,35
1763499378,65,35
1763499379,66,36
1763499380,72,36
1763499381,68,37
1763499382,56,27
1763499383,53,26
1763499385,52,27
1763499386,62,35
1763499387,71,39
1763499388,54,27
1763499389,60,35
1763499390,59,29
1763499391,56,27
1763499392,54,27
1763499393,61,34
1763499394,60,34
1763499395,53,27
1763499396,59,30
1763499397,52,26
1763499398,59,34
1763499399,64,34
1763499400,59,29
1763499401,50,25
1763499402,61,34
1763499403,62,34
1763499404,69,38
1763499405,55,27
1763499406,63,36
1763499407,54,27
1763499408,54,27
1763499409,67,37
1763499410,67,32
1763499411,58,30
1763499412,70,38
1763499413,64,31
1763499414,54,31
1763499415,57,28
1763499416,59,29
1763499417,53,27
1763499418,62,35
1763499420,51,25
1763499421,55,29
