timestamp,gpu_util_percent,memory_util_percent
1763470493,0,0
1763470495,0,0
1763470497,0,0
1763470498,0,0
1763470499,4,1
1763470500,68,39
1763470501,69,40
1763470502,69,39
1763470503,70,40
1763470504,29,16
1763470505,64,37
1763470506,65,37
1763470507,69,39
1763470509,69,39
1763470510,69,39
1763470511,21,12
1763470512,70,40
1763470513,70,40
1763470514,68,39
1763470515,68,39
1763470516,26,15
1763470517,64,37
1763470518,66,38
1763470519,66,37
1763470520,65,37
1763470521,69,40
1763470522,9,5
1763470523,57,33
1763470524,57,32
1763470525,58,33
1763470526,70,40
1763470527,69,39
1763470528,9,5
1763470529,67,38
1763470530,69,39
1763470531,69,39
1763470532,69,39
1763470533,29,16
1763470534,68,39
1763470535,69,39
1763470536,69,39
1763470537,68,39
1763470538,70,40
1763470539,68,38
1763470540,68,38
1763470541,68,39
1763470542,69,39
1763470543,69,39
1763470544,29,16
1763470545,69,39
1763470546,68,38
1763470547,69,39
1763470549,69,39
1763470550,26,14
1763470551,68,39
1763470552,69,39
1763470553,69,39
1763470554,69,39
1763470555,70,40
1763470556,15,8
1763470557,69,39
1763470558,69,39
1763470559,69,39
1763470560,68,38
1763470561,30,17
1763470562,57,32
1763470563,58,33
1763470564,55,31
1763470565,57,32
1763470566,64,36
1763470567,22,12
1763470568,72,41
1763470569,69,39
1763470570,67,38
1763470571,68,39
1763470572,67,38
1763470573,5,3
1763470574,69,39
1763470575,69,39
1763470576,69,39
1763470577,69,39
1763470578,29,16
1763470579,57,32
1763470580,70,40
1763470581,70,40
1763470582,70,40
1763470583,69,39
1763470584,7,4
1763470585,70,39
1763470586,69,39
1763470588,69,39
1763470589,69,39
1763470590,31,17
1763470591,69,39
1763470592,69,39
1763470593,69,39
1763470594,69,39
1763470595,14,8
1763470596,68,38
1763470597,70,40
1763470598,71,40
1763470599,69,39
1763470600,68,38
1763470601,29,16
1763470602,69,39
1763470603,69,39
1763470604,67,38
1763470605,68,38
1763470606,22,12
1763470607,69,39
1763470608,69,39
1763470609,69,39
1763470610,70,39
1763470611,69,39
1763470612,11,6
1763470613,66,38
1763470614,70,39
1763470615,69,39
1763470616,69,39
1763470617,28,16
1763470618,56,32
1763470619,55,31
1763470620,69,39
1763470621,69,39
1763470622,69,39
1763470623,30,17
1763470624,68,38
1763470625,69,39
1763470626,70,40
1763470628,70,40
1763470629,25,14
1763470630,65,37
1763470631,66,37
1763470632,69,39
1763470633,70,39
1763470634,70,39
1763470635,31,17
1763470636,70,39
1763470637,69,39
1763470638,70,39
1763470639,70,39
1763470640,28,16
1763470641,69,39
1763470642,68,39
1763470643,68,38
1763470644,68,38
1763470645,67,38
1763470646,23,13
1763470647,69,39
1763470648,69,39
1763470649,69,39
1763470650,69,39
1763470651,30,17
1763470652,68,38
1763470653,70,39
1763470654,69,39
1763470655,69,39
1763470656,30,17
1763470657,64,36
1763470658,69,39
1763470659,69,39
1763470660,69,39
1763470661,69,39
1763470662,31,17
1763470663,69,39
1763470664,69,39
1763470665,69,39
1763470667,69,39
1763470668,9,5
1763470669,73,41
1763470670,68,38
1763470671,69,39
1763470672,68,38
1763470673,69,39
1763470674,10,5
1763470675,70,40
1763470676,68,38
1763470677,65,37
1763470678,70,39
1763470679,30,16
1763470680,69,39
1763470681,69,39
1763470682,70,39
1763470683,68,38
1763470684,68,38
1763470685,11,6
1763470686,69,39
1763470687,69,39
1763470688,70,39
1763470689,70,39
1763470690,30,16
1763470691,68,38
1763470692,67,38
1763470693,68,38
1763470694,69,39
1763470695,43,24
1763470696,40,22
1763470697,70,40
1763470698,70,39
1763470699,69,39
1763470700,69,39
1763470701,29,16
1763470702,69,39
1763470703,69,39
1763470704,70,39
1763470706,69,39
1763470707,16,9
1763470708,69,39
1763470709,70,39
1763470710,68,38
1763470711,69,39
1763470712,69,39
1763470713,14,8
1763470714,69,39
1763470715,71,40
1763470716,70,39
1763470717,70,39
1763470718,29,16
1763470719,71,40
1763470720,69,39
1763470721,70,40
1763470722,69,39
1763470723,70,39
1763470724,26,15
1763470725,70,39
1763470726,68,39
1763470727,68,38
1763470728,69,39
1763470729,30,17
1763470730,71,40
1763470731,69,39
1763470732,69,39
1763470733,68,39
1763470734,26,14
1763470735,65,37
1763470736,70,40
1763470737,69,39
1763470738,57,32
1763470739,69,39
1763470740,29,16
1763470741,70,39
1763470742,69,39
1763470743,70,39
1763470744,70,39
1763470746,13,7
1763470747,70,39
1763470748,69,39
1763470749,70,39
1763470750,71,40
1763470751,72,40
1763470752,9,5
1763470753,70,39
1763470754,69,39
1763470755,70,39
1763470756,69,39
1763470757,31,17
1763470758,70,39
1763470759,66,37
1763470760,65,36
1763470761,70,39
1763470762,70,39
1763470763,20,11
1763470764,70,39
1763470765,69,38
1763470766,70,39
1763470767,70,39
1763470768,29,16
1763470769,70,39
