experiment_id,timestamp,repository,model,training_success,duration_seconds,retries,hyperparam_alpha,hyperparam_batch_size,hyperparam_dropout,hyperparam_epochs,hyperparam_kfold,hyperparam_learning_rate,hyperparam_max_iter,hyperparam_seed,hyperparam_weight_decay,perf_accuracy,perf_best_val_accuracy,perf_map,perf_precision,perf_rank1,perf_rank5,perf_recall,perf_test_accuracy,perf_test_loss,energy_cpu_pkg_joules,energy_cpu_ram_joules,energy_cpu_total_joules,energy_gpu_avg_watts,energy_gpu_max_watts,energy_gpu_min_watts,energy_gpu_total_joules,energy_gpu_temp_avg_celsius,energy_gpu_temp_max_celsius,energy_gpu_util_avg_percent,energy_gpu_util_max_percent
MRT-OAST_default_001,2025-11-18T20:37:37.188259,MRT-OAST,default,True,1267.3227665424347,0,,,0.2,10,,0.0001,,1334,0.0,4692.0,,,0.9834,,,0.808854,,,37083.15,2904.51,39987.66,270.25759771986947,318.31,66.75,331876.3299999997,77.91042345276873,83.0,92.68485342019544,97.0
bug-localization-by-dnn-and-rvsm_default_002,2025-11-18T20:53:53.351067,bug-localization-by-dnn-and-rvsm,default,True,916.1593863964081,0,1e-05,,,,10,,10000,42,,,,,,,,,,,59638.9,2260.94,61899.84,74.01269480519488,84.11,44.41,22795.910000000025,53.07142857142857,63.0,0.6428571428571429,3.0
pytorch_resnet_cifar10_resnet20_003,2025-11-18T21:13:46.055201,pytorch_resnet_cifar10,resnet20,True,1132.6932728290558,0,,,,200,,0.1,,1334,0.0001,,91.71,,,,,,91.71,,47985.6,3072.61,51058.21,224.61446769790723,247.6,69.53,246851.30000000005,76.2547770700637,79.0,59.75432211101001,73.0
VulBERTa_mlp_004,2025-11-18T22:06:40.713559,VulBERTa,mlp,True,3114.086087703705,0,,,,10,,3e-05,,42,0.0,,,,,,,,,,89815.23,7225.47,97040.7,239.40896801846327,318.86,4.72,726127.3999999991,78.19320804484009,83.0,89.93504780745137,100.0
Person_reID_baseline_pytorch_densenet121_005,2025-11-18T23:01:27.341143,Person_reID_baseline_pytorch,densenet121,True,3226.2696459293365,0,,,0.5,60,,0.05,,1334,,,,0.753173,,0.909145,0.96348,,,,104651.9,8679.65,113331.55,237.7468260038235,290.61,11.67,746049.539999998,77.97673677501594,83.0,84.33556405353728,99.0
Person_reID_baseline_pytorch_hrnet18_006,2025-11-19T00:13:04.690636,Person_reID_baseline_pytorch,hrnet18,True,4236.888918638229,0,,,0.5,60,,0.05,,1334,,,,0.748936,,0.900238,0.962886,,,,132745.23,10850.82,143596.05,248.81575066698963,255.93,13.01,1025867.3399999982,81.33737569730779,83.0,67.2406015037594,80.0
Person_reID_baseline_pytorch_pcb_007,2025-11-19T01:25:45.051144,Person_reID_baseline_pytorch,pcb,True,4300.007735013962,0,,,0.5,60,,0.05,,1334,,,,0.775227,,0.924881,0.971496,,,,142080.75,11084.26,153165.01,235.84919196748768,318.17,11.81,986557.170000001,79.8508247669137,84.0,96.90341859909157,100.0
examples_mnist_008,2025-11-19T01:29:07.726371,examples,mnist,True,142.67011833190918,0,,32,,10,,0.01,,1,,,,,,,,,96.0,0.1205,4481.52,328.7,4810.22,96.49779411764705,98.68,76.53,13123.699999999999,66.67647058823529,68.0,11.955882352941176,14.0
examples_mnist_rnn_009,2025-11-19T01:33:54.314189,examples,mnist_rnn,True,226.5825743675232,0,,32,,10,,0.01,,1,,,,,,,,,60.0,1.3176,9187.71,534.68,9722.39,9.96477064220185,85.98,4.12,2172.3200000000033,52.91284403669725,64.0,0.013761467889908258,3.0
examples_mnist_ff_010,2025-11-19T01:35:01.910663,examples,mnist_ff,True,7.59495210647583,0,,32,,10,,0.01,,1,,,,,,,,,,,191.38,15.83,207.21,77.048,82.85,71.59,385.24,51.6,53.0,2.6,10.0
examples_siamese_011,2025-11-19T01:41:07.676077,examples,siamese,True,305.75993967056274,0,,32,,10,,0.01,,1,,,,,,,,,98.0,0.0,9583.3,717.41,10300.71,175.39047297297296,180.85,71.21,51915.579999999994,70.35810810810811,74.0,50.108108108108105,52.0
pytorch_resnet_cifar10_resnet20_012_parallel,2025-11-19T02:01:33.593291,pytorch_resnet_cifar10,resnet20,True,1135.9036231040955,0,,,,200,,0.1,,1334,0.0001,,91.71,,,,,,91.71,,51431.03,3176.37,54607.4,228.69854941069818,252.29,75.56,252254.5000000001,78.71894832275612,81.0,60.24025385312783,81.0
VulBERTa_mlp_013_parallel,2025-11-19T03:05:49.240418,VulBERTa,mlp,True,3765.577875137329,0,,,,10,,3e-05,,42,0.0,,,,,,,,,,134206.9,9159.58,143366.48,230.92731534478057,319.12,89.21,847272.32,78.93676751158354,84.0,91.77105478331971,100.0
examples_mnist_014_parallel,2025-11-19T03:09:43.028837,examples,mnist,True,143.77884531021118,0,,32,,10,,0.01,,1,,,,,,,,,96.0,0.1202,5155.22,348.05,5503.27,251.62785714285727,284.62,4.88,35227.900000000016,78.36428571428571,83.0,84.95,97.0
MRT-OAST_default_015_parallel,2025-11-19T03:33:26.374424,MRT-OAST,default,True,1333.281008720398,0,,,0.2,10,,0.0001,,1334,0.0,4692.0,,,0.9834,,,0.808854,,,57839.19,3214.53,61053.72,234.41531274131236,316.13,4.89,303567.8299999995,79.08803088803089,84.0,90.21389961389961,100.0
Person_reID_baseline_pytorch_pcb_016_parallel,2025-11-19T04:47:23.247250,Person_reID_baseline_pytorch,pcb,True,4346.2754673957825,0,,,0.5,60,,0.05,,1334,,,,0.775222,,0.924881,0.971496,,,,198674.72,11935.12,210609.84,233.27903814262027,317.37,4.99,984670.8200000002,80.02013740819712,84.0,96.30348258706468,99.0
Person_reID_baseline_pytorch_hrnet18_017_parallel,2025-11-19T06:11:31.988678,Person_reID_baseline_pytorch,hrnet18,True,4958.222606658936,0,,,0.5,60,,0.05,,1334,,,,0.748936,,0.900238,0.962886,,,,218125.02,13179.4,231304.42,230.9938584474888,253.94,5.01,1112928.410000001,80.89435450394355,83.0,57.44748858447488,75.0
examples_siamese_018_parallel,2025-11-19T06:20:33.763262,examples,siamese,True,451.7634174823761,0,,32,,10,,0.01,,1,,,,,,,,,98.0,0.0,16656.33,1153.89,17810.22,250.6558636363635,304.1,214.17,110288.57999999994,81.7840909090909,84.0,99.52045454545454,100.0
examples_mnist_rnn_019_parallel,2025-11-19T06:26:04.995885,examples,mnist_rnn,True,241.2225968837738,0,,32,,10,,0.01,,1,,,,,,,,,60.0,1.3176,10924.25,656.34,11580.59,247.2413247863248,311.66,193.56,57854.47000000001,80.5042735042735,84.0,97.77350427350427,99.0
examples_mnist_ff_020_parallel,2025-11-19T06:27:42.214794,examples,mnist_ff,True,7.212709188461304,0,,32,,10,,0.01,,1,,,,,,,,,,,218.98,16.42,235.4,280.605,283.65,278.31,1683.63,80.33333333333333,81.0,81.16666666666667,83.0
bug-localization-by-dnn-and-rvsm_default_021_parallel,2025-11-19T06:49:17.930943,bug-localization-by-dnn-and-rvsm,default,True,1205.7056248188019,0,1e-05,,,,10,,10000,42,,,,,,,,,,,82596.83,3206.52,85803.35,235.69332988624618,311.52,111.24,227915.45000000004,80.35573940020683,85.0,62.8841778697001,99.0
Person_reID_baseline_pytorch_densenet121_022_parallel,2025-11-19T07:49:34.861459,Person_reID_baseline_pytorch,densenet121,True,3526.4963586330414,0,,,0.5,60,,0.05,,1334,,,,0.753173,,0.909145,0.96348,,,,152005.47,9963.13,161968.6,230.32688228438215,291.1,4.83,790481.8599999995,79.03234265734265,84.0,80.60052447552448,100.0
