timestamp,gpu_util_percent,memory_util_percent
1763707137,0,0
1763707138,0,0
1763707140,0,0
1763707142,0,0
1763707143,41,21
1763707144,66,27
1763707145,72,55
1763707146,70,52
1763707147,70,51
1763707148,72,53
1763707149,72,53
1763707150,72,53
1763707151,75,56
1763707152,74,55
1763707153,74,56
1763707154,74,56
1763707155,73,55
1763707156,72,53
1763707158,70,52
1763707159,61,45
1763707160,75,56
1763707161,75,56
1763707162,74,55
1763707163,75,56
1763707164,74,55
1763707165,74,55
1763707166,74,56
1763707167,72,53
1763707168,70,52
1763707169,70,51
1763707170,70,51
1763707171,71,52
1763707172,71,52
1763707173,72,53
1763707174,73,53
1763707175,75,56
1763707176,75,56
1763707177,75,56
1763707178,76,57
1763707179,18,14
1763707180,73,54
1763707181,74,55
1763707182,74,55
1763707183,74,55
1763707184,74,55
1763707185,74,55
1763707186,74,55
1763707187,74,55
1763707188,74,55
1763707189,73,55
1763707190,72,54
1763707191,72,53
1763707192,70,52
1763707193,70,52
1763707194,70,51
1763707195,71,51
1763707197,71,52
1763707198,73,53
1763707199,73,54
1763707200,74,55
1763707201,74,55
1763707202,73,54
1763707203,73,54
1763707204,74,55
1763707205,74,55
1763707206,75,56
1763707207,73,54
1763707208,74,55
1763707209,74,56
1763707210,75,56
1763707211,75,56
1763707212,74,56
1763707213,74,59
1763707214,75,56
1763707215,75,56
1763707216,74,56
1763707217,74,55
1763707218,74,55
1763707219,74,56
1763707220,73,54
1763707221,70,51
1763707222,71,52
1763707223,71,52
1763707224,72,52
1763707225,71,52
1763707226,72,52
1763707227,71,52
1763707228,73,53
1763707229,73,53
1763707230,73,53
1763707231,74,52
1763707232,72,53
1763707233,73,53
1763707234,75,53
1763707236,73,54
1763707237,75,56
1763707238,74,55
1763707239,74,55
1763707240,74,54
1763707241,77,55
1763707242,76,54
1763707243,75,56
1763707244,75,56
1763707245,74,54
1763707246,74,53
1763707247,73,53
1763707248,69,55
1763707249,74,55
1763707250,75,55
1763707251,71,52
1763707252,72,52
1763707253,72,52
1763707254,74,55
1763707255,75,55
1763707256,74,56
1763707257,75,56
1763707258,76,56
