timestamp,power_draw_w
1763646412,308.57
1763646413,310.24
1763646414,309.48
1763646415,307.58
1763646416,303.81
1763646417,288.57
1763646418,289.89
1763646419,288.95
1763646420,291.01
1763646421,288.56
1763646423,287.98
1763646424,283.49
1763646425,288.43
1763646426,285.42
1763646427,286.55
1763646428,285.89
1763646429,284.83
1763646430,286.68
1763646431,285.02
1763646432,287.76
1763646433,284.04
1763646434,284.59
1763646435,283.13
1763646436,284.44
1763646437,281.52
1763646438,283.75
1763646439,283.44
1763646440,280.85
1763646441,283.63
1763646442,281.19
1763646443,282.21
1763646444,283.77
1763646445,286.11
1763646446,279.24
1763646447,284.35
1763646448,285.99
1763646449,278.74
1763646450,286.56
1763646451,281.87
1763646452,281.63
1763646453,281.35
1763646454,280.41
1763646455,283.46
1763646456,279.61
1763646457,284.02
1763646458,282.28
1763646459,284.76
1763646460,278.53
1763646461,278.86
1763646463,279.82
1763646464,277.22
1763646465,282.19
1763646466,276.74
1763646467,280.38
1763646468,277.56
1763646469,276.08
1763646470,275.41
1763646471,279.48
1763646472,277.72
1763646473,277.88
1763646474,280.43
1763646475,277.58
1763646476,276.05
1763646477,278.08
1763646478,280.52
1763646479,277.36
1763646480,276.75
1763646481,275.32
1763646482,256.76
1763646483,272.11
1763646484,260.76
1763646485,274.94
1763646486,280.33
1763646487,276.54
1763646488,272.95
1763646489,276.46
1763646490,279.00
1763646491,277.90
1763646492,273.98
1763646493,276.17
1763646494,274.19
1763646495,275.42
1763646496,274.93
1763646497,277.19
1763646498,272.89
1763646499,276.96
1763646500,272.33
1763646502,276.26
1763646503,282.72
1763646504,272.58
1763646505,274.55
1763646506,271.77
1763646507,273.86
1763646508,274.80
1763646509,268.70
1763646510,274.54
1763646511,272.05
1763646512,273.72
1763646513,268.75
1763646514,273.24
1763646515,276.00
1763646516,270.84
1763646517,273.07
1763646518,271.83
1763646519,273.56
1763646520,271.65
1763646521,269.92
1763646522,271.14
1763646523,274.12
1763646524,274.11
1763646525,270.14
1763646526,273.54
1763646527,271.90
1763646528,268.65
1763646529,270.35
1763646530,270.61
1763646531,264.52
1763646532,272.33
1763646533,272.79
1763646534,268.63
1763646535,271.25
1763646536,272.48
1763646537,270.82
1763646538,267.50
1763646539,271.07
1763646540,277.46
1763646542,271.21
1763646543,268.36
1763646544,268.29
1763646545,272.84
1763646546,273.14
1763646547,268.02
1763646548,268.53
1763646549,265.04
1763646550,263.33
1763646551,276.73
1763646552,267.80
1763646553,264.59
1763646554,264.47
1763646555,265.39
1763646556,267.23
1763646557,265.74
1763646558,268.65
1763646559,269.59
1763646560,267.77
1763646561,267.84
1763646562,269.85
1763646563,267.90
1763646564,266.41
1763646565,267.26
1763646566,267.02
1763646567,266.34
1763646568,272.72
1763646569,270.39
1763646570,269.80
1763646571,267.43
1763646572,271.95
1763646573,273.15
1763646574,268.38
1763646575,275.17
1763646576,267.09
1763646577,265.05
1763646578,262.41
1763646579,267.34
1763646581,266.28
1763646582,264.84
1763646583,263.76
1763646584,265.88
1763646585,268.99
1763646586,265.48
1763646587,265.50
1763646588,265.49
1763646589,271.79
1763646590,268.05
1763646591,265.64
1763646592,265.16
1763646593,268.80
1763646594,265.80
1763646595,264.01
1763646596,264.95
1763646597,262.38
1763646598,260.43
1763646599,265.50
1763646600,256.29
1763646601,273.37
1763646602,270.38
1763646603,264.79
1763646604,264.87
1763646605,264.68
1763646606,267.01
1763646607,264.45
1763646608,262.14
1763646609,263.53
1763646610,265.72
1763646611,269.32
1763646612,267.76
1763646613,267.58
1763646614,264.59
1763646615,265.48
1763646616,278.05
1763646617,268.44
1763646618,263.67
1763646620,265.06
1763646621,265.81
1763646622,266.51
1763646623,265.76
1763646624,265.84
1763646625,266.53
1763646626,275.06
1763646627,266.67
1763646628,267.54
1763646629,270.04
1763646630,266.46
