timestamp,gpu_util_percent,memory_util_percent
1763884815,100,71
1763884816,100,72
1763884817,100,72
1763884818,100,73
1763884819,100,73
1763884820,100,73
1763884821,100,73
1763884822,100,73
1763884823,100,73
1763884824,100,73
1763884825,100,73
1763884826,100,73
1763884827,100,73
1763884828,100,73
1763884829,100,72
1763884830,100,74
1763884831,100,73
1763884832,100,72
1763884834,100,73
1763884835,100,73
1763884836,100,73
1763884837,100,73
1763884838,100,73
1763884839,100,73
1763884840,100,73
1763884841,100,72
1763884842,100,74
1763884843,100,71
1763884844,100,71
1763884845,100,71
1763884846,100,73
1763884847,100,73
1763884848,100,73
1763884849,100,74
1763884850,100,73
1763884851,100,74
1763884852,100,73
1763884853,100,73
1763884854,100,73
1763884855,100,74
1763884856,100,73
1763884857,100,74
1763884858,100,73
1763884859,100,73
1763884860,100,73
1763884862,100,73
1763884863,100,73
1763884864,100,74
1763884865,100,73
1763884866,100,73
1763884867,100,73
1763884868,100,73
1763884869,100,73
1763884870,100,70
1763884871,100,70
1763884872,100,69
1763884873,100,74
1763884874,100,73
1763884875,100,74
1763884876,100,73
1763884877,100,72
1763884878,100,73
1763884879,100,73
1763884880,100,73
1763884881,100,73
1763884882,100,73
1763884883,100,73
1763884884,100,72
1763884885,100,73
1763884886,100,74
1763884887,100,73
1763884888,100,72
1763884890,100,73
1763884891,100,72
1763884892,100,73
1763884893,100,73
1763884894,100,73
1763884895,100,72
1763884896,100,73
1763884897,100,74
1763884898,100,73
1763884899,100,74
1763884900,100,72
1763884901,100,73
1763884902,100,73
1763884903,100,74
1763884904,100,74
1763884905,100,72
1763884906,20,4
1763884907,100,100
1763884908,100,100
1763884909,100,74
1763884910,100,72
1763884911,100,72
