timestamp,power_draw_w
1763885003,178.43
1763885004,177.82
1763885005,177.86
1763885006,177.55
1763885007,178.35
1763885008,178.10
1763885009,178.20
1763885010,178.20
1763885011,178.40
1763885012,177.98
1763885013,178.17
1763885014,178.11
1763885015,178.17
1763885016,178.37
1763885017,178.43
1763885018,178.38
1763885019,178.55
1763885020,177.91
1763885021,178.29
1763885022,178.19
1763885023,178.26
1763885024,178.12
1763885025,178.29
1763885026,178.29
1763885027,178.39
1763885029,178.30
1763885030,178.35
1763885031,177.91
1763885032,177.98
1763885033,177.80
1763885034,177.89
1763885035,178.24
1763885036,178.68
1763885037,178.27
1763885038,178.43
1763885039,178.50
1763885040,178.15
1763885041,178.50
1763885042,178.65
1763885043,178.77
1763885044,178.73
1763885045,178.46
1763885046,178.96
1763885047,178.75
1763885048,178.88
1763885049,178.60
1763885050,178.49
1763885051,178.58
1763885052,178.38
1763885053,178.48
1763885054,178.28
1763885055,178.12
1763885057,178.02
1763885058,178.25
1763885059,178.45
1763885060,178.26
1763885061,178.10
1763885062,178.52
1763885063,178.13
1763885064,178.08
1763885065,177.97
1763885066,178.28
1763885067,178.16
1763885068,178.07
1763885069,178.05
1763885070,177.96
1763885071,177.72
1763885072,177.71
1763885073,178.04
1763885074,178.11
1763885075,178.14
1763885076,178.28
1763885077,178.16
1763885078,178.37
1763885079,178.06
1763885080,178.35
1763885081,178.58
1763885082,178.51
1763885084,178.43
1763885085,178.10
1763885086,178.98
1763885087,177.89
1763885088,178.29
1763885089,178.26
1763885090,177.93
1763885091,177.87
1763885092,177.86
1763885093,177.50
1763885094,177.56
1763885095,177.76
1763885096,177.88
1763885097,177.79
1763885098,177.86
1763885099,177.77
1763885100,177.74
