timestamp,power_draw_w
1763824751,171.79
1763824752,176.81
1763824754,176.84
1763824755,176.83
1763824756,176.78
1763824757,176.77
1763824758,176.74
1763824759,176.85
1763824760,176.86
1763824761,176.57
1763824762,176.58
1763824763,176.64
1763824764,176.92
1763824765,180.19
1763824766,185.75
1763824767,185.53
1763824768,184.60
1763824769,184.22
1763824771,183.97
1763824772,184.17
1763824773,183.67
1763824774,184.48
1763824775,184.01
1763824776,185.41
1763824777,186.01
1763824778,185.89
1763824779,185.85
1763824780,185.91
1763824781,184.51
1763824782,185.54
1763824783,185.48
1763824785,185.69
1763824786,185.73
1763824787,184.65
1763824788,185.82
1763824789,185.12
1763824790,184.81
1763824791,185.15
1763824792,185.56
1763824793,185.66
1763824794,185.71
1763824795,184.69
1763824796,185.82
1763824797,185.68
1763824798,185.76
1763824799,184.77
1763824801,183.82
1763824802,183.81
1763824803,184.52
1763824804,185.66
1763824805,185.63
1763824806,185.66
1763824807,185.71
1763824808,184.88
1763824809,184.91
1763824810,185.61
1763824811,185.12
1763824812,185.07
1763824813,185.62
1763824815,185.10
1763824816,184.23
1763824817,184.04
1763824818,183.95
1763824819,185.96
1763824820,184.53
1763824821,184.61
1763824822,184.86
1763824823,184.77
1763824824,184.66
1763824825,185.25
1763824826,185.93
1763824827,186.02
1763824829,185.37
1763824830,184.71
1763824831,184.42
1763824832,185.33
1763824833,185.39
1763824834,185.23
1763824835,184.56
1763824836,184.44
1763824837,184.19
1763824838,184.43
1763824839,184.48
1763824840,184.40
1763824841,184.48
1763824842,184.54
1763824843,184.59
1763824845,185.17
1763824846,185.22
1763824847,184.80
1763824848,185.56
1763824849,184.71
1763824850,184.74
1763824851,185.39
1763824852,185.33
1763824853,185.11
1763824854,184.13
1763824855,185.70
1763824856,185.21
1763824857,185.32
1763824859,184.71
1763824860,185.75
1763824861,184.40
1763824862,184.24
1763824863,184.14
1763824864,184.67
1763824865,184.61
1763824866,185.20
1763824867,185.90
1763824868,185.70
1763824869,185.76
1763824870,185.96
1763824871,185.94
1763824872,185.27
1763824873,184.80
1763824875,185.94
1763824876,185.91
1763824877,186.08
1763824878,185.86
1763824879,185.26
1763824880,185.88
1763824881,185.87
1763824882,185.90
1763824883,185.15
1763824884,184.59
1763824885,185.13
1763824886,185.76
1763824888,185.29
1763824889,185.65
1763824890,185.99
1763824891,185.44
1763824892,185.87
1763824893,184.93
1763824894,185.36
1763824895,185.97
1763824896,186.02
1763824897,185.74
1763824898,145.96
1763824899,314.94
1763824900,245.41
1763824901,188.37
1763824902,188.41
1763824904,189.08
1763824905,188.61
1763824906,189.51
1763824907,188.56
1763824908,188.64
1763824909,189.23
1763824910,189.46
1763824911,190.10
1763824912,188.78
1763824913,189.46
1763824914,189.36
1763824915,189.26
1763824916,189.37
1763824917,188.32
1763824919,188.39
1763824920,188.24
1763824921,188.84
1763824922,188.62
1763824923,188.97
1763824924,188.16
1763824925,189.21
1763824926,189.01
1763824927,189.63
1763824928,189.79
1763824929,189.89
1763824930,188.77
1763824931,189.47
1763824932,188.61
1763824934,188.91
1763824935,188.73
1763824936,189.09
1763824937,188.12
1763824938,188.88
1763824939,188.82
1763824940,188.70
1763824941,188.79
1763824942,188.32
1763824943,188.12
1763824944,188.67
1763824945,188.27
1763824946,187.89
1763824947,188.17
1763824948,188.15
1763824950,188.02
1763824951,187.92
1763824952,188.38
1763824953,188.00
1763824954,188.21
1763824955,188.38
1763824956,188.51
1763824957,188.90
1763824958,188.76
1763824959,188.64
1763824960,188.05
1763824961,188.34
1763824962,188.98
1763824964,187.68
1763824965,188.12
1763824966,188.38
1763824967,188.38
1763824968,188.74
1763824969,189.27
1763824970,189.68
1763824971,188.91
1763824972,189.17
1763824973,189.00
1763824974,189.48
1763824975,189.54
1763824976,188.71
1763824978,188.34
1763824979,188.24
1763824980,188.60
1763824981,188.25
1763824982,188.46
1763824983,187.94
1763824984,188.02
1763824985,188.27
1763824986,188.02
1763824987,188.50
1763824988,188.28
1763824989,188.22
1763824990,187.96
1763824991,187.96
1763824993,188.12
1763824994,188.31
1763824995,188.36
1763824996,188.44
1763824997,188.30
1763824998,188.00
1763824999,187.93
1763825000,187.83
1763825001,189.14
1763825002,188.60
1763825003,189.03
1763825004,189.53
1763825005,189.07
1763825007,188.16
1763825008,188.92
1763825009,188.52
1763825010,189.51
1763825011,188.68
1763825012,188.41
1763825013,188.62
1763825014,188.75
1763825015,188.45
1763825016,188.26
1763825017,188.61
1763825018,188.56
1763825020,189.01
1763825021,188.89
1763825022,188.73
1763825023,188.41
1763825024,188.25
1763825025,188.02
1763825026,188.01
1763825027,188.05
1763825028,188.05
1763825029,187.72
1763825030,187.91
1763825031,188.15
1763825032,188.80
1763825033,188.62
1763825034,188.28
1763825036,188.30
1763825037,188.38
1763825038,188.61
1763825039,188.51
1763825040,188.74
1763825041,188.57
1763825042,126.56
1763825043,312.64
1763825044,241.08
1763825045,175.77
1763825046,171.99
1763825047,171.87
1763825048,171.90
1763825050,171.79
1763825051,171.81
1763825052,171.94
1763825053,172.05
1763825054,171.84
1763825055,171.67
1763825056,171.85
1763825057,179.64
1763825058,180.60
1763825059,180.41
1763825060,180.25
1763825061,180.16
1763825062,180.01
1763825063,180.09
1763825064,180.18
1763825065,180.15
1763825067,180.29
1763825068,180.47
1763825069,180.48
1763825070,180.20
1763825071,180.37
1763825072,180.51
1763825073,180.42
1763825074,180.29
1763825075,180.49
1763825076,180.54
1763825077,180.56
1763825078,180.60
1763825079,180.71
1763825081,180.58
1763825082,180.69
1763825083,180.65
1763825084,180.50
1763825085,180.26
1763825086,180.35
1763825087,180.23
1763825088,180.23
1763825089,180.29
1763825090,180.40
1763825091,180.33
1763825092,180.36
1763825093,180.16
1763825095,180.18
1763825096,180.24
1763825097,180.26
1763825098,180.09
1763825099,180.24
1763825100,180.14
1763825101,180.29
1763825102,180.58
1763825103,180.57
1763825104,180.46
1763825105,180.24
1763825106,180.26
1763825107,180.22
1763825108,180.15
1763825109,180.37
1763825111,180.43
1763825112,180.45
1763825113,180.42
1763825114,180.33
1763825115,180.06
1763825116,180.06
1763825117,180.13
1763825118,180.16
1763825119,179.99
1763825120,179.87
1763825121,179.85
1763825122,179.67
1763825123,179.85
1763825125,180.08
1763825126,179.98
1763825127,179.92
1763825128,180.02
1763825129,179.94
1763825130,180.01
1763825131,180.15
1763825132,180.25
1763825133,180.02
1763825134,179.98
1763825135,180.10
1763825136,179.99
1763825137,179.80
1763825138,179.88
1763825139,179.81
1763825141,179.92
1763825142,179.89
1763825143,180.02
1763825144,179.89
1763825145,180.16
1763825146,180.10
1763825147,180.12
1763825148,180.17
1763825149,180.31
1763825150,180.12
1763825151,180.09
1763825152,180.05
1763825153,180.08
1763825155,179.90
1763825156,180.00
1763825157,180.10
1763825158,179.88
1763825159,180.07
1763825160,180.00
1763825161,179.94
1763825162,180.04
1763825163,179.98
1763825164,180.05
1763825165,180.01
1763825166,180.08
1763825167,180.29
1763825169,180.17
1763825170,180.02
1763825171,180.01
1763825172,179.98
1763825173,179.98
1763825174,179.96
1763825175,179.99
1763825176,180.09
1763825177,179.89
1763825178,179.78
1763825179,179.78
1763825180,179.82
1763825181,179.92
1763825182,179.73
1763825183,179.75
1763825185,179.92
1763825186,179.88
1763825187,179.98
1763825188,179.85
1763825189,180.05
1763825190,180.07
1763825191,179.97
1763825192,179.98
1763825193,179.94
1763825194,179.93
1763825195,179.86
1763825196,179.68
1763825197,179.64
1763825199,179.97
1763825200,180.04
1763825201,179.94
1763825202,180.06
1763825203,180.02
1763825204,180.02
1763825205,180.10
1763825206,180.04
1763825207,179.73
1763825208,179.72
1763825209,179.66
1763825210,179.69
1763825211,179.78
1763825212,179.78
1763825213,179.81
1763825215,180.11
1763825216,179.89
1763825217,179.90
1763825218,180.64
1763825219,179.88
1763825220,179.99
1763825221,179.98
1763825222,179.76
1763825223,179.90
1763825224,180.17
1763825225,180.20
1763825226,180.03
1763825227,179.94
1763825228,179.92
1763825230,179.81
1763825231,179.80
1763825232,179.84
1763825233,179.71
1763825234,179.65
1763825235,179.82
1763825236,179.93
1763825237,182.41
1763825238,189.22
1763825239,189.30
1763825240,189.02
1763825242,189.22
1763825243,189.21
1763825244,189.15
1763825245,189.35
1763825246,189.25
1763825247,189.26
1763825248,189.43
1763825249,189.31
1763825250,189.43
1763825251,189.51
1763825252,189.41
1763825253,189.28
1763825254,189.37
1763825255,189.40
1763825256,189.36
1763825257,189.43
1763825259,189.68
1763825260,189.56
1763825261,189.42
1763825262,189.57
1763825263,189.54
