timestamp,gpu_util_percent,memory_util_percent
1763877367,100,75
1763877368,100,75
1763877369,100,76
1763877370,100,75
1763877371,100,75
1763877372,100,75
1763877373,100,73
1763877374,100,74
1763877375,100,75
1763877376,100,94
1763877377,100,94
1763877378,100,93
1763877379,100,93
1763877380,100,91
1763877382,100,88
1763877383,100,87
1763877384,100,87
1763877385,100,84
1763877386,100,84
1763877387,100,73
1763877388,100,77
1763877389,100,75
1763877390,100,75
1763877391,100,72
1763877392,100,75
1763877393,100,75
1763877394,100,75
1763877395,100,76
1763877396,100,75
1763877397,100,75
1763877398,100,76
1763877399,100,77
1763877400,100,73
1763877401,100,76
1763877402,100,75
1763877403,100,76
1763877404,100,76
1763877405,100,76
1763877406,100,76
1763877407,100,76
1763877409,100,76
1763877410,100,76
1763877411,100,76
1763877412,100,76
1763877413,100,74
1763877414,100,73
1763877415,100,76
1763877416,100,76
1763877417,100,76
1763877418,100,76
1763877419,100,76
1763877420,100,76
1763877421,100,76
1763877422,100,76
1763877423,100,76
1763877424,100,76
1763877425,100,77
1763877426,100,76
1763877427,100,77
1763877428,100,77
1763877429,100,76
1763877430,100,76
1763877431,100,76
1763877432,100,76
1763877433,100,75
1763877434,100,75
1763877436,100,77
1763877437,100,76
1763877438,100,75
1763877439,100,74
1763877440,100,75
1763877441,100,75
1763877442,100,76
1763877443,100,75
1763877444,100,76
1763877445,100,75
1763877446,100,76
1763877447,100,76
1763877448,100,76
1763877449,100,75
1763877450,100,76
1763877451,100,74
1763877452,100,78
1763877453,100,72
1763877454,100,74
1763877455,100,76
1763877456,100,76
1763877457,100,76
1763877458,100,76
1763877459,100,76
1763877460,100,76
1763877461,100,76
1763877463,100,76
1763877464,100,76
1763877465,100,74
1763877466,100,75
1763877467,100,72
1763877468,100,76
1763877469,100,76
1763877470,100,76
1763877471,100,77
1763877472,100,76
1763877473,100,76
1763877474,100,76
1763877475,100,76
1763877476,100,76
1763877477,100,72
1763877478,100,74
1763877479,100,75
1763877480,100,73
1763877481,100,75
1763877482,100,75
1763877483,100,76
1763877484,100,76
1763877485,100,76
1763877486,100,76
1763877487,100,76
1763877488,100,76
1763877490,100,79
1763877491,100,75
1763877492,100,76
1763877493,100,76
1763877494,100,73
1763877495,100,76
1763877496,100,76
1763877497,100,76
1763877498,100,76
1763877499,100,76
1763877500,100,76
