timestamp,gpu_temp_c,memory_temp_c
1764175302,64,N/A
1764175304,64,N/A
1764175306,64,N/A
1764175308,64,N/A
1764175310,64,N/A
1764175311,65,N/A
1764175312,65,N/A
1764175313,72,N/A
1764175314,74,N/A
1764175315,74,N/A
1764175316,75,N/A
1764175317,75,N/A
1764175318,76,N/A
1764175319,76,N/A
1764175320,77,N/A
1764175321,77,N/A
1764175322,77,N/A
1764175323,78,N/A
1764175324,79,N/A
1764175325,79,N/A
1764175326,79,N/A
1764175327,79,N/A
1764175328,79,N/A
1764175329,79,N/A
1764175330,80,N/A
1764175331,80,N/A
1764175332,80,N/A
1764175333,81,N/A
1764175334,81,N/A
1764175335,80,N/A
1764175337,81,N/A
1764175338,81,N/A
1764175339,81,N/A
1764175340,82,N/A
1764175341,82,N/A
1764175342,82,N/A
1764175343,82,N/A
1764175344,82,N/A
1764175345,82,N/A
1764175346,82,N/A
1764175347,82,N/A
1764175348,83,N/A
1764175349,82,N/A
1764175350,82,N/A
1764175351,83,N/A
1764175352,81,N/A
1764175353,82,N/A
1764175354,82,N/A
1764175355,83,N/A
1764175356,83,N/A
1764175357,83,N/A
1764175358,83,N/A
1764175359,83,N/A
1764175360,83,N/A
1764175361,82,N/A
1764175362,82,N/A
1764175363,82,N/A
1764175364,83,N/A
1764175365,82,N/A
1764175366,83,N/A
1764175367,82,N/A
1764175368,83,N/A
1764175369,82,N/A
1764175370,83,N/A
1764175371,83,N/A
1764175372,81,N/A
1764175373,83,N/A
1764175374,83,N/A
1764175375,82,N/A
1764175377,82,N/A
1764175378,82,N/A
1764175379,83,N/A
1764175380,83,N/A
1764175381,82,N/A
1764175382,83,N/A
1764175383,83,N/A
1764175384,82,N/A
1764175385,83,N/A
1764175386,83,N/A
1764175387,83,N/A
1764175388,82,N/A
1764175389,82,N/A
1764175390,83,N/A
1764175391,83,N/A
1764175392,82,N/A
1764175393,83,N/A
1764175394,83,N/A
1764175395,83,N/A
1764175396,83,N/A
1764175397,82,N/A
1764175398,84,N/A
1764175399,84,N/A
1764175400,82,N/A
1764175401,83,N/A
1764175402,83,N/A
1764175403,84,N/A
1764175404,82,N/A
1764175405,83,N/A
1764175406,83,N/A
1764175407,83,N/A
1764175408,82,N/A
1764175409,83,N/A
1764175410,83,N/A
1764175411,83,N/A
1764175412,84,N/A
1764175413,82,N/A
1764175414,82,N/A
1764175415,83,N/A
1764175417,84,N/A
1764175418,83,N/A
1764175419,83,N/A
1764175420,83,N/A
1764175421,84,N/A
1764175422,83,N/A
1764175423,83,N/A
1764175424,83,N/A
1764175425,83,N/A
1764175426,83,N/A
1764175427,82,N/A
1764175428,83,N/A
1764175429,83,N/A
1764175430,84,N/A
1764175431,83,N/A
1764175432,83,N/A
1764175433,83,N/A
1764175434,83,N/A
1764175435,84,N/A
1764175436,84,N/A
1764175437,83,N/A
1764175438,83,N/A
1764175439,83,N/A
1764175440,84,N/A
1764175441,83,N/A
1764175442,83,N/A
1764175443,82,N/A
1764175444,83,N/A
1764175445,83,N/A
1764175446,82,N/A
1764175447,83,N/A
1764175448,82,N/A
1764175449,81,N/A
1764175450,81,N/A
1764175451,81,N/A
1764175452,81,N/A
1764175453,81,N/A
1764175454,81,N/A
1764175455,81,N/A
1764175457,80,N/A
1764175458,80,N/A
1764175459,80,N/A
1764175460,80,N/A
1764175461,80,N/A
1764175462,80,N/A
1764175463,80,N/A
1764175464,80,N/A
1764175465,80,N/A
1764175466,80,N/A
1764175467,80,N/A
1764175468,80,N/A
1764175469,80,N/A
1764175470,80,N/A
1764175471,80,N/A
1764175472,80,N/A
1764175473,79,N/A
1764175474,80,N/A
1764175475,80,N/A
1764175476,80,N/A
1764175477,79,N/A
1764175478,79,N/A
1764175479,79,N/A
1764175480,79,N/A
1764175481,79,N/A
1764175482,79,N/A
1764175483,79,N/A
1764175484,79,N/A
1764175485,79,N/A
1764175486,79,N/A
1764175487,79,N/A
1764175488,79,N/A
1764175489,79,N/A
1764175490,79,N/A
1764175491,79,N/A
1764175492,79,N/A
1764175493,79,N/A
1764175494,79,N/A
1764175495,79,N/A
1764175497,79,N/A
1764175498,79,N/A
1764175499,79,N/A
1764175500,79,N/A
1764175501,79,N/A
1764175502,79,N/A
1764175503,79,N/A
1764175504,79,N/A
1764175505,79,N/A
1764175506,79,N/A
1764175507,79,N/A
1764175508,79,N/A
1764175509,79,N/A
1764175510,79,N/A
1764175511,79,N/A
1764175512,78,N/A
1764175513,78,N/A
1764175514,78,N/A
1764175515,79,N/A
1764175516,79,N/A
1764175517,79,N/A
1764175518,79,N/A
1764175519,79,N/A
1764175520,79,N/A
1764175521,78,N/A
1764175522,79,N/A
1764175523,79,N/A
1764175524,78,N/A
1764175525,78,N/A
1764175526,78,N/A
1764175527,79,N/A
1764175528,79,N/A
1764175529,79,N/A
1764175530,79,N/A
1764175531,79,N/A
1764175532,78,N/A
1764175533,79,N/A
1764175534,79,N/A
1764175535,78,N/A
1764175537,78,N/A
1764175538,78,N/A
1764175539,78,N/A
1764175540,78,N/A
1764175541,78,N/A
1764175542,78,N/A
1764175543,78,N/A
1764175544,78,N/A
1764175545,78,N/A
1764175546,78,N/A
1764175547,78,N/A
1764175548,78,N/A
1764175549,78,N/A
1764175550,78,N/A
1764175551,78,N/A
1764175552,78,N/A
1764175553,78,N/A
1764175554,78,N/A
1764175555,78,N/A
1764175556,78,N/A
1764175557,78,N/A
1764175558,78,N/A
1764175559,78,N/A
1764175560,78,N/A
1764175561,78,N/A
1764175562,78,N/A
1764175563,78,N/A
1764175564,78,N/A
1764175565,78,N/A
1764175566,78,N/A
1764175567,78,N/A
