timestamp,power_draw_w
1764235978,76.74
1764235980,76.94
1764235982,76.79
1764235984,85.22
1764235985,123.38
1764235986,277.61
1764235987,277.72
1764235988,277.44
1764235989,278.45
1764235990,278.98
1764235991,279.29
1764235992,278.40
1764235993,277.54
1764235994,279.19
1764235995,281.15
1764235996,280.19
1764235997,279.58
1764235998,281.28
1764235999,283.29
1764236000,282.20
1764236001,282.30
1764236002,282.61
1764236003,285.14
1764236004,284.17
1764236005,282.59
1764236006,268.38
1764236007,286.62
1764236008,285.69
1764236009,286.66
1764236010,289.83
1764236011,287.29
1764236012,285.26
1764236013,287.13
1764236014,287.91
1764236015,286.08
1764236016,286.84
1764236017,289.13
1764236019,288.83
1764236020,286.64
1764236021,286.91
1764236022,288.93
1764236023,289.13
1764236024,287.83
1764236025,287.85
1764236026,290.29
1764236027,287.70
1764236028,287.90
1764236029,288.04
1764236030,289.24
1764236031,287.29
1764236032,287.62
1764236033,287.28
1764236034,288.88
1764236035,269.68
1764236036,258.42
1764236037,285.35
1764236038,281.08
1764236039,282.55
1764236040,284.10
1764236041,284.03
1764236042,287.51
1764236043,284.64
1764236044,280.15
1764236045,285.78
1764236046,283.23
1764236047,282.28
1764236048,282.02
1764236049,284.51
1764236050,282.97
1764236051,277.77
1764236052,286.67
1764236053,278.51
1764236054,279.44
1764236055,285.24
1764236056,285.80
1764236057,282.57
1764236059,279.13
1764236060,284.12
1764236061,279.06
1764236062,279.92
1764236063,284.14
1764236064,275.02
1764236065,277.89
1764236066,278.71
1764236067,278.14
1764236068,276.31
1764236069,283.92
1764236070,262.69
1764236071,206.29
1764236072,212.06
1764236073,209.10
1764236074,211.60
1764236075,209.09
1764236076,211.93
1764236077,209.35
1764236078,211.97
1764236079,209.08
1764236080,212.05
1764236081,209.45
1764236082,211.62
1764236083,209.29
1764236084,212.30
1764236085,209.33
1764236086,212.42
1764236087,197.26
1764236088,209.49
1764236089,211.48
1764236090,209.49
1764236091,211.10
1764236092,209.63
1764236093,211.18
1764236094,208.87
1764236095,210.48
1764236096,209.02
1764236098,211.06
1764236099,209.35
1764236100,211.25
1764236101,209.41
1764236102,210.92
1764236103,208.08
1764236104,207.89
1764236105,208.16
1764236106,207.85
1764236107,206.83
1764236108,207.47
1764236109,207.34
1764236110,207.62
1764236111,208.19
1764236112,207.62
1764236113,207.86
1764236114,207.93
1764236115,206.86
1764236116,206.66
1764236117,206.86
1764236118,208.54
1764236119,208.06
1764236120,208.41
1764236121,211.06
1764236122,209.48
1764236123,210.91
1764236124,210.05
1764236125,210.04
1764236126,210.16
1764236127,209.43
1764236128,210.66
1764236129,209.25
1764236130,210.50
1764236131,208.77
1764236132,211.60
1764236133,208.92
1764236134,211.70
1764236135,201.48
1764236136,210.89
1764236138,208.78
1764236139,210.83
1764236140,207.51
1764236141,203.49
1764236142,287.18
1764236143,283.87
1764236144,284.37
1764236145,288.64
1764236146,285.92
