timestamp,power_draw_w
1764183964,69.23
1764183966,71.32
1764183968,69.05
1764183970,69.14
1764183972,68.84
1764183974,68.83
1764183976,69.17
1764183978,69.32
1764183980,68.90
1764183982,71.35
1764183983,69.29
1764183985,69.04
1764183987,68.99
1764183989,71.16
1764183991,68.55
1764183993,71.39
1764183995,69.05
1764183997,71.31
1764183999,71.09
1764184001,71.60
1764184004,69.02
1764184006,71.23
1764184008,71.46
1764184010,71.18
1764184012,68.76
1764184014,70.86
1764184016,45.12
1764184018,69.18
1764184020,71.48
1764184022,68.99
1764184024,68.92
1764184027,61.08
1764184029,68.65
1764184032,71.61
1764184034,71.39
1764184036,68.89
1764184038,71.25
1764184040,77.97
1764184043,68.72
1764184045,77.74
1764184048,68.82
1764184050,71.18
1764184052,71.32
1764184054,68.92
1764184056,77.18
1764184059,68.93
1764184061,68.81
1764184063,71.10
1764184065,68.82
1764184067,68.87
1764184070,69.02
1764184072,69.18
1764184074,71.37
1764184076,71.83
1764184078,69.18
1764184081,71.56
1764184083,69.16
1764184085,68.84
1764184088,68.89
1764184090,71.40
1764184092,71.19
1764184095,68.89
1764184097,67.78
1764184099,71.33
1764184102,77.71
1764184104,77.64
1764184109,77.99
1764184111,77.67
1764184115,69.13
1764184117,71.43
1764184119,69.18
1764184122,69.14
1764184124,68.95
1764184126,69.29
1764184129,71.31
1764184131,71.03
1764184133,68.88
1764184136,77.70
1764184138,77.41
1764184140,77.21
1764184143,71.54
1764184145,68.90
1764184147,64.26
1764184150,71.86
1764184152,77.94
1764184154,77.72
1764184157,60.71
1764184159,69.26
1764184161,68.39
1764184164,77.54
1764184166,71.17
1764184168,77.51
1764184171,69.08
1764184174,69.05
1764184176,68.78
1764184179,71.37
1764184181,67.83
1764184183,67.89
1764184186,66.20
1764184188,68.69
1764184190,71.25
1764184193,71.36
1764184195,71.62
1764184198,77.50
1764184200,77.52
1764184203,71.40
1764184205,68.90
1764184208,67.88
1764184210,67.72
1764184213,77.77
1764184215,66.58
1764184217,77.78
1764184220,77.57
1764184223,68.62
1764184225,77.57
1764184227,68.83
1764184229,71.10
1764184231,70.92
1764184233,71.20
1764184236,71.11
1764184238,68.17
1764184240,67.46
1764184243,68.75
1764184245,71.21
1764184247,77.57
1764184250,59.60
1764184253,68.59
1764184255,68.92
1764184257,77.90
1764184259,68.20
1764184261,71.25
1764184264,69.01
1764184266,68.96
1764184268,71.41
1764184271,71.34
1764184273,77.46
1764184275,65.83
1764184278,68.98
1764184280,68.89
1764184282,69.12
1764184284,69.16
1764184286,69.14
1764184288,71.45
1764184291,68.83
1764184293,69.12
1764184295,69.04
1764184297,77.57
1764184299,77.44
1764184302,71.34
1764184304,71.48
1764184307,54.78
1764184309,68.90
1764184311,71.07
1764184314,68.83
1764184316,71.09
1764184318,68.60
1764184320,77.21
1764184323,69.08
1764184325,71.22
1764184328,71.12
1764184330,70.96
1764184332,68.87
1764184334,68.93
1764184336,71.31
1764184338,71.18
1764184340,69.11
1764184342,71.34
1764184344,68.69
1764184346,68.88
1764184349,71.30
1764184351,71.03
1764184353,68.95
1764184355,71.23
1764184357,69.11
