timestamp,power_draw_w
1764193000,76.36
1764193002,78.64
1764193004,84.72
1764193005,85.63
1764193006,201.52
1764193007,229.85
1764193008,225.09
1764193009,232.14
1764193010,197.68
1764193011,191.83
1764193012,230.64
1764193013,232.71
1764193014,236.32
1764193015,232.79
1764193016,165.81
1764193017,237.07
1764193018,235.76
1764193019,237.36
1764193020,236.98
1764193021,192.81
1764193022,195.70
1764193023,221.36
1764193024,233.28
1764193025,239.83
1764193026,240.19
1764193027,176.12
1764193028,225.80
1764193029,240.41
1764193030,240.70
1764193031,240.76
1764193032,205.22
1764193033,205.87
1764193034,242.52
1764193035,240.10
1764193036,243.60
1764193037,232.62
1764193039,176.10
1764193040,242.54
1764193041,243.69
1764193042,243.31
1764193043,243.00
1764193044,198.31
1764193045,221.30
1764193046,243.78
1764193047,244.92
1764193048,245.30
1764193049,214.76
1764193050,201.20
1764193051,245.04
1764193052,246.04
1764193053,245.66
1764193054,243.24
1764193055,175.27
1764193056,243.59
1764193057,245.45
1764193058,246.27
1764193059,245.29
1764193060,200.76
1764193061,215.20
1764193062,240.56
1764193063,229.32
1764193064,223.11
1764193065,243.26
1764193066,181.18
1764193067,235.16
1764193068,241.46
1764193069,243.96
1764193070,245.43
1764193071,214.52
1764193072,203.27
1764193074,245.50
1764193075,246.65
1764193076,248.46
1764193077,235.96
1764193078,173.24
1764193079,241.05
1764193080,247.31
1764193081,247.49
1764193082,248.20
1764193083,206.69
1764193084,220.16
1764193085,247.62
1764193086,247.86
1764193087,247.02
1764193088,224.14
1764193089,195.63
1764193090,246.65
1764193091,247.69
1764193092,247.02
1764193093,247.67
1764193094,180.87
1764193095,245.38
1764193096,248.43
1764193097,248.55
1764193098,247.45
1764193099,210.02
1764193100,212.37
1764193101,228.60
1764193102,226.00
1764193103,240.45
1764193104,249.04
1764193105,188.53
1764193106,209.31
1764193108,246.18
1764193109,228.83
1764193110,239.10
1764193111,248.50
1764193112,182.32
1764193113,245.62
1764193114,248.76
1764193115,249.15
1764193116,250.87
1764193117,204.54
1764193118,215.06
1764193119,251.13
1764193120,248.67
1764193121,248.67
1764193122,230.00
1764193123,189.77
1764193124,248.99
1764193125,250.17
1764193126,250.88
1764193127,250.16
1764193128,183.27
1764193129,235.39
1764193130,251.28
1764193131,249.57
1764193132,250.78
1764193133,210.82
1764193134,221.67
1764193135,250.76
1764193136,246.37
1764193137,247.40
1764193138,235.13
1764193139,191.27
1764193140,250.56
1764193142,250.61
1764193143,250.72
1764193144,251.28
1764193145,201.02
1764193146,226.05
1764193147,248.39
1764193148,251.62
1764193149,251.56
1764193150,222.28
1764193151,206.27
1764193152,246.42
1764193153,252.42
1764193154,252.45
1764193155,246.66
1764193156,176.27
1764193157,249.16
1764193158,248.46
1764193159,245.96
1764193160,251.21
1764193161,216.72
1764193162,219.37
1764193163,252.00
1764193164,251.27
1764193165,250.45
1764193166,233.11
1764193167,193.65
1764193168,244.14
1764193169,252.03
1764193170,249.74
1764193171,248.69
1764193172,199.60
1764193173,223.33
1764193175,247.88
1764193176,244.16
1764193177,243.43
1764193178,231.45
1764193179,197.50
1764193180,247.25
1764193181,247.82
1764193182,247.46
1764193183,247.63
1764193184,197.70
1764193185,223.80
1764193186,249.23
1764193187,248.50
1764193188,249.51
1764193189,225.95
1764193190,201.89
1764193191,249.16
1764193192,248.96
1764193193,248.64
1764193194,249.16
1764193195,180.72
1764193196,243.11
1764193197,248.04
1764193198,248.53
1764193199,248.33
1764193200,215.04
1764193201,211.23
1764193202,249.64
1764193203,238.64
1764193204,226.81
1764193205,243.13
1764193206,187.58
1764193207,222.18
1764193208,243.26
1764193209,249.56
1764193210,249.44
1764193211,226.77
1764193212,195.00
1764193213,225.76
1764193215,225.55
1764193216,225.48
1764193217,240.80
1764193218,223.89
1764193219,197.06
1764193220,245.04
1764193221,241.36
1764193222,241.29
1764193223,248.40
1764193224,191.48
1764193225,227.57
1764193226,248.06
1764193227,248.41
1764193228,247.80
1764193229,220.49
1764193230,206.98
1764193231,242.03
1764193232,249.90
1764193233,248.28
1764193234,248.04
1764193235,171.67
1764193236,248.28
1764193237,247.06
1764193238,247.70
1764193239,247.83
1764193240,210.40
1764193241,213.61
1764193242,249.96
1764193243,249.75
1764193244,249.06
1764193245,231.20
1764193247,192.00
1764193248,248.75
1764193249,249.08
1764193250,248.62
1764193251,247.72
1764193252,193.73
1764193253,226.60
1764193254,248.56
1764193255,247.24
1764193256,248.41
1764193257,221.80
1764193258,203.05
1764193259,246.99
1764193260,248.40
1764193261,248.74
1764193262,248.39
1764193263,181.82
1764193264,247.36
1764193265,248.30
1764193266,245.85
1764193267,246.12
1764193268,209.72
1764193269,211.80
1764193270,248.06
1764193271,248.27
1764193272,247.73
1764193273,235.36
1764193274,191.15
1764193275,246.62
1764193276,248.12
1764193277,248.67
1764193278,248.68
1764193279,195.55
1764193280,214.35
1764193281,239.94
1764193282,249.04
1764193284,250.49
1764193285,226.23
1764193286,191.38
1764193287,245.44
1764193288,248.19
1764193289,247.78
1764193290,247.74
1764193291,183.93
1764193292,224.38
1764193293,246.71
1764193294,247.67
1764193295,248.62
1764193296,218.84
1764193297,197.26
1764193298,234.71
1764193299,248.18
1764193300,248.89
1764193301,247.45
1764193302,188.06
1764193303,235.26
1764193304,249.05
1764193305,249.32
1764193306,248.88
1764193307,215.73
1764193308,209.87
1764193309,249.68
1764193310,232.24
1764193311,236.72
1764193312,230.25
1764193313,192.83
1764193314,217.60
1764193315,247.36
1764193317,247.26
1764193318,247.52
1764193319,223.03
1764193320,193.79
1764193321,247.08
1764193322,248.05
1764193323,248.20
1764193324,248.14
1764193325,182.43
1764193326,239.82
1764193327,250.36
1764193328,248.52
1764193329,248.61
1764193330,213.14
1764193331,202.03
1764193332,242.21
1764193333,226.24
1764193334,226.41
1764193335,242.42
1764193336,202.61
1764193337,208.92
1764193338,248.89
1764193339,249.07
1764193340,248.94
1764193341,236.47
1764193342,181.79
1764193343,247.41
1764193344,249.12
1764193345,249.00
1764193346,249.69
1764193347,194.64
1764193348,219.15
1764193349,245.86
1764193350,249.43
1764193352,249.71
1764193353,226.25
1764193354,193.93
1764193355,244.78
1764193356,249.20
1764193357,247.63
1764193358,250.06
1764193359,181.40
1764193360,231.06
1764193361,247.56
1764193362,248.98
1764193363,248.99
1764193364,219.68
1764193365,203.24
1764193366,247.49
1764193367,246.76
1764193368,250.85
