timestamp,gpu_temp_c,memory_temp_c
1764195393,64,N/A
1764195395,64,N/A
1764195397,65,N/A
1764195398,65,N/A
1764195399,70,N/A
1764195400,71,N/A
1764195401,71,N/A
1764195402,72,N/A
1764195403,70,N/A
1764195404,72,N/A
1764195405,73,N/A
1764195406,73,N/A
1764195407,74,N/A
1764195408,72,N/A
1764195409,73,N/A
1764195410,74,N/A
1764195412,75,N/A
1764195413,75,N/A
1764195414,75,N/A
1764195415,73,N/A
1764195416,75,N/A
1764195417,76,N/A
1764195418,76,N/A
1764195419,76,N/A
1764195420,74,N/A
1764195421,76,N/A
1764195422,77,N/A
1764195423,77,N/A
1764195424,77,N/A
1764195425,77,N/A
1764195426,74,N/A
1764195427,77,N/A
1764195428,77,N/A
1764195429,78,N/A
1764195430,78,N/A
1764195431,76,N/A
1764195432,77,N/A
1764195433,78,N/A
1764195434,78,N/A
1764195435,78,N/A
1764195436,76,N/A
1764195437,78,N/A
1764195438,78,N/A
1764195439,78,N/A
1764195440,79,N/A
1764195441,79,N/A
1764195442,75,N/A
1764195443,79,N/A
1764195444,79,N/A
1764195445,79,N/A
1764195446,79,N/A
1764195447,77,N/A
1764195448,79,N/A
1764195449,79,N/A
1764195451,80,N/A
1764195452,80,N/A
1764195453,78,N/A
1764195454,79,N/A
1764195455,80,N/A
1764195456,80,N/A
1764195457,80,N/A
1764195458,80,N/A
1764195459,77,N/A
1764195460,80,N/A
1764195461,80,N/A
1764195462,80,N/A
1764195463,80,N/A
1764195464,78,N/A
1764195465,79,N/A
1764195466,80,N/A
1764195467,80,N/A
1764195468,80,N/A
1764195469,80,N/A
1764195470,77,N/A
1764195471,80,N/A
1764195472,80,N/A
1764195473,81,N/A
1764195474,81,N/A
1764195475,79,N/A
1764195476,80,N/A
1764195477,81,N/A
1764195478,81,N/A
1764195479,81,N/A
1764195480,81,N/A
1764195481,80,N/A
1764195482,81,N/A
1764195483,81,N/A
1764195484,81,N/A
1764195485,81,N/A
1764195486,79,N/A
1764195487,81,N/A
1764195488,81,N/A
1764195489,81,N/A
1764195491,81,N/A
1764195492,79,N/A
1764195493,81,N/A
1764195494,81,N/A
1764195495,81,N/A
1764195496,81,N/A
1764195497,81,N/A
1764195498,79,N/A
1764195499,81,N/A
1764195500,81,N/A
1764195501,81,N/A
1764195502,81,N/A
1764195503,79,N/A
1764195504,81,N/A
