timestamp,power_draw_w
1764798124,179.95
1764798125,176.02
1764798126,177.74
1764798127,177.80
1764798128,164.33
1764798129,168.14
1764798130,163.77
1764798131,159.14
1764798133,144.37
1764798134,142.23
1764798135,164.47
1764798136,172.40
1764798137,173.39
1764798138,165.88
1764798139,164.72
1764798140,163.82
1764798141,165.59
1764798142,164.61
1764798143,168.36
1764798144,165.64
1764798145,165.88
1764798146,166.12
1764798147,169.54
1764798148,167.32
1764798149,170.69
1764798150,176.85
1764798151,172.95
1764798152,171.99
1764798153,166.29
1764798154,166.31
1764798155,169.05
1764798156,170.06
1764798157,166.97
1764798158,169.63
1764798159,170.11
1764798160,168.84
1764798161,166.17
1764798162,169.29
1764798163,169.03
1764798164,166.79
1764798165,161.51
1764798166,165.79
1764798168,164.67
1764798169,163.82
1764798170,165.98
1764798171,166.84
1764798172,165.70
1764798173,171.85
1764798174,175.97
1764798175,169.89
1764798176,165.55
1764798177,170.53
1764798178,169.45
1764798179,166.86
1764798180,169.31
1764798181,169.47
1764798182,169.32
1764798183,170.45
1764798184,167.94
1764798185,166.43
1764798186,166.49
1764798187,166.12
1764798188,168.75
1764798189,165.94
1764798190,164.36
1764798191,168.86
1764798192,171.99
1764798193,171.36
1764798194,170.38
1764798195,170.47
1764798196,177.71
1764798197,178.77
1764798198,174.62
1764798199,175.05
1764798200,174.02
1764798201,164.16
1764798203,168.86
1764798204,173.06
1764798205,167.48
1764798206,168.23
1764798207,165.68
1764798208,154.93
1764798209,146.39
1764798210,147.48
1764798211,165.62
1764798212,166.95
1764798213,167.02
1764798214,168.59
1764798215,168.48
1764798216,168.93
1764798217,171.38
1764798218,170.47
1764798219,174.88
1764798220,179.02
1764798221,173.06
1764798222,175.78
1764798223,170.88
1764798224,172.80
1764798225,167.11
1764798226,167.57
1764798227,167.00
1764798228,167.20
1764798229,167.07
1764798230,172.77
1764798231,171.23
1764798232,171.51
1764798233,176.14
1764798234,171.77
1764798235,165.98
1764798236,157.15
1764798238,163.01
1764798239,160.29
1764798240,169.83
1764798241,169.89
1764798242,172.00
1764798243,177.72
1764798244,175.26
1764798245,167.36
1764798246,166.31
1764798247,170.65
1764798248,170.82
1764798249,167.73
1764798250,166.07
1764798251,162.83
1764798252,164.52
1764798253,168.93
1764798254,174.14
1764798255,170.39
1764798256,168.81
1764798257,170.77
1764798258,171.36
1764798259,171.51
1764798260,167.59
1764798261,165.93
1764798262,158.01
1764798263,149.86
1764798264,149.66
1764798265,163.64
1764798266,177.88
1764798267,169.13
1764798268,167.15
1764798269,166.82
1764798270,168.08
1764798271,174.93
1764798273,169.93
1764798274,171.02
1764798275,173.72
1764798276,174.97
1764798277,176.62
1764798278,176.28
1764798279,176.46
1764798280,176.76
1764798281,169.21
1764798282,169.54
1764798283,167.88
1764798284,168.82
1764798285,166.07
1764798286,157.76
1764798287,149.88
1764798288,149.86
1764798289,171.93
1764798290,176.75
1764798291,166.40
1764798292,167.28
1764798293,167.61
1764798294,170.93
1764798295,171.78
1764798296,170.80
1764798297,170.92
1764798298,169.55
1764798299,168.91
1764798300,174.56
1764798301,178.14
1764798302,177.73
1764798303,175.58
1764798304,167.58
1764798305,168.16
1764798306,168.02
1764798307,166.55
1764798309,158.04
1764798310,161.22
1764798311,163.98
1764798312,168.69
1764798313,178.99
1764798314,171.89
1764798315,169.59
1764798316,168.45
1764798317,168.41
1764798318,168.15
1764798319,168.53
1764798320,167.83
1764798321,168.01
1764798322,168.46
1764798323,168.91
1764798324,167.04
1764798325,174.37
1764798326,172.71
1764798327,167.09
1764798328,161.47
1764798329,177.54
1764798330,167.80
1764798331,171.15
1764798332,167.01
1764798333,169.18
1764798334,168.26
1764798335,176.43
1764798336,178.81
1764798337,171.84
1764798338,168.92
1764798339,167.60
1764798340,172.40
1764798341,173.26
1764798342,171.21
1764798344,166.76
1764798345,157.68
1764798346,166.03
1764798347,166.47
1764798348,165.58
1764798349,168.07
1764798350,167.27
1764798351,167.91
1764798352,166.51
1764798353,160.67
1764798354,149.25
1764798355,153.20
1764798356,169.45
1764798357,170.74
1764798358,175.14
1764798359,180.21
1764798360,179.93
1764798361,177.41
1764798362,177.14
1764798363,171.98
1764798364,171.61
1764798365,167.10
1764798366,168.41
1764798367,167.90
1764798368,166.26
1764798369,160.25
1764798370,160.58
1764798371,169.28
1764798372,171.80
1764798373,174.40
1764798374,172.42
1764798375,173.42
1764798376,173.06
1764798377,169.46
1764798379,167.11
1764798380,168.54
1764798381,171.25
1764798382,175.02
1764798383,178.93
