timestamp,gpu_temp_c,memory_temp_c
1764842795,67,N/A
1764842796,67,N/A
1764842797,68,N/A
1764842798,68,N/A
1764842799,68,N/A
1764842800,72,N/A
1764842801,74,N/A
1764842802,75,N/A
1764842803,75,N/A
1764842804,76,N/A
1764842805,74,N/A
1764842806,75,N/A
1764842807,76,N/A
1764842808,77,N/A
1764842809,77,N/A
1764842810,77,N/A
1764842811,75,N/A
1764842812,77,N/A
1764842813,78,N/A
1764842814,78,N/A
1764842815,78,N/A
1764842816,79,N/A
1764842817,77,N/A
1764842818,79,N/A
1764842819,79,N/A
1764842820,80,N/A
1764842822,80,N/A
1764842823,80,N/A
1764842824,78,N/A
1764842825,80,N/A
1764842826,80,N/A
1764842827,80,N/A
1764842828,81,N/A
1764842829,81,N/A
1764842830,78,N/A
1764842831,81,N/A
1764842832,81,N/A
1764842833,81,N/A
1764842834,82,N/A
1764842835,79,N/A
1764842836,81,N/A
1764842837,82,N/A
1764842838,82,N/A
1764842839,82,N/A
1764842840,82,N/A
1764842841,80,N/A
1764842842,81,N/A
1764842843,82,N/A
1764842844,82,N/A
1764842845,82,N/A
1764842846,82,N/A
1764842847,80,N/A
1764842848,82,N/A
1764842849,83,N/A
1764842850,82,N/A
1764842851,82,N/A
1764842852,83,N/A
1764842853,81,N/A
1764842854,83,N/A
1764842855,82,N/A
1764842856,83,N/A
1764842857,82,N/A
1764842858,83,N/A
1764842860,80,N/A
1764842861,83,N/A
1764842862,83,N/A
1764842863,82,N/A
1764842864,82,N/A
1764842865,82,N/A
1764842866,80,N/A
1764842867,82,N/A
1764842868,82,N/A
1764842869,83,N/A
1764842870,83,N/A
1764842871,83,N/A
1764842872,81,N/A
1764842873,82,N/A
1764842874,83,N/A
1764842875,82,N/A
1764842876,83,N/A
1764842877,81,N/A
1764842878,83,N/A
1764842879,82,N/A
1764842880,83,N/A
1764842881,82,N/A
1764842882,83,N/A
1764842883,81,N/A
1764842884,82,N/A
1764842885,82,N/A
1764842886,82,N/A
1764842887,83,N/A
1764842888,83,N/A
1764842889,81,N/A
1764842890,82,N/A
1764842891,83,N/A
1764842892,82,N/A
1764842893,83,N/A
1764842894,83,N/A
1764842895,80,N/A
1764842896,83,N/A
1764842897,82,N/A
1764842899,82,N/A
1764842900,83,N/A
1764842901,83,N/A
1764842902,79,N/A
1764842903,82,N/A
1764842904,82,N/A
1764842905,83,N/A
1764842906,83,N/A
1764842907,80,N/A
1764842908,82,N/A
1764842909,82,N/A
1764842910,82,N/A
1764842911,82,N/A
1764842912,83,N/A
1764842913,81,N/A
1764842914,81,N/A
1764842915,82,N/A
1764842916,82,N/A
1764842917,82,N/A
1764842918,83,N/A
1764842919,79,N/A
1764842920,82,N/A
1764842921,82,N/A
1764842922,83,N/A
1764842923,82,N/A
1764842924,83,N/A
1764842925,81,N/A
1764842926,82,N/A
1764842927,82,N/A
1764842928,82,N/A
1764842929,82,N/A
1764842930,83,N/A
1764842931,81,N/A
1764842932,82,N/A
1764842933,82,N/A
1764842934,83,N/A
1764842935,83,N/A
1764842936,83,N/A
1764842938,79,N/A
1764842939,82,N/A
1764842940,82,N/A
1764842941,83,N/A
1764842942,83,N/A
1764842943,82,N/A
1764842944,80,N/A
1764842945,82,N/A
1764842946,83,N/A
1764842947,82,N/A
1764842948,82,N/A
1764842949,83,N/A
1764842950,80,N/A
1764842951,82,N/A
1764842952,83,N/A
1764842953,82,N/A
1764842954,83,N/A
1764842955,81,N/A
1764842956,82,N/A
1764842957,82,N/A
1764842958,82,N/A
1764842959,82,N/A
1764842960,83,N/A
1764842961,81,N/A
1764842962,82,N/A
1764842963,82,N/A
1764842964,82,N/A
1764842965,82,N/A
1764842966,82,N/A
1764842967,81,N/A
1764842968,82,N/A
1764842969,83,N/A
1764842970,82,N/A
1764842971,83,N/A
1764842972,82,N/A
1764842973,81,N/A
1764842974,83,N/A
1764842975,82,N/A
1764842977,82,N/A
1764842978,83,N/A
1764842979,83,N/A
1764842980,81,N/A
1764842981,82,N/A
1764842982,82,N/A
1764842983,82,N/A
1764842984,82,N/A
1764842985,80,N/A
1764842986,82,N/A
1764842987,82,N/A
1764842988,82,N/A
1764842989,83,N/A
1764842990,82,N/A
1764842991,81,N/A
1764842992,83,N/A
1764842993,83,N/A
1764842994,82,N/A
1764842995,82,N/A
1764842996,82,N/A
1764842997,81,N/A
1764842998,83,N/A
1764842999,82,N/A
1764843000,82,N/A
1764843001,82,N/A
1764843002,83,N/A
1764843003,80,N/A
1764843004,82,N/A
1764843005,83,N/A
1764843006,82,N/A
1764843007,83,N/A
1764843008,83,N/A
1764843009,81,N/A
1764843010,83,N/A
1764843011,83,N/A
1764843012,83,N/A
1764843013,83,N/A
1764843014,82,N/A
1764843016,80,N/A
1764843017,82,N/A
1764843018,83,N/A
1764843019,82,N/A
1764843020,83,N/A
1764843021,81,N/A
1764843022,82,N/A
1764843023,83,N/A
1764843024,82,N/A
1764843025,83,N/A
1764843026,82,N/A
1764843027,80,N/A
1764843028,82,N/A
1764843029,82,N/A
1764843030,83,N/A
1764843031,82,N/A
1764843032,83,N/A
1764843033,81,N/A
1764843034,82,N/A
1764843035,83,N/A
1764843036,82,N/A
1764843037,82,N/A
1764843038,83,N/A
1764843039,81,N/A
1764843040,83,N/A
1764843041,82,N/A
1764843042,83,N/A
1764843043,82,N/A
1764843044,83,N/A
1764843045,81,N/A
1764843046,82,N/A
1764843047,82,N/A
1764843048,82,N/A
1764843049,83,N/A
1764843050,82,N/A
1764843051,80,N/A
1764843052,82,N/A
