timestamp,gpu_util_percent,memory_util_percent
1764941277,0,0
1764941279,0,0
1764941281,0,0
1764941283,0,0
1764941285,0,0
1764941286,0,0
1764941287,7,0
1764941288,14,8
1764941290,93,67
1764941291,94,69
1764941292,94,69
1764941293,94,69
1764941294,94,69
1764941295,94,67
1764941296,94,69
1764941297,92,67
1764941298,94,69
1764941299,94,69
1764941300,94,67
1764941301,93,68
1764941302,91,66
1764941303,93,69
1764941304,94,66
1764941305,94,69
1764941306,94,68
1764941307,94,68
1764941308,93,69
1764941309,94,69
1764941310,94,69
1764941311,93,69
1764941312,94,68
1764941313,93,68
1764941314,94,68
1764941315,94,69
1764941316,94,68
1764941317,94,69
1764941318,94,68
1764941319,93,68
1764941320,94,69
1764941321,94,66
1764941322,94,68
1764941323,93,68
1764941324,94,68
1764941325,94,69
1764941326,94,69
1764941327,94,68
1764941328,94,68
1764941330,94,68
1764941331,94,69
1764941332,94,69
1764941333,93,68
1764941334,94,69
1764941335,94,66
1764941336,94,69
1764941337,94,66
1764941338,94,68
1764941339,91,66
1764941340,94,68
1764941341,94,69
1764941342,94,68
1764941343,94,68
1764941344,94,68
1764941345,94,68
1764941346,93,69
1764941347,94,68
1764941348,94,67
1764941349,94,68
1764941350,94,66
1764941351,94,68
1764941352,91,66
1764941353,94,68
1764941354,94,68
1764941355,94,68
1764941356,94,69
1764941357,94,68
1764941358,94,68
1764941359,94,68
1764941360,94,69
1764941361,94,69
1764941362,94,68
1764941363,94,67
1764941364,94,68
1764941365,91,66
1764941366,94,69
1764941367,94,69
1764941368,94,68
1764941370,94,68
1764941371,94,68
1764941372,94,68
1764941373,94,68
1764941374,94,68
1764941375,94,66
1764941376,94,68
1764941377,94,66
1764941378,94,68
1764941379,91,66
1764941380,94,68
1764941381,94,68
1764941382,94,68
1764941383,94,68
1764941384,94,68
1764941385,94,68
1764941386,92,67
1764941387,94,69
1764941388,94,66
1764941389,94,68
1764941390,94,68
1764941391,94,68
1764941392,94,68
1764941393,94,68
1764941394,94,68
1764941395,94,68
1764941396,94,68
1764941397,94,66
1764941398,94,68
1764941399,92,66
1764941400,94,69
1764941401,93,68
1764941402,94,68
1764941403,94,68
1764941404,94,68
1764941405,94,68
