timestamp,power_draw_w
1765112767,259.21
1765112768,254.34
1765112769,262.76
1765112770,268.80
1765112771,268.59
1765112772,256.42
1765112773,267.80
1765112774,268.64
1765112775,275.95
1765112776,278.99
1765112777,279.64
1765112778,276.00
1765112779,283.79
1765112780,271.51
1765112781,261.94
1765112782,265.00
1765112783,271.77
1765112784,282.62
1765112785,263.48
1765112786,281.96
1765112787,264.93
1765112788,288.22
1765112789,279.37
1765112790,257.17
1765112791,278.74
1765112792,272.88
1765112793,275.22
1765112794,272.90
1765112795,266.70
1765112796,262.37
1765112797,276.40
1765112798,269.25
1765112799,270.73
1765112800,264.10
1765112801,273.81
1765112802,267.25
1765112804,271.69
1765112805,273.33
1765112806,276.52
1765112807,264.63
1765112808,273.31
1765112809,257.89
1765112810,274.75
1765112811,262.30
1765112812,271.13
1765112813,266.69
1765112814,263.73
1765112815,264.32
1765112816,261.33
1765112817,271.90
1765112818,259.06
1765112819,276.57
1765112820,262.48
1765112821,272.86
1765112822,267.23
1765112823,272.11
1765112824,261.08
1765112825,272.96
1765112826,258.50
1765112827,270.78
1765112828,267.30
1765112829,259.82
1765112830,273.29
1765112831,258.78
1765112832,274.44
1765112833,261.02
1765112834,265.98
1765112835,261.23
1765112836,265.12
1765112837,260.60
1765112838,263.24
1765112839,276.50
1765112840,264.91
1765112841,265.07
1765112843,258.11
1765112844,267.45
1765112845,243.39
1765112846,247.07
1765112847,243.66
1765112848,228.02
1765112849,220.11
1765112850,220.40
1765112851,221.43
1765112852,221.77
1765112853,221.20
1765112854,220.68
1765112855,220.95
1765112856,221.49
1765112857,221.15
1765112858,220.54
1765112859,220.74
1765112860,221.03
1765112861,219.75
1765112862,220.69
1765112863,220.30
1765112864,220.75
1765112865,220.75
1765112866,220.82
1765112867,220.85
1765112868,219.62
1765112869,221.23
1765112870,221.74
1765112871,220.45
1765112872,220.88
1765112873,221.31
1765112874,221.05
1765112875,221.20
1765112876,220.59
1765112877,220.06
1765112878,218.47
1765112879,221.77
1765112880,221.57
1765112882,221.60
1765112883,221.25
1765112884,220.85
1765112885,220.74
1765112886,218.63
1765112887,221.25
1765112888,221.88
1765112889,221.73
1765112890,220.77
1765112891,221.62
1765112892,219.96
1765112893,219.60
1765112894,221.61
1765112895,220.94
1765112896,221.11
1765112897,221.41
1765112898,220.44
1765112899,220.96
1765112900,221.53
1765112901,220.78
1765112902,220.18
1765112903,221.32
1765112904,220.69
1765112905,221.20
1765112906,221.05
1765112907,221.93
1765112908,220.18
1765112909,221.19
1765112910,221.15
1765112911,221.34
1765112912,221.46
1765112913,220.79
1765112914,219.99
1765112915,220.76
1765112916,220.78
1765112917,220.29
1765112919,220.61
1765112920,220.69
1765112921,221.47
1765112922,221.06
1765112923,220.93
1765112924,221.11
1765112925,222.14
1765112926,221.71
1765112927,220.88
1765112928,220.84
1765112929,221.59
1765112930,220.15
1765112931,221.05
1765112932,221.21
1765112933,221.17
1765112934,221.13
1765112935,221.25
1765112936,220.87
1765112937,221.30
1765112938,221.41
1765112939,221.22
1765112940,220.43
1765112941,220.99
1765112942,221.16
1765112943,220.59
1765112944,221.22
1765112945,220.91
1765112946,220.64
1765112947,220.27
1765112948,219.41
1765112949,221.00
1765112950,221.04
