timestamp,power_draw_w
1765194319,263.53
1765194321,262.12
1765194322,254.98
1765194323,254.82
1765194324,252.53
1765194325,249.57
1765194326,240.52
1765194327,261.04
1765194328,290.62
1765194329,291.67
1765194330,291.14
1765194331,301.58
1765194332,301.82
1765194333,294.92
1765194334,296.28
1765194335,292.44
1765194336,296.60
1765194337,296.40
1765194338,292.31
1765194339,302.21
1765194340,301.85
1765194341,301.51
1765194342,298.60
1765194343,293.35
1765194344,286.61
1765194345,288.30
1765194346,288.02
1765194347,289.33
1765194348,279.77
1765194349,291.90
1765194350,294.03
1765194351,288.20
1765194352,290.58
1765194353,280.63
1765194354,286.21
1765194355,278.93
1765194356,292.62
1765194357,287.85
1765194358,269.84
1765194360,271.19
1765194361,242.73
1765194362,232.71
1765194363,232.44
1765194364,232.07
1765194365,232.02
1765194366,233.31
1765194367,232.61
1765194368,232.47
1765194369,232.70
1765194370,232.47
1765194371,233.12
1765194372,232.33
1765194373,222.63
1765194374,209.59
1765194375,209.08
1765194376,208.83
1765194377,208.52
1765194378,208.35
1765194379,208.33
1765194380,208.01
1765194381,208.27
1765194382,209.09
1765194383,208.70
1765194384,208.87
1765194385,208.86
1765194386,208.02
1765194387,207.98
1765194388,207.68
1765194389,208.31
1765194390,208.49
1765194391,209.05
1765194392,209.71
1765194393,208.24
1765194394,208.64
1765194395,209.67
1765194396,208.92
1765194397,209.21
1765194399,208.74
1765194400,208.59
1765194401,208.98
1765194402,208.21
1765194403,208.25
1765194404,208.23
1765194405,208.09
1765194406,209.31
1765194407,209.61
1765194408,208.75
1765194409,208.46
1765194410,208.14
1765194411,208.01
1765194412,207.80
1765194413,208.73
1765194414,209.03
1765194415,208.43
1765194416,208.71
1765194417,208.36
1765194418,208.59
1765194419,208.57
1765194420,207.88
1765194421,208.65
1765194422,208.71
1765194423,208.66
1765194424,208.45
1765194425,208.00
1765194426,207.72
1765194427,207.60
1765194428,208.65
1765194429,208.20
1765194430,208.41
1765194431,208.58
1765194432,207.72
1765194433,208.74
1765194434,208.04
1765194435,208.30
1765194436,208.74
1765194438,207.96
1765194439,208.15
1765194440,208.81
1765194441,207.82
1765194442,208.64
1765194443,208.05
1765194444,207.99
1765194445,208.55
1765194446,208.41
1765194447,207.65
