timestamp,gpu_util_percent,memory_util_percent
1765209595,74,55
1765209596,50,37
1765209597,71,52
1765209598,72,53
1765209599,70,51
1765209600,60,45
1765209601,66,50
1765209602,82,53
1765209603,84,54
1765209604,99,64
1765209605,100,75
1765209606,94,66
1765209607,100,67
1765209608,100,76
1765209609,100,75
1765209610,100,71
1765209611,100,76
1765209612,100,69
1765209613,100,69
1765209614,100,78
1765209615,100,70
1765209616,100,68
1765209617,100,72
1765209618,100,67
1765209619,100,76
1765209620,100,75
1765209621,100,68
1765209622,100,68
1765209623,100,78
1765209624,100,73
1765209625,100,66
1765209626,100,67
1765209627,100,70
1765209628,100,77
1765209629,100,71
1765209630,100,67
1765209631,100,70
1765209633,100,74
1765209634,100,75
1765209635,100,74
1765209636,100,67
1765209637,100,69
1765209638,100,77
1765209639,100,73
1765209640,100,68
1765209641,100,64
1765209642,100,66
1765209643,100,66
1765209644,100,70
1765209645,100,70
1765209646,100,69
1765209647,100,70
1765209648,100,70
1765209649,100,66
1765209650,100,62
1765209651,100,63
1765209652,100,64
1765209653,100,65
1765209654,100,63
1765209655,100,64
1765209656,100,64
1765209657,100,70
1765209658,100,73
1765209659,100,73
1765209660,100,72
1765209661,100,72
1765209662,100,73
1765209663,100,71
1765209664,100,71
1765209665,100,65
1765209666,100,65
1765209667,100,65
1765209668,100,72
1765209669,100,66
1765209670,100,66
1765209671,100,66
1765209673,100,62
1765209674,100,62
1765209675,100,62
1765209676,100,62
1765209677,100,62
1765209678,100,62
1765209679,100,61
1765209680,100,61
1765209681,100,70
1765209682,100,69
1765209683,100,70
1765209684,100,70
1765209685,100,71
1765209686,100,72
1765209687,100,72
1765209688,100,72
1765209689,100,66
1765209690,100,66
1765209691,100,66
1765209692,100,66
1765209693,100,66
1765209694,100,68
1765209695,100,70
1765209696,100,60
1765209697,100,60
1765209698,100,59
1765209699,100,59
1765209700,100,59
1765209701,100,59
1765209702,100,59
1765209703,100,59
1765209704,100,70
1765209705,100,70
1765209706,100,70
1765209707,100,69
1765209708,100,66
1765209709,100,63
1765209710,100,64
1765209711,100,64
1765209713,100,71
1765209714,100,74
1765209715,100,74
1765209716,100,72
1765209717,100,71
1765209718,100,71
1765209719,100,71
1765209720,100,63
1765209721,100,65
1765209722,100,71
1765209723,100,71
1765209724,100,71
1765209725,100,71
1765209726,100,70
1765209727,100,69
1765209728,100,69
1765209729,100,70
1765209730,100,68
1765209731,100,71
1765209732,100,72
1765209733,100,72
1765209734,100,72
1765209735,92,64
1765209736,99,65
1765209737,99,65
1765209738,100,61
1765209739,100,64
1765209740,100,64
1765209741,100,66
1765209742,100,68
1765209743,100,62
1765209744,100,60
1765209745,100,60
1765209746,100,64
1765209747,100,64
1765209748,100,65
1765209749,100,65
1765209750,100,66
1765209752,100,64
