timestamp,gpu_util_percent,memory_util_percent
1765345040,70,52
1765345042,70,52
1765345043,72,53
1765345044,72,53
1765345045,94,57
1765345046,99,59
1765345047,99,60
1765345048,99,60
1765345049,99,60
1765345050,99,58
1765345051,99,57
1765345052,99,59
1765345053,99,58
1765345054,99,57
1765345055,99,59
1765345056,63,32
1765345057,99,58
1765345058,98,59
1765345059,99,58
1765345060,99,57
1765345061,99,58
1765345062,99,59
1765345063,99,58
1765345064,99,57
1765345065,99,57
1765345066,99,59
1765345067,99,59
1765345068,99,58
1765345069,99,58
1765345070,99,58
1765345071,98,59
1765345072,99,58
1765345073,99,58
1765345074,98,59
1765345075,99,59
1765345076,99,58
1765345077,83,53
1765345078,99,59
1765345079,99,59
1765345080,99,56
1765345082,99,59
1765345083,99,59
1765345084,99,58
1765345085,98,58
1765345086,99,59
1765345087,99,57
1765345088,99,57
1765345089,99,59
1765345090,99,59
1765345091,99,56
1765345092,99,59
1765345093,98,57
1765345094,99,57
1765345095,99,55
1765345096,99,55
1765345097,99,55
1765345098,99,58
1765345099,99,57
1765345100,98,58
1765345101,99,58
1765345102,99,58
1765345103,70,38
1765345104,98,56
1765345105,99,56
1765345106,98,59
1765345107,99,59
1765345108,99,58
1765345109,99,59
1765345110,99,58
1765345111,99,52
1765345112,99,58
1765345113,99,58
1765345114,99,58
1765345115,99,57
1765345116,99,58
1765345117,99,57
1765345118,99,57
1765345119,99,58
1765345121,99,59
1765345122,99,59
1765345123,99,58
1765345124,99,57
1765345125,99,58
1765345126,99,57
1765345127,99,57
1765345128,99,58
1765345129,99,57
1765345130,99,59
1765345131,99,56
1765345132,99,56
1765345133,99,56
1765345134,99,57
1765345135,99,57
1765345136,99,57
1765345137,99,57
1765345138,99,56
1765345139,99,57
1765345140,99,57
1765345141,99,57
1765345142,98,56
1765345143,99,56
1765345144,97,52
1765345145,99,56
1765345146,99,57
1765345147,99,57
1765345148,99,58
1765345149,99,59
1765345150,99,58
1765345151,99,61
1765345152,99,58
1765345153,99,58
1765345154,99,59
1765345155,99,56
1765345156,99,55
1765345157,99,55
1765345158,99,57
1765345160,99,54
1765345161,99,55
1765345162,99,56
1765345163,99,58
1765345164,99,57
1765345165,99,59
1765345166,99,57
1765345167,99,58
1765345168,99,58
1765345169,99,58
1765345170,99,57
1765345171,99,57
1765345172,98,57
1765345173,99,58
1765345174,99,56
1765345175,99,59
1765345176,99,56
1765345177,88,56
1765345178,99,58
1765345179,99,57
1765345180,99,58
1765345181,99,56
1765345182,99,57
1765345183,99,57
1765345184,99,56
1765345185,99,56
1765345186,98,56
1765345187,99,57
1765345188,99,57
1765345189,99,56
1765345190,99,59
1765345191,99,58
1765345192,99,57
1765345193,98,57
1765345194,99,57
1765345195,99,57
1765345196,99,57
1765345197,99,58
1765345198,99,56
1765345200,87,49
1765345201,74,40
1765345202,99,57
1765345203,98,58
1765345204,99,59
1765345205,99,56
1765345206,99,58
1765345207,99,55
1765345208,99,58
1765345209,99,58
1765345210,99,58
1765345211,99,58
1765345212,99,57
1765345213,99,58
1765345214,99,57
1765345215,99,58
1765345216,98,58
1765345217,99,58
1765345218,99,58
1765345219,99,58
