timestamp,power_draw_w
1765782069,85.36
1765782070,88.12
1765782072,76.50
1765782073,84.41
1765782074,92.60
1765782075,95.62
1765782076,96.08
1765782077,96.21
1765782079,98.99
1765782080,96.29
1765782081,96.13
1765782082,96.04
1765782083,95.87
1765782084,96.15
1765782085,96.52
1765782086,96.07
1765782087,91.89
1765782088,90.82
1765782089,96.44
1765782090,95.43
1765782091,94.69
1765782092,95.68
1765782093,96.60
1765782094,95.97
1765782095,98.88
1765782096,95.66
1765782097,96.63
1765782098,96.22
1765782099,96.48
1765782100,96.12
1765782101,89.16
1765782102,94.81
1765782103,99.61
1765782104,96.80
1765782105,96.61
1765782106,96.43
1765782107,96.73
1765782108,97.03
1765782109,96.78
1765782110,99.61
1765782111,96.87
1765782112,96.83
1765782113,96.39
1765782114,91.45
1765782115,89.53
1765782117,96.12
1765782118,96.54
1765782119,99.47
1765782120,97.04
1765782121,97.07
1765782122,96.49
1765782123,96.91
1765782124,97.08
1765782125,97.40
1765782126,97.13
1765782127,99.85
1765782128,96.25
1765782129,89.37
1765782130,92.10
1765782131,97.02
1765782132,97.40
1765782133,97.15
1765782134,100.04
1765782135,100.08
1765782136,97.27
1765782137,97.17
1765782138,96.71
1765782139,96.91
1765782140,96.40
1765782141,95.81
1765782142,96.99
1765782143,89.47
1765782144,94.85
1765782145,96.25
1765782146,97.06
1765782147,97.05
1765782148,97.50
1765782149,97.15
1765782150,99.79
1765782151,97.22
1765782152,97.24
1765782153,96.85
1765782154,97.11
1765782155,97.24
1765782157,90.17
1765782158,90.23
1765782159,100.02
1765782160,97.51
1765782161,97.35
1765782162,96.99
1765782163,97.31
1765782164,97.53
1765782165,97.22
1765782166,100.09
1765782167,97.30
1765782168,97.25
1765782169,96.65
1765782170,93.32
1765782171,89.69
1765782172,94.65
1765782173,96.98
1765782174,99.85
1765782175,97.17
1765782176,97.10
1765782177,96.68
1765782178,97.13
1765782179,96.73
1765782180,96.07
1765782181,99.75
1765782182,99.45
1765782183,96.96
1765782184,92.15
1765782185,89.33
1765782186,95.91
1765782187,97.30
1765782188,97.03
1765782189,100.03
1765782190,97.43
1765782191,97.25
1765782192,96.85
1765782194,96.84
1765782195,96.95
1765782196,97.33
1765782197,97.07
1765782198,98.56
1765782199,89.38
1765782200,92.84
1765782201,96.51
1765782202,96.99
1765782203,96.91
1765782204,97.35
1765782205,97.04
1765782206,100.11
1765782207,97.16
1765782208,97.11
1765782209,96.68
1765782210,97.05
1765782211,97.18
1765782212,92.18
1765782213,92.29
1765782214,96.00
1765782215,96.89
1765782216,96.23
1765782217,96.72
1765782218,97.00
1765782219,97.17
1765782220,96.94
1765782221,99.86
1765782222,97.02
1765782223,97.06
1765782224,96.74
1765782225,95.63
1765782226,89.50
1765782227,88.77
