timestamp,gpu_temp_c,memory_temp_c
1765925776,62,N/A
1765925777,62,N/A
1765925778,61,N/A
1765925779,61,N/A
1765925780,61,N/A
1765925781,61,N/A
1765925782,61,N/A
1765925783,61,N/A
1765925784,61,N/A
1765925785,61,N/A
1765925786,61,N/A
1765925787,61,N/A
1765925788,60,N/A
1765925789,60,N/A
1765925790,60,N/A
1765925791,60,N/A
1765925792,60,N/A
1765925793,60,N/A
1765925794,60,N/A
1765925795,60,N/A
1765925796,60,N/A
1765925797,60,N/A
1765925798,60,N/A
1765925799,59,N/A
1765925800,59,N/A
1765925802,59,N/A
1765925803,59,N/A
1765925804,59,N/A
1765925805,59,N/A
1765925806,59,N/A
1765925807,59,N/A
1765925808,59,N/A
1765925809,59,N/A
1765925810,59,N/A
1765925811,59,N/A
1765925812,59,N/A
1765925813,58,N/A
1765925814,58,N/A
1765925815,58,N/A
1765925816,58,N/A
1765925817,58,N/A
1765925818,58,N/A
1765925819,58,N/A
1765925820,58,N/A
1765925821,58,N/A
1765925822,58,N/A
1765925823,58,N/A
1765925824,60,N/A
1765925825,60,N/A
1765925826,61,N/A
1765925827,61,N/A
1765925828,64,N/A
1765925829,68,N/A
1765925830,68,N/A
1765925831,69,N/A
1765925832,69,N/A
1765925833,70,N/A
1765925834,71,N/A
1765925836,72,N/A
1765925837,72,N/A
1765925838,72,N/A
1765925839,73,N/A
1765925840,74,N/A
1765925841,74,N/A
1765925842,75,N/A
1765925843,74,N/A
1765925844,75,N/A
1765925845,76,N/A
1765925846,76,N/A
1765925847,77,N/A
1765925848,77,N/A
1765925849,77,N/A
1765925850,78,N/A
1765925851,78,N/A
1765925852,78,N/A
1765925853,78,N/A
1765925854,78,N/A
1765925855,79,N/A
1765925856,78,N/A
1765925857,79,N/A
1765925858,79,N/A
1765925859,80,N/A
1765925860,80,N/A
1765925861,80,N/A
1765925862,80,N/A
1765925863,80,N/A
1765925864,80,N/A
1765925865,80,N/A
1765925866,81,N/A
1765925867,81,N/A
1765925868,81,N/A
1765925870,82,N/A
1765925871,81,N/A
1765925872,82,N/A
1765925873,82,N/A
1765925874,81,N/A
1765925875,81,N/A
1765925876,81,N/A
1765925877,82,N/A
1765925878,81,N/A
1765925879,82,N/A
1765925880,82,N/A
1765925881,82,N/A
1765925882,80,N/A
1765925883,82,N/A
1765925884,82,N/A
1765925885,82,N/A
1765925886,82,N/A
1765925887,82,N/A
1765925888,83,N/A
1765925889,82,N/A
1765925890,82,N/A
1765925891,83,N/A
1765925892,83,N/A
1765925893,83,N/A
1765925894,82,N/A
1765925895,82,N/A
1765925896,82,N/A
1765925897,82,N/A
1765925898,82,N/A
1765925899,82,N/A
1765925900,82,N/A
1765925901,82,N/A
1765925902,81,N/A
1765925903,82,N/A
1765925905,82,N/A
1765925906,83,N/A
1765925907,83,N/A
1765925908,83,N/A
1765925909,83,N/A
1765925910,81,N/A
1765925911,82,N/A
1765925912,81,N/A
1765925913,82,N/A
1765925914,82,N/A
1765925915,82,N/A
1765925916,82,N/A
1765925917,82,N/A
1765925918,82,N/A
1765925919,83,N/A
1765925920,82,N/A
1765925921,83,N/A
1765925922,82,N/A
1765925923,83,N/A
1765925924,83,N/A
1765925925,83,N/A
1765925926,82,N/A
1765925927,81,N/A
1765925928,82,N/A
1765925929,82,N/A
1765925930,82,N/A
1765925931,83,N/A
1765925932,83,N/A
1765925933,82,N/A
1765925934,83,N/A
1765925935,82,N/A
1765925936,83,N/A
1765925937,83,N/A
1765925938,83,N/A
1765925940,83,N/A
1765925941,82,N/A
1765925942,82,N/A
1765925943,83,N/A
1765925944,83,N/A
1765925945,83,N/A
1765925946,82,N/A
1765925947,82,N/A
1765925948,83,N/A
1765925949,83,N/A
1765925950,83,N/A
1765925951,82,N/A
1765925952,83,N/A
1765925953,83,N/A
1765925954,83,N/A
1765925955,82,N/A
1765925956,83,N/A
1765925957,83,N/A
1765925958,82,N/A
1765925959,84,N/A
1765925960,83,N/A
1765925961,83,N/A
1765925962,83,N/A
1765925963,83,N/A
1765925964,82,N/A
1765925965,83,N/A
1765925966,83,N/A
1765925967,83,N/A
1765925968,83,N/A
1765925969,82,N/A
1765925970,84,N/A
1765925971,82,N/A
1765925972,83,N/A
1765925973,83,N/A
1765925975,84,N/A
1765925976,82,N/A
1765925977,82,N/A
1765925978,82,N/A
1765925979,83,N/A
1765925980,83,N/A
1765925981,82,N/A
1765925982,82,N/A
1765925983,83,N/A
1765925984,82,N/A
1765925985,83,N/A
1765925986,83,N/A
1765925987,83,N/A
1765925988,84,N/A
1765925989,83,N/A
1765925990,83,N/A
1765925991,83,N/A
1765925992,82,N/A
1765925993,82,N/A
1765925994,82,N/A
1765925995,82,N/A
1765925996,82,N/A
1765925997,82,N/A
1765925998,82,N/A
1765925999,82,N/A
1765926000,82,N/A
1765926001,82,N/A
1765926002,82,N/A
1765926003,83,N/A
1765926004,83,N/A
1765926005,82,N/A
1765926006,83,N/A
1765926007,82,N/A
1765926008,81,N/A
1765926010,81,N/A
1765926011,81,N/A
1765926012,81,N/A
1765926013,81,N/A
1765926014,81,N/A
1765926015,81,N/A
1765926016,81,N/A
1765926017,80,N/A
1765926018,80,N/A
1765926019,80,N/A
1765926020,81,N/A
1765926021,81,N/A
1765926022,80,N/A
1765926023,81,N/A
1765926024,80,N/A
1765926025,80,N/A
1765926026,80,N/A
1765926027,80,N/A
1765926028,80,N/A
1765926029,80,N/A
1765926030,80,N/A
1765926031,79,N/A
1765926032,80,N/A
1765926033,80,N/A
1765926034,80,N/A
1765926035,79,N/A
1765926036,80,N/A
1765926037,80,N/A
1765926038,80,N/A
1765926039,79,N/A
1765926040,80,N/A
1765926041,79,N/A
1765926042,80,N/A
1765926044,80,N/A
1765926045,79,N/A
1765926046,79,N/A
1765926047,80,N/A
1765926048,80,N/A
1765926049,80,N/A
1765926050,80,N/A
1765926051,79,N/A
1765926052,80,N/A
1765926053,79,N/A
1765926054,79,N/A
1765926055,79,N/A
1765926056,80,N/A
1765926057,79,N/A
1765926058,79,N/A
1765926059,79,N/A
1765926060,80,N/A
1765926061,80,N/A
1765926062,79,N/A
1765926063,80,N/A
1765926064,79,N/A
1765926065,80,N/A
1765926066,79,N/A
1765926067,79,N/A
1765926068,80,N/A
1765926069,79,N/A
1765926070,80,N/A
1765926071,80,N/A
1765926072,79,N/A
1765926073,79,N/A
1765926074,79,N/A
1765926075,79,N/A
1765926076,79,N/A
1765926077,80,N/A
1765926078,80,N/A
1765926079,79,N/A
1765926081,80,N/A
1765926082,79,N/A
1765926083,79,N/A
1765926084,80,N/A
1765926085,79,N/A
1765926086,80,N/A
1765926087,79,N/A
1765926088,79,N/A
1765926089,79,N/A
1765926090,79,N/A
1765926091,79,N/A
1765926092,80,N/A
1765926093,79,N/A
1765926094,79,N/A
1765926095,79,N/A
1765926096,79,N/A
1765926097,79,N/A
1765926098,79,N/A
1765926099,80,N/A
1765926100,79,N/A
1765926101,79,N/A
1765926102,79,N/A
1765926103,79,N/A
1765926104,79,N/A
1765926105,79,N/A
1765926106,79,N/A
1765926107,79,N/A
1765926108,80,N/A
1765926109,79,N/A
1765926110,79,N/A
1765926111,79,N/A
1765926112,79,N/A
1765926113,79,N/A
1765926115,79,N/A
1765926116,79,N/A
1765926117,79,N/A
1765926118,80,N/A
1765926119,79,N/A
1765926120,79,N/A
1765926121,79,N/A
1765926122,79,N/A
1765926123,79,N/A
1765926124,80,N/A
1765926125,79,N/A
1765926126,79,N/A
1765926127,79,N/A
1765926128,79,N/A
1765926129,79,N/A
1765926130,80,N/A
1765926131,79,N/A
1765926132,79,N/A
1765926133,80,N/A
1765926134,79,N/A
1765926135,79,N/A
1765926136,79,N/A
1765926137,79,N/A
1765926138,79,N/A
1765926139,79,N/A
1765926140,79,N/A
1765926141,79,N/A
1765926142,80,N/A
1765926143,80,N/A
1765926144,80,N/A
1765926145,80,N/A
1765926146,80,N/A
1765926147,80,N/A
1765926148,80,N/A
1765926150,80,N/A
1765926151,77,N/A
1765926152,76,N/A
1765926153,75,N/A
1765926154,75,N/A
1765926155,74,N/A
1765926156,74,N/A
1765926157,74,N/A
1765926158,79,N/A
1765926159,81,N/A
1765926160,80,N/A
1765926161,81,N/A
1765926162,80,N/A
1765926163,81,N/A
1765926164,80,N/A
1765926165,81,N/A
1765926166,82,N/A
1765926167,81,N/A
1765926168,82,N/A
1765926169,82,N/A
1765926170,82,N/A
1765926171,82,N/A
1765926172,83,N/A
1765926173,82,N/A
1765926174,83,N/A
1765926175,82,N/A
1765926176,82,N/A
1765926177,83,N/A
1765926178,82,N/A
1765926179,83,N/A
1765926180,83,N/A
1765926181,83,N/A
1765926182,83,N/A
1765926184,82,N/A
1765926185,83,N/A
1765926186,83,N/A
1765926187,82,N/A
1765926188,83,N/A
1765926189,83,N/A
1765926190,84,N/A
1765926191,82,N/A
1765926192,83,N/A
1765926193,83,N/A
1765926194,84,N/A
1765926195,84,N/A
1765926196,83,N/A
1765926197,83,N/A
1765926198,84,N/A
1765926199,82,N/A
1765926200,84,N/A
1765926201,83,N/A
1765926202,82,N/A
1765926203,82,N/A
1765926204,84,N/A
1765926205,84,N/A
1765926206,84,N/A
1765926207,84,N/A
1765926208,83,N/A
1765926209,83,N/A
1765926210,83,N/A
1765926211,83,N/A
1765926212,83,N/A
1765926213,83,N/A
1765926214,82,N/A
1765926215,83,N/A
1765926216,80,N/A
1765926218,80,N/A
1765926219,79,N/A
1765926220,79,N/A
1765926221,79,N/A
1765926222,79,N/A
1765926223,79,N/A
1765926224,78,N/A
1765926225,78,N/A
1765926226,78,N/A
1765926227,78,N/A
1765926228,78,N/A
1765926229,77,N/A
1765926230,77,N/A
1765926231,77,N/A
1765926232,77,N/A
1765926233,77,N/A
1765926234,77,N/A
1765926235,77,N/A
1765926236,77,N/A
1765926237,77,N/A
1765926238,76,N/A
1765926239,76,N/A
1765926240,76,N/A
1765926241,76,N/A
1765926242,76,N/A
1765926243,76,N/A
1765926244,76,N/A
1765926245,76,N/A
1765926246,76,N/A
1765926247,75,N/A
1765926248,76,N/A
1765926249,76,N/A
1765926250,76,N/A
1765926252,75,N/A
1765926253,75,N/A
1765926254,75,N/A
1765926255,75,N/A
1765926256,75,N/A
1765926257,75,N/A
1765926258,75,N/A
1765926259,75,N/A
1765926260,75,N/A
1765926261,75,N/A
1765926262,75,N/A
1765926263,75,N/A
1765926264,75,N/A
1765926265,76,N/A
1765926266,76,N/A
1765926267,75,N/A
1765926268,76,N/A
1765926269,77,N/A
1765926270,77,N/A
1765926271,76,N/A
1765926272,77,N/A
1765926273,77,N/A
1765926274,77,N/A
1765926275,77,N/A
1765926276,77,N/A
1765926277,77,N/A
1765926278,77,N/A
1765926279,77,N/A
1765926280,77,N/A
1765926281,77,N/A
1765926282,78,N/A
1765926283,77,N/A
1765926284,77,N/A
1765926285,78,N/A
1765926286,78,N/A
1765926288,78,N/A
1765926289,78,N/A
1765926290,77,N/A
1765926291,78,N/A
1765926292,78,N/A
1765926293,77,N/A
1765926294,78,N/A
1765926295,78,N/A
1765926296,78,N/A
1765926297,78,N/A
1765926298,78,N/A
1765926299,77,N/A
1765926300,78,N/A
1765926301,78,N/A
1765926302,78,N/A
1765926303,78,N/A
1765926304,78,N/A
1765926305,78,N/A
1765926306,78,N/A
1765926307,78,N/A
1765926308,78,N/A
1765926309,78,N/A
1765926310,78,N/A
1765926311,78,N/A
1765926312,79,N/A
1765926313,79,N/A
1765926314,78,N/A
1765926315,78,N/A
1765926316,78,N/A
1765926317,79,N/A
1765926318,78,N/A
1765926319,78,N/A
1765926320,79,N/A
1765926321,79,N/A
1765926322,78,N/A
1765926324,78,N/A
1765926325,79,N/A
1765926326,78,N/A
1765926327,78,N/A
1765926328,79,N/A
1765926329,78,N/A
1765926330,79,N/A
1765926331,78,N/A
1765926332,79,N/A
1765926333,79,N/A
1765926334,78,N/A
1765926335,78,N/A
1765926336,79,N/A
1765926337,78,N/A
1765926338,78,N/A
1765926339,79,N/A
1765926340,78,N/A
1765926341,79,N/A
1765926342,79,N/A
1765926343,78,N/A
1765926344,78,N/A
1765926345,78,N/A
1765926346,78,N/A
1765926347,78,N/A
1765926348,78,N/A
1765926349,78,N/A
1765926350,79,N/A
1765926351,78,N/A
1765926352,78,N/A
1765926353,79,N/A
1765926354,79,N/A
1765926355,79,N/A
1765926356,78,N/A
1765926358,79,N/A
1765926359,78,N/A
1765926360,79,N/A
1765926361,79,N/A
1765926362,79,N/A
1765926363,78,N/A
1765926364,79,N/A
1765926365,78,N/A
1765926366,79,N/A
1765926367,79,N/A
1765926368,79,N/A
1765926369,79,N/A
1765926370,79,N/A
1765926371,78,N/A
1765926372,79,N/A
1765926373,78,N/A
1765926374,78,N/A
1765926375,78,N/A
1765926376,79,N/A
1765926377,78,N/A
1765926378,78,N/A
1765926379,78,N/A
1765926380,79,N/A
1765926381,79,N/A
1765926382,79,N/A
1765926383,78,N/A
1765926384,79,N/A
1765926385,79,N/A
1765926386,78,N/A
1765926387,79,N/A
1765926388,79,N/A
1765926389,78,N/A
1765926390,79,N/A
1765926391,79,N/A
1765926393,78,N/A
1765926394,79,N/A
1765926395,79,N/A
1765926396,78,N/A
1765926397,79,N/A
1765926398,78,N/A
1765926399,78,N/A
1765926400,78,N/A
1765926401,78,N/A
1765926402,79,N/A
1765926403,79,N/A
1765926404,78,N/A
1765926405,79,N/A
1765926406,78,N/A
1765926407,79,N/A
1765926408,78,N/A
1765926409,79,N/A
1765926410,79,N/A
1765926411,79,N/A
1765926412,79,N/A
1765926413,79,N/A
1765926414,79,N/A
