timestamp,gpu_util_percent,memory_util_percent
1765946766,0,0
1765946767,0,0
1765946768,0,0
1765946769,0,0
1765946770,0,0
1765946771,0,0
1765946772,0,0
1765946773,0,0
1765946774,0,0
1765946775,0,0
1765946776,0,0
1765946777,0,0
1765946778,0,0
1765946779,0,0
1765946780,0,0
1765946781,0,0
1765946782,0,0
1765946783,0,0
1765946784,0,0
1765946785,0,0
1765946786,0,0
1765946788,0,0
1765946789,0,0
1765946790,0,0
1765946791,0,0
1765946792,0,0
1765946793,0,0
1765946794,0,0
1765946795,0,0
1765946796,0,0
1765946797,0,0
1765946798,0,0
1765946799,0,0
1765946800,0,0
1765946801,0,0
1765946802,0,0
1765946803,0,0
1765946804,0,0
1765946805,0,0
1765946806,0,0
1765946807,0,0
1765946808,0,0
1765946809,0,0
1765946810,0,0
1765946811,0,0
1765946812,0,0
1765946813,0,0
1765946814,7,0
1765946815,7,0
1765946816,7,0
1765946817,7,0
1765946818,33,21
1765946819,84,71
1765946820,87,72
1765946821,89,74
1765946823,92,75
1765946824,89,74
1765946825,85,70
1765946826,75,63
1765946827,82,69
1765946828,84,69
1765946829,87,73
1765946830,92,75
1765946831,89,74
1765946832,84,71
1765946833,89,73
1765946834,77,65
1765946835,92,75
1765946836,88,74
1765946837,86,72
1765946838,92,75
1765946839,89,74
1765946840,84,71
1765946841,87,72
1765946842,92,75
1765946843,78,65
1765946844,92,75
1765946845,88,73
1765946846,87,73
1765946847,92,75
1765946848,84,70
1765946849,89,74
1765946850,84,70
1765946851,92,75
1765946852,84,71
1765946853,86,72
1765946854,91,74
1765946855,84,71
1765946856,75,64
1765946858,86,70
1765946859,88,74
1765946860,88,74
1765946861,84,69
1765946862,87,72
1765946863,90,73
1765946864,91,74
1765946865,89,73
1765946866,84,70
1765946867,90,73
1765946868,89,73
1765946869,84,70
1765946870,88,71
1765946871,84,70
1765946872,92,75
1765946873,87,72
1765946874,85,71
1765946875,92,75
1765946876,88,73
1765946877,92,75
1765946878,84,70
1765946879,87,72
1765946880,92,75
1765946881,89,74
1765946882,88,74
1765946883,92,75
1765946884,84,71
1765946885,87,73
1765946886,92,75
1765946887,85,71
1765946888,87,73
1765946889,84,70
1765946890,87,72
1765946892,92,75
1765946893,84,71
1765946894,87,72
1765946895,92,75
1765946896,84,71
1765946897,89,73
1765946898,84,70
1765946899,89,72
1765946900,89,72
1765946901,84,70
1765946902,86,70
1765946903,84,71
1765946904,86,72
1765946905,87,72
1765946906,84,69
1765946907,86,72
1765946908,75,63
1765946909,92,75
1765946910,86,72
1765946911,90,73
1765946912,84,70
1765946913,92,75
1765946914,89,73
1765946915,84,70
1765946916,85,69
1765946917,83,70
1765946918,86,70
1765946919,86,70
1765946920,84,70
1765946921,92,75
1765946922,84,71
1765946923,84,69
1765946924,92,75
1765946925,84,70
1765946927,89,74
1765946928,90,73
1765946929,92,74
1765946930,87,72
1765946931,80,67
1765946932,87,72
1765946933,77,65
1765946934,83,69
1765946935,89,73
1765946936,73,62
1765946937,85,69
1765946938,89,73
1765946939,80,67
1765946940,92,73
1765946941,83,69
1765946942,87,71
1765946943,89,73
1765946944,84,70
1765946945,84,70
1765946946,84,68
1765946947,78,64
1765946948,73,61
1765946949,91,74
1765946950,80,65
1765946951,84,69
1765946952,78,65
1765946953,86,70
1765946954,85,71
1765946955,81,66
1765946956,89,72
1765946957,82,67
1765946958,87,71
1765946960,89,72
1765946961,84,70
1765946962,90,74
1765946963,89,73
1765946964,84,68
1765946965,87,73
1765946966,92,73
1765946967,84,70
1765946968,87,71
1765946969,90,73
1765946970,84,69
1765946971,84,70
1765946972,89,73
1765946973,94,76
1765946974,86,72
1765946975,92,75
1765946976,84,70
1765946977,89,72
1765946978,87,71
1765946979,92,75
1765946980,84,70
1765946981,90,72
1765946982,82,68
1765946983,70,59
1765946984,92,75
1765946985,84,70
1765946986,87,71
1765946987,91,74
1765946988,84,69
1765946989,90,73
1765946990,88,73
1765946991,89,71
1765946992,89,73
1765946994,77,65
1765946995,94,76
1765946996,91,73
1765946997,71,60
1765946998,73,61
1765946999,86,69
1765947000,87,71
1765947001,89,72
1765947002,87,72
1765947003,92,74
1765947004,92,74
1765947005,86,71
1765947006,87,71
1765947007,89,72
1765947008,84,70
1765947009,92,75
1765947010,88,71
1765947011,84,68
1765947012,85,68
1765947013,91,71
1765947014,84,69
1765947015,92,72
1765947016,85,69
1765947017,88,71
1765947018,94,73
1765947019,84,68
1765947020,92,72
1765947021,84,68
1765947022,92,72
1765947023,87,71
1765947024,87,69
1765947025,88,72
1765947026,90,71
1765947028,84,68
1765947029,92,72
1765947030,84,68
1765947031,92,72
1765947032,89,72
1765947033,86,67
1765947034,87,68
1765947035,74,61
1765947036,80,63
1765947037,84,68
1765947038,74,60
1765947039,85,67
1765947040,87,69
1765947041,92,72
1765947042,87,70
1765947043,84,68
1765947044,92,72
1765947045,84,68
1765947046,87,70
1765947047,79,64
1765947048,72,59
1765947049,89,71
1765947050,88,69
1765947051,86,70
1765947052,84,68
1765947053,92,72
1765947054,84,68
1765947055,86,68
1765947056,86,68
1765947057,85,67
1765947058,86,68
1765947059,87,71
1765947060,89,71
1765947061,87,69
1765947063,89,72
1765947064,90,72
1765947065,94,74
1765947066,87,71
1765947067,94,74
1765947068,87,71
1765947069,94,73
1765947070,92,74
1765947071,87,70
1765947072,89,72
1765947073,88,70
1765947074,92,72
1765947075,84,69
1765947076,92,72
1765947077,84,68
1765947078,92,72
1765947079,85,69
1765947080,89,70
1765947081,89,71
1765947082,90,71
1765947083,84,69
1765947084,92,72
1765947085,84,68
1765947086,92,72
1765947087,89,70
1765947088,89,70
1765947089,77,63
1765947090,92,73
1765947091,94,73
1765947092,89,72
1765947093,87,70
1765947094,87,69
1765947095,87,70
1765947096,92,72
1765947097,87,71
1765947099,89,71
1765947100,87,69
1765947101,78,64
1765947102,82,65
1765947103,76,62
1765947104,73,60
1765947105,80,65
1765947106,81,66
1765947107,88,72
1765947108,86,70
1765947109,86,68
1765947110,92,72
1765947111,85,69
1765947112,79,64
1765947113,89,71
1765947114,92,72
1765947115,95,74
1765947116,79,65
1765947117,72,59
1765947118,89,71
1765947119,87,69
1765947120,79,62
1765947121,83,68
1765947122,92,72
1765947123,79,64
1765947124,80,64
1765947125,78,64
1765947126,76,63
1765947127,90,71
1765947128,92,72
1765947129,99,74
1765947130,100,74
1765947131,100,74
1765947132,100,74
1765947134,100,73
1765947135,99,72
1765947136,99,72
1765947137,100,74
1765947138,99,73
1765947139,99,72
1765947140,4,0
1765947141,0,0
1765947142,0,0
1765947143,8,0
1765947144,1,0
1765947145,0,0
1765947146,0,0
1765947147,0,0
1765947148,0,0
1765947149,88,74
1765947150,83,70
1765947151,92,75
1765947152,86,71
1765947153,86,72
1765947154,91,74
1765947155,84,69
1765947156,85,69
1765947157,75,63
1765947158,78,63
1765947159,87,71
1765947160,88,73
1765947161,89,74
1765947162,92,75
1765947163,87,73
1765947164,90,73
1765947165,86,71
1765947166,78,66
1765947167,82,68
1765947169,85,69
1765947170,88,72
1765947171,83,69
1765947172,91,74
1765947173,86,71
1765947174,86,72
1765947175,92,75
1765947176,70,57
1765947177,81,67
1765947178,83,68
1765947179,72,60
1765947180,84,71
1765947181,77,65
1765947182,89,73
1765947183,84,70
1765947184,89,75
