timestamp,gpu_util_percent,memory_util_percent
1765981656,0,0
1765981658,0,0
1765981660,2,0
1765981661,0,0
1765981662,0,0
1765981663,0,0
1765981664,0,0
1765981665,0,0
1765981666,0,0
1765981667,0,0
1765981668,0,0
1765981669,0,0
1765981670,0,0
1765981671,0,0
1765981672,0,0
1765981673,0,0
1765981674,0,0
1765981675,0,0
1765981676,0,0
1765981677,0,0
1765981678,0,0
1765981679,0,0
1765981680,0,0
1765981681,0,0
1765981682,0,0
1765981683,0,0
1765981684,0,0
1765981685,0,0
1765981686,0,0
1765981687,0,0
1765981688,0,0
1765981689,0,0
1765981690,0,0
1765981691,0,0
1765981692,0,0
1765981693,0,0
1765981694,0,0
1765981695,0,0
1765981697,0,0
1765981698,7,0
1765981699,7,0
1765981700,8,0
1765981701,8,0
1765981702,89,69
1765981703,90,75
1765981704,93,76
1765981705,91,77
1765981706,90,75
1765981707,90,75
1765981708,91,76
1765981709,94,76
1765981710,95,78
1765981711,93,78
1765981712,94,77
1765981713,94,77
1765981714,91,76
1765981715,90,75
1765981716,90,75
1765981717,90,75
1765981718,92,77
1765981719,90,75
1765981720,90,75
1765981721,91,76
1765981722,93,77
1765981723,94,77
1765981724,95,77
1765981725,93,76
1765981726,93,76
1765981727,95,77
1765981728,95,77
1765981729,91,76
1765981730,90,75
1765981731,89,74
1765981732,89,75
1765981733,89,75
1765981735,91,75
1765981736,91,76
1765981737,90,75
1765981738,90,75
1765981739,89,75
1765981740,90,75
1765981741,91,75
1765981742,89,74
1765981743,89,75
1765981744,90,75
1765981745,90,74
1765981746,92,76
1765981747,93,77
1765981748,93,75
1765981749,95,77
1765981750,89,74
1765981751,90,75
1765981752,93,77
1765981753,93,76
1765981754,93,75
1765981755,95,77
1765981756,95,77
1765981757,90,74
1765981758,92,76
1765981759,93,76
1765981760,93,75
1765981761,95,77
1765981762,95,77
1765981763,95,77
1765981764,91,74
1765981765,93,76
1765981766,93,76
1765981767,95,77
1765981768,95,77
1765981769,93,75
1765981770,91,74
1765981771,91,76
1765981772,95,77
1765981774,95,77
1765981775,94,77
1765981776,92,75
1765981777,91,75
1765981778,91,76
1765981779,89,74
1765981780,90,74
1765981781,94,76
1765981782,91,74
1765981783,91,75
1765981784,90,75
1765981785,89,74
1765981786,89,74
1765981787,89,75
1765981788,91,74
1765981789,91,76
1765981790,90,74
1765981791,89,75
1765981792,90,75
1765981793,90,74
1765981794,89,74
1765981795,89,73
1765981796,91,75
1765981797,91,76
1765981798,90,75
1765981799,89,74
1765981800,90,74
1765981801,89,75
1765981802,89,74
1765981803,91,75
1765981804,90,75
1765981805,89,74
1765981806,89,74
1765981807,90,74
1765981808,89,74
1765981809,89,74
1765981810,89,74
1765981812,93,76
1765981813,92,74
1765981814,91,74
1765981815,91,74
1765981816,91,74
1765981817,90,74
1765981818,91,76
1765981819,93,74
1765981820,94,76
1765981821,95,77
1765981822,95,77
1765981823,95,76
1765981824,94,76
1765981825,93,75
1765981826,91,74
1765981827,93,76
1765981828,93,75
1765981829,93,76
1765981830,93,75
1765981831,93,75
1765981832,93,75
1765981833,93,76
1765981834,89,74
1765981835,89,74
1765981836,90,74
1765981837,90,73
1765981838,90,75
1765981839,89,74
1765981840,90,74
1765981841,90,74
1765981842,91,73
1765981843,89,74
1765981844,90,74
1765981845,89,74
