timestamp,power_draw_w
1766449382,92.38
1766449383,87.56
1766449384,92.50
1766449385,95.39
1766449386,95.48
1766449387,93.12
1766449388,91.62
1766449389,95.32
1766449390,95.47
1766449391,95.69
1766449392,95.77
1766449393,95.95
1766449394,95.87
1766449395,96.05
1766449396,94.39
1766449398,88.72
1766449399,92.14
1766449400,95.86
1766449401,95.77
1766449402,95.88
1766449403,96.01
1766449404,96.21
1766449405,96.44
1766449406,96.07
1766449407,95.95
1766449408,96.06
1766449409,94.23
1766449410,91.41
1766449411,91.31
1766449412,89.73
1766449413,87.10
1766449414,87.70
1766449415,90.17
1766449417,92.60
1766449418,91.52
1766449419,91.38
1766449420,91.40
1766449421,91.30
1766449422,91.38
1766449423,91.14
1766449424,91.10
1766449425,91.22
1766449427,91.32
1766449428,91.17
1766449429,91.47
1766449430,91.84
1766449431,92.16
1766449432,91.99
1766449433,91.25
1766449434,91.30
1766449435,91.43
1766449437,91.30
1766449438,88.19
1766449439,87.51
1766449440,90.01
1766449441,90.97
1766449442,90.54
1766449443,90.65
1766449444,90.65
1766449445,90.84
1766449447,89.70
1766449448,89.38
1766449449,88.98
1766449450,89.25
1766449451,88.98
1766449452,89.07
1766449453,88.92
1766449455,90.76
1766449456,89.46
1766449457,90.19
1766449458,89.38
1766449459,89.66
1766449460,89.55
1766449462,89.95
1766449463,90.11
1766449464,88.90
1766449465,89.17
1766449466,88.85
1766449467,89.46
1766449469,89.74
1766449470,89.09
1766449471,88.77
1766449472,87.88
1766449473,86.73
1766449474,86.70
1766449476,86.23
1766449477,86.25
1766449478,86.68
1766449479,88.93
1766449480,88.78
1766449481,88.84
1766449482,90.89
1766449484,90.48
1766449485,90.61
1766449486,90.52
1766449487,89.53
1766449488,90.38
1766449489,89.74
1766449491,91.23
1766449492,91.27
1766449493,90.71
1766449494,89.65
1766449495,89.33
1766449496,89.42
1766449498,89.21
1766449499,89.29
1766449500,90.68
1766449501,90.79
1766449502,90.27
1766449503,90.55
1766449504,89.73
1766449506,89.92
1766449507,89.57
1766449508,91.17
1766449509,87.44
1766449510,86.75
1766449512,86.81
1766449513,86.76
1766449514,86.33
1766449515,87.27
1766449516,88.06
1766449518,87.94
1766449519,88.21
1766449520,88.37
1766449522,88.48
1766449523,89.47
1766449524,88.82
1766449525,88.31
1766449527,88.68
1766449528,88.89
1766449529,88.58
1766449530,88.38
1766449532,88.05
1766449533,88.16
1766449534,87.98
1766449536,88.10
1766449537,88.13
1766449538,88.18
1766449539,88.44
1766449541,87.95
1766449542,87.97
1766449543,88.56
1766449544,88.49
1766449546,88.57
1766449547,88.08
1766449548,87.99
1766449549,88.08
1766449551,88.16
1766449552,88.02
1766449553,88.01
1766449555,88.58
1766449556,88.88
1766449557,88.46
1766449558,87.91
1766449560,88.40
1766449561,88.74
1766449562,89.16
1766449564,89.26
1766449565,88.80
1766449566,86.39
1766449567,86.23
1766449569,86.31
1766449570,86.72
1766449571,86.34
1766449572,86.35
1766449574,86.83
1766449575,88.13
1766449576,88.50
1766449577,88.25
1766449579,88.35
1766449580,88.00
1766449581,88.07
1766449582,88.14
