timestamp,power_draw_w
1767263847,82.28
1767263849,84.34
1767263851,81.63
1767263852,81.24
1767263854,81.21
1767263855,89.59
1767263856,92.01
1767263857,223.88
1767263859,285.44
1767263860,286.14
1767263861,284.76
1767263862,285.60
1767263863,285.90
1767263864,284.98
1767263865,288.40
1767263866,286.26
1767263867,288.62
1767263868,290.96
1767263869,288.71
1767263870,289.24
1767263871,292.24
1767263872,290.38
1767263873,293.72
1767263874,289.85
1767263875,291.98
1767263876,294.24
1767263877,287.56
1767263878,289.85
1767263879,288.07
1767263880,291.74
1767263881,284.74
1767263882,288.37
1767263883,285.35
1767263884,290.16
1767263885,282.88
1767263886,277.53
1767263887,279.33
1767263888,277.80
1767263889,292.63
1767263890,285.14
1767263891,280.58
1767263893,279.07
1767263894,281.11
1767263895,295.63
1767263896,279.93
1767263897,279.49
1767263898,271.25
1767263899,281.57
1767263900,290.11
1767263901,268.42
1767263902,278.67
1767263903,269.88
1767263904,283.67
1767263905,290.99
1767263906,262.99
1767263907,270.80
1767263908,271.46
1767263909,273.37
1767263910,286.48
1767263911,287.19
1767263912,267.91
1767263913,272.48
1767263914,263.69
1767263915,273.23
1767263916,281.27
1767263917,263.66
1767263918,264.56
1767263919,265.93
1767263920,264.70
1767263921,279.39
1767263922,286.72
1767263923,264.40
1767263924,258.98
1767263925,263.91
1767263926,258.64
1767263927,266.09
1767263928,275.23
1767263929,261.37
1767263930,257.81
1767263931,258.81
1767263933,261.27
1767263934,262.49
1767263935,277.52
1767263936,271.72
1767263937,247.31
1767263938,246.70
1767263939,246.11
1767263940,231.16
1767263941,221.99
1767263942,211.10
1767263943,210.97
1767263944,211.66
1767263945,210.99
1767263946,211.09
1767263947,212.23
1767263948,210.91
1767263949,212.01
1767263950,212.20
1767263951,210.51
1767263952,211.54
1767263953,211.28
1767263954,210.14
1767263955,211.43
1767263956,211.17
1767263957,210.42
1767263958,211.17
1767263959,211.12
1767263960,211.37
1767263961,211.16
1767263962,211.43
1767263963,211.16
1767263964,211.36
1767263965,210.95
1767263966,212.41
1767263967,210.82
1767263968,211.97
1767263970,212.52
1767263971,210.69
1767263972,211.92
1767263973,211.29
1767263974,209.99
1767263975,210.83
1767263976,210.89
1767263977,209.70
1767263978,210.86
1767263979,210.60
1767263980,210.13
1767263981,210.90
1767263982,210.84
1767263983,210.62
1767263984,210.52
1767263985,210.53
1767263986,211.02
1767263987,210.96
1767263988,211.07
1767263989,211.69
1767263990,211.40
1767263991,210.47
1767263992,211.59
1767263993,211.03
1767263994,211.21
1767263995,212.31
1767263996,211.24
1767263997,211.11
1767263998,212.57
1767263999,211.29
1767264000,210.20
1767264001,212.81
1767264002,211.24
1767264003,209.72
1767264004,211.04
1767264005,211.00
1767264006,210.18
1767264008,210.90
1767264009,211.03
1767264010,210.05
1767264011,211.24
1767264012,211.00
1767264013,210.58
1767264014,211.35
1767264015,210.89
1767264016,210.54
1767264017,212.09
1767264018,210.70
1767264019,210.94
1767264020,211.47
1767264021,209.90
1767264022,211.03
1767264023,212.49
1767264024,210.50
1767264025,210.99
1767264026,212.10
1767264027,210.32
1767264028,209.95
1767264029,211.87
1767264030,210.44
1767264031,209.86
1767264032,211.09
1767264033,210.38
1767264034,209.66
1767264035,213.57
1767264036,215.68
1767264037,214.91
1767264038,215.74
1767264039,215.34
1767264040,215.89
1767264041,214.85
1767264042,219.43
1767264043,220.63
1767264044,220.73
1767264045,220.53
1767264046,220.21
1767264048,220.69
1767264049,220.90
1767264050,220.18
1767264051,219.82
1767264052,220.95
1767264053,220.24
1767264054,220.24
1767264055,219.66
1767264056,219.94
1767264057,221.06
1767264058,220.92
1767264059,220.35
1767264060,219.23
1767264061,221.81
1767264062,220.66
1767264063,219.89
1767264064,219.72
1767264065,221.12
1767264066,221.91
1767264067,220.77
1767264068,222.35
1767264069,225.91
1767264070,227.19
1767264071,227.20
1767264072,226.30
1767264073,225.32
1767264074,225.21
1767264075,225.97
1767264076,227.25
1767264077,225.98
1767264078,226.29
1767264079,227.00
1767264080,229.66
1767264081,230.12
1767264082,229.11
1767264083,229.57
1767264084,231.54
1767264085,231.29
1767264086,230.83
1767264087,230.54
1767264089,231.12
1767264090,229.41
1767264091,230.45
1767264092,231.35
1767264093,229.08
1767264094,230.89
1767264095,230.06
1767264096,230.94
1767264097,229.94
1767264098,230.31
1767264099,230.19
1767264100,229.54
1767264101,232.51
1767264102,231.99
1767264103,231.67
1767264104,230.99
1767264105,229.25
1767264106,230.71
1767264107,229.92
1767264108,228.67
1767264109,229.77
1767264110,229.13
1767264111,229.98
1767264112,231.02
1767264113,230.02
1767264114,230.89
1767264115,229.91
1767264116,230.67
1767264117,231.86
1767264118,231.31
1767264119,232.19
1767264120,230.16
1767264121,230.00
1767264122,230.37
1767264123,229.35
1767264124,230.11
1767264125,229.14
1767264126,229.70
1767264128,230.57
1767264129,230.01
1767264130,230.00
1767264131,230.86
1767264132,230.02
1767264133,230.45
1767264134,232.33
1767264135,232.20
1767264136,230.02
1767264137,230.94
1767264138,229.85
1767264139,230.21
1767264140,230.00
1767264141,229.14
1767264142,229.31
1767264143,230.61
1767264144,230.74
1767264145,231.10
1767264146,230.75
1767264147,229.92
1767264148,231.04
1767264149,230.95
1767264150,232.01
1767264151,231.03
1767264152,230.34
1767264153,229.94
1767264154,231.48
1767264155,229.94
1767264156,230.68
1767264157,229.55
1767264158,231.67
1767264159,232.15
1767264160,230.46
1767264161,230.54
1767264162,230.76
1767264163,230.20
1767264164,230.31
1767264165,231.90
1767264166,229.53
1767264168,230.54
1767264169,231.12
1767264170,229.88
1767264171,230.58
1767264172,230.47
1767264173,229.88
1767264174,229.80
1767264175,231.50
1767264176,231.32
1767264177,231.76
1767264178,230.74
1767264179,230.29
1767264180,230.89
1767264181,230.79
1767264182,231.45
1767264183,230.66
1767264184,229.94
1767264185,230.43
1767264186,230.98
1767264187,229.92
1767264188,230.12
1767264189,229.24
1767264190,231.69
1767264191,232.79
1767264192,230.83
1767264193,230.35
1767264194,230.86
1767264195,230.66
1767264196,230.40
1767264197,232.17
1767264198,229.97
1767264199,229.53
1767264200,231.41
1767264201,230.07
1767264202,230.17
1767264203,230.76
1767264204,228.94
1767264205,229.61
1767264206,231.95
1767264208,230.17
1767264209,230.71
1767264210,230.31
1767264211,229.90
1767264212,223.57
1767264213,246.78
1767264214,246.63
1767264215,174.54
1767264216,261.63
1767264217,314.72
1767264218,311.41
1767264219,293.05
1767264220,293.47
1767264221,292.73
1767264222,291.59
1767264223,290.55
1767264224,287.11
1767264225,292.34
1767264226,283.26
1767264227,286.86
1767264228,287.95
1767264229,288.65
1767264230,288.11
1767264231,272.45
1767264232,278.67
1767264233,281.64
1767264234,288.09
1767264235,281.58
1767264236,279.80
1767264237,275.68
1767264238,275.24
1767264239,284.01
1767264240,281.11
1767264241,274.35
1767264242,275.91
1767264243,268.77
1767264244,271.80
1767264245,291.36
1767264246,273.63
1767264248,264.17
1767264249,273.44
1767264250,262.80
1767264251,282.03
1767264252,292.35
1767264253,265.57
1767264254,266.55
1767264255,268.67
1767264256,257.54
1767264257,268.25
1767264258,272.51
1767264259,256.44
1767264260,231.05
1767264261,229.50
1767264262,229.74
1767264263,229.88
1767264264,230.47
1767264265,230.70
1767264266,229.77
1767264267,229.56
1767264268,229.38
1767264269,228.53
1767264270,228.46
1767264271,229.47
1767264272,230.22
1767264273,230.09
1767264274,228.22
1767264275,228.29
1767264276,229.42
1767264277,229.84
1767264278,230.07
1767264279,230.19
1767264280,228.83
1767264281,230.27
1767264282,230.21
1767264283,229.71
1767264284,229.29
1767264286,229.47
1767264287,230.45
1767264288,228.48
1767264289,229.83
1767264290,230.15
1767264291,230.12
1767264292,229.44
1767264293,228.81
1767264294,229.29
1767264295,230.57
1767264296,230.06
1767264297,230.54
1767264298,229.20
1767264299,228.34
1767264300,231.05
1767264301,231.62
1767264302,229.06
1767264303,229.79
1767264304,229.18
1767264305,229.01
1767264306,229.75
1767264307,228.94
1767264308,229.45
1767264309,229.44
1767264310,228.90
1767264311,228.25
1767264312,229.35
1767264313,229.49
1767264314,229.43
1767264315,229.25
1767264316,228.67
1767264317,227.46
1767264318,229.19
1767264319,229.95
1767264320,229.68
1767264321,228.42
1767264322,228.97
1767264323,230.15
1767264324,231.07
1767264326,229.80
1767264327,230.06
1767264328,229.11
1767264329,229.99
1767264330,230.12
1767264331,230.72
1767264332,229.57
1767264333,228.62
1767264334,229.07
1767264335,228.47
1767264336,228.14
1767264337,229.22
1767264338,229.53
1767264339,229.35
1767264340,229.04
1767264341,229.33
1767264342,227.93
1767264343,230.93
1767264344,230.21
1767264345,229.31
1767264346,228.91
1767264347,229.78
1767264348,229.88
1767264349,231.39
1767264350,230.13
1767264351,228.42
1767264352,229.16
1767264353,228.84
1767264354,228.25
1767264355,229.26
1767264356,229.16
1767264357,229.45
1767264358,229.29
1767264359,227.98
1767264360,228.24
1767264361,230.98
1767264362,229.09
1767264363,228.94
1767264365,229.04
1767264366,229.08
1767264367,230.23
1767264368,230.99
1767264369,229.53
1767264370,228.60
1767264371,228.84
1767264372,229.38
1767264373,230.16
1767264374,229.11
1767264375,229.54
1767264376,229.48
1767264377,228.63
1767264378,228.07
1767264379,227.71
1767264380,229.88
1767264381,229.19
1767264382,228.92
1767264383,228.79
1767264384,228.20
1767264385,230.26
1767264386,231.04
1767264387,229.76
1767264388,229.20
1767264389,228.73
1767264390,229.36
1767264391,230.13
1767264392,230.75
1767264393,229.11
1767264394,229.22
1767264395,228.99
1767264396,229.38
1767264397,228.26
1767264398,229.24
1767264399,229.23
1767264400,229.54
1767264401,229.26
1767264402,228.51
1767264403,228.34
1767264405,228.71
1767264406,230.23
1767264407,229.76
1767264408,229.80
1767264409,228.36
1767264410,229.79
1767264411,229.71
1767264412,230.60
1767264413,229.03
1767264414,229.36
1767264415,228.59
1767264416,230.35
1767264417,228.34
1767264418,230.49
1767264419,229.37
1767264420,228.85
1767264421,229.19
1767264422,228.51
1767264423,228.88
1767264424,229.13
1767264425,229.93
1767264426,229.09
1767264427,228.64
1767264428,228.76
1767264429,230.24
1767264430,230.47
1767264431,230.00
1767264432,229.05
1767264433,229.24
1767264434,229.36
1767264435,229.67
1767264436,230.58
1767264437,229.45
1767264438,229.76
1767264439,229.10
1767264440,228.28
1767264441,228.07
1767264442,227.98
1767264443,229.71
1767264445,229.57
1767264446,229.23
1767264447,228.47
1767264448,228.99
1767264449,230.66
1767264450,230.85
1767264451,229.29
1767264452,228.94
1767264453,228.21
1767264454,229.33
1767264455,230.45
1767264456,230.76
1767264457,228.99
1767264458,229.07
1767264459,229.03
1767264460,229.47
1767264461,228.39
1767264462,228.50
1767264463,229.36
1767264464,229.09
1767264465,229.43
1767264466,229.05
1767264467,227.93
1767264468,230.05
1767264469,230.81
1767264470,229.12
1767264471,229.26
1767264472,228.80
1767264473,228.77
1767264474,230.03
1767264475,230.96
1767264476,228.96
1767264477,228.91
1767264478,229.00
1767264479,229.44
1767264480,228.58
1767264481,229.55
1767264482,228.96
1767264483,228.91
1767264485,229.66
1767264486,228.96
1767264487,227.91
1767264488,228.53
1767264489,230.69
1767264490,230.04
1767264491,229.98
1767264492,229.77
1767264493,229.96
1767264494,230.07
1767264495,229.95
1767264496,229.94
1767264497,229.93
1767264498,229.59
1767264499,227.67
1767264500,229.11
1767264501,229.74
1767264502,229.03
1767264503,229.05
1767264504,228.71
1767264505,228.16
1767264506,229.31
1767264507,230.27
1767264508,229.03
1767264509,229.13
1767264510,230.42
1767264511,230.35
1767264512,230.98
1767264513,229.47
1767264514,229.49
1767264515,229.23
1767264516,228.76
1767264517,228.31
1767264518,228.32
1767264519,230.34
1767264520,229.68
1767264522,229.73
1767264523,228.71
1767264524,229.31
1767264525,230.77
1767264526,231.28
1767264527,229.39
1767264528,229.12
1767264529,229.08
1767264530,229.75
1767264531,229.76
1767264532,229.12
1767264533,229.29
1767264534,229.00
1767264535,229.65
1767264536,229.32
1767264537,228.46
1767264538,229.18
1767264539,229.06
1767264540,229.45
1767264541,229.61
1767264542,228.97
1767264543,228.15
1767264544,230.71
1767264545,231.40
1767264546,229.50
1767264547,229.48
