timestamp,gpu_temp_c,memory_temp_c
1767270543,66,N/A
1767270544,66,N/A
1767270545,66,N/A
1767270546,66,N/A
1767270547,67,N/A
1767270548,67,N/A
1767270549,67,N/A
1767270550,67,N/A
1767270551,67,N/A
1767270552,68,N/A
1767270553,73,N/A
1767270554,75,N/A
1767270555,75,N/A
1767270556,76,N/A
1767270557,77,N/A
1767270558,76,N/A
1767270559,77,N/A
1767270560,78,N/A
1767270561,78,N/A
1767270562,78,N/A
1767270563,79,N/A
1767270564,79,N/A
1767270565,79,N/A
1767270566,79,N/A
1767270567,80,N/A
1767270568,80,N/A
1767270569,80,N/A
1767270570,80,N/A
1767270572,80,N/A
1767270573,80,N/A
1767270574,81,N/A
1767270575,81,N/A
1767270576,81,N/A
1767270577,81,N/A
1767270578,82,N/A
1767270579,82,N/A
1767270580,82,N/A
1767270581,82,N/A
1767270582,82,N/A
1767270583,82,N/A
1767270584,82,N/A
1767270585,82,N/A
1767270586,82,N/A
1767270587,83,N/A
1767270588,83,N/A
1767270589,83,N/A
1767270590,81,N/A
1767270591,83,N/A
1767270592,82,N/A
1767270593,82,N/A
1767270594,82,N/A
1767270595,82,N/A
1767270596,82,N/A
1767270597,82,N/A
1767270598,82,N/A
1767270599,83,N/A
1767270600,82,N/A
1767270601,82,N/A
1767270602,82,N/A
1767270603,83,N/A
1767270604,83,N/A
1767270605,82,N/A
1767270606,82,N/A
1767270607,82,N/A
1767270608,82,N/A
1767270609,82,N/A
1767270611,83,N/A
1767270612,82,N/A
1767270613,82,N/A
1767270614,82,N/A
1767270615,83,N/A
1767270616,83,N/A
1767270617,83,N/A
1767270618,83,N/A
1767270619,83,N/A
1767270620,83,N/A
1767270621,82,N/A
1767270622,82,N/A
1767270623,83,N/A
1767270624,83,N/A
1767270625,83,N/A
1767270626,83,N/A
1767270627,82,N/A
1767270628,83,N/A
1767270629,82,N/A
1767270630,82,N/A
1767270631,83,N/A
1767270632,83,N/A
1767270633,83,N/A
1767270634,82,N/A
1767270635,83,N/A
1767270636,83,N/A
1767270637,82,N/A
1767270638,83,N/A
1767270639,83,N/A
1767270640,83,N/A
1767270641,83,N/A
1767270642,83,N/A
1767270643,83,N/A
1767270644,83,N/A
1767270645,83,N/A
1767270646,83,N/A
1767270647,83,N/A
1767270648,82,N/A
1767270649,82,N/A
1767270651,83,N/A
1767270652,83,N/A
1767270653,82,N/A
1767270654,82,N/A
1767270655,83,N/A
1767270656,83,N/A
1767270657,82,N/A
1767270658,83,N/A
1767270659,83,N/A
1767270660,83,N/A
1767270661,83,N/A
1767270662,83,N/A
1767270663,83,N/A
1767270664,83,N/A
1767270665,82,N/A
1767270666,83,N/A
1767270667,84,N/A
1767270668,84,N/A
1767270669,82,N/A
1767270670,83,N/A
1767270671,83,N/A
1767270672,83,N/A
1767270673,83,N/A
1767270674,83,N/A
1767270675,83,N/A
1767270676,83,N/A
1767270677,82,N/A
1767270678,83,N/A
1767270679,83,N/A
1767270680,83,N/A
1767270681,83,N/A
1767270682,83,N/A
1767270683,82,N/A
1767270684,83,N/A
1767270685,83,N/A
1767270686,83,N/A
1767270687,82,N/A
1767270688,83,N/A
1767270689,82,N/A
1767270691,83,N/A
1767270692,83,N/A
1767270693,83,N/A
1767270694,82,N/A
1767270695,83,N/A
1767270696,84,N/A
1767270697,82,N/A
1767270698,84,N/A
1767270699,83,N/A
1767270700,83,N/A
1767270701,83,N/A
1767270702,83,N/A
1767270703,83,N/A
1767270704,84,N/A
1767270705,83,N/A
1767270706,83,N/A
1767270707,83,N/A
1767270708,83,N/A
1767270709,84,N/A
1767270710,84,N/A
1767270711,83,N/A
1767270712,82,N/A
1767270713,82,N/A
1767270714,82,N/A
1767270715,82,N/A
1767270716,81,N/A
1767270717,81,N/A
1767270718,81,N/A
1767270719,81,N/A
1767270720,81,N/A
1767270721,81,N/A
1767270722,81,N/A
1767270723,81,N/A
1767270724,81,N/A
1767270725,81,N/A
1767270726,81,N/A
1767270727,81,N/A
1767270728,80,N/A
1767270730,80,N/A
1767270731,80,N/A
1767270732,80,N/A
1767270733,80,N/A
1767270734,80,N/A
1767270735,80,N/A
1767270736,80,N/A
1767270737,80,N/A
1767270738,80,N/A
1767270739,80,N/A
1767270740,80,N/A
1767270741,80,N/A
1767270742,80,N/A
1767270743,80,N/A
1767270744,80,N/A
1767270745,80,N/A
1767270746,80,N/A
1767270747,80,N/A
1767270748,80,N/A
1767270749,80,N/A
1767270750,80,N/A
1767270751,80,N/A
1767270752,79,N/A
1767270753,79,N/A
