timestamp,power_draw_w
1767271894,89.68
1767271895,91.47
1767271896,96.42
1767271897,96.52
1767271898,96.49
1767271899,96.57
1767271901,96.50
1767271902,96.47
1767271903,97.07
1767271904,98.21
1767271905,160.47
1767271906,270.14
1767271907,273.99
1767271908,282.34
1767271909,280.35
1767271910,274.84
1767271911,277.22
1767271912,279.35
1767271913,275.47
1767271914,280.66
1767271915,282.04
1767271916,277.80
1767271917,276.41
1767271918,285.93
1767271919,278.12
1767271920,281.21
1767271921,283.27
1767271922,284.51
1767271923,291.63
1767271924,291.38
1767271925,282.74
1767271926,279.93
1767271927,283.28
1767271928,281.79
1767271929,282.20
1767271930,281.31
1767271931,282.52
1767271932,282.64
1767271933,285.27
1767271934,293.69
1767271935,294.26
1767271936,276.40
1767271937,290.76
1767271938,290.68
1767271940,288.31
1767271941,291.08
1767271942,291.74
1767271943,291.92
1767271944,294.50
1767271945,284.47
1767271946,293.81
1767271947,289.13
1767271948,283.58
1767271949,287.12
1767271950,283.13
1767271951,283.73
1767271952,285.01
1767271953,289.41
1767271954,286.81
1767271955,283.74
1767271956,284.20
1767271957,289.55
1767271958,288.46
1767271959,285.43
1767271960,278.60
1767271961,285.71
1767271962,292.50
1767271963,292.37
1767271964,285.98
1767271965,288.77
1767271966,284.60
1767271967,290.15
1767271968,281.69
1767271969,282.17
1767271970,275.65
1767271971,278.35
1767271972,282.92
1767271973,281.98
1767271974,283.83
1767271975,283.37
1767271976,281.35
1767271977,280.25
1767271978,282.96
1767271980,282.87
1767271981,281.60
1767271982,277.30
1767271983,283.37
1767271984,280.20
1767271985,286.71
1767271986,283.38
1767271987,284.53
1767271988,278.39
1767271989,279.59
1767271990,278.75
1767271991,286.90
1767271992,282.32
1767271993,281.02
1767271994,275.17
1767271995,284.98
1767271996,274.50
1767271997,276.52
1767271998,281.92
1767271999,280.44
1767272000,284.64
1767272001,273.29
1767272002,279.09
1767272003,275.80
1767272004,279.33
1767272005,273.37
1767272006,279.10
1767272007,278.03
1767272008,276.92
1767272009,274.89
1767272010,271.44
1767272011,275.76
1767272012,272.66
1767272013,281.53
1767272014,274.37
1767272015,280.23
1767272016,271.77
1767272017,276.03
1767272018,276.16
1767272020,275.84
1767272021,276.27
1767272022,276.39
1767272023,278.87
1767272024,275.72
1767272025,276.11
1767272026,273.20
1767272027,275.06
1767272028,270.96
1767272029,274.84
1767272030,276.91
1767272031,280.86
1767272032,264.27
1767272033,280.40
1767272034,275.47
1767272035,271.00
1767272036,273.84
1767272037,278.08
1767272038,278.00
1767272039,269.08
1767272040,272.09
1767272041,273.28
1767272042,271.69
1767272043,270.69
1767272044,267.31
1767272045,270.41
1767272046,278.07
1767272047,272.32
1767272048,276.98
1767272049,269.14
1767272050,271.83
1767272051,271.06
1767272052,268.86
1767272053,271.15
1767272054,278.08
1767272055,274.27
1767272056,274.41
1767272057,275.33
1767272058,266.55
1767272060,270.90
1767272061,283.45
1767272062,274.21
1767272063,278.93
1767272064,261.05
1767272065,272.34
1767272066,272.87
1767272067,290.05
1767272068,275.54
1767272069,255.77
1767272070,276.05
1767272071,266.28
1767272072,273.82
1767272073,263.85
1767272074,271.43
1767272075,271.48
1767272076,265.10
1767272077,278.86
1767272078,264.99
1767272079,270.17
1767272080,274.55
1767272081,261.37
1767272082,270.37
1767272083,243.02
1767272084,223.75
1767272085,223.89
1767272086,223.20
1767272087,223.58
1767272088,223.04
1767272089,224.33
1767272090,223.40
1767272091,223.16
1767272092,222.63
1767272093,224.26
1767272094,224.09
1767272095,224.72
1767272096,224.04
1767272097,223.91
1767272098,223.95
1767272100,223.98
1767272101,223.82
1767272102,224.42
1767272103,223.44
1767272104,224.45
1767272105,224.43
1767272106,224.20
1767272107,224.10
1767272108,223.11
1767272109,221.48
1767272110,219.72
1767272111,222.35
1767272112,224.77
1767272113,224.15
1767272114,223.63
1767272115,224.56
1767272116,224.66
1767272117,224.71
1767272118,223.31
1767272119,223.63
1767272120,223.54
1767272121,224.87
1767272122,223.95
1767272123,225.73
1767272124,223.24
1767272125,222.97
1767272126,224.77
1767272127,225.49
1767272128,223.80
1767272129,224.94
1767272130,224.30
1767272131,224.07
1767272132,224.57
1767272133,223.74
1767272134,224.05
1767272135,224.10
1767272136,224.13
1767272137,224.96
1767272138,224.09
1767272140,225.64
1767272141,224.50
1767272142,223.82
1767272143,224.31
1767272144,224.65
1767272145,225.79
1767272146,224.43
1767272147,223.77
1767272148,223.99
1767272149,224.38
1767272150,223.68
1767272151,224.91
1767272152,224.34
1767272153,224.72
1767272154,224.35
1767272155,223.93
1767272156,223.99
1767272157,222.52
1767272158,223.76
1767272159,223.50
1767272160,224.07
1767272161,223.79
1767272162,222.22
1767272163,222.21
1767272164,222.97
1767272165,221.53
1767272166,219.34
1767272167,223.22
1767272168,223.24
1767272169,224.02
1767272170,225.00
1767272171,225.42
1767272172,224.62
1767272173,223.00
1767272174,223.30
1767272175,224.08
1767272176,224.28
1767272177,225.96
1767272179,226.86
1767272180,227.27
1767272181,224.72
1767272182,226.74
1767272183,229.37
1767272184,229.92
1767272185,228.67
1767272186,229.28
1767272187,228.51
1767272188,228.59
1767272189,227.74
1767272190,226.91
1767272191,226.49
1767272192,227.88
1767272193,228.69
1767272194,227.82
1767272195,228.94
1767272196,227.46
1767272197,228.08
