timestamp,gpu_util_percent,memory_util_percent
1767122817,0,0
1767122819,0,0
1767122821,0,0
1767122822,0,0
1767122824,0,0
1767122826,0,0
1767122828,0,0
1767122830,0,0
1767122832,0,0
1767122834,0,0
1767122835,0,0
1767122836,0,0
1767122837,0,0
1767122838,0,0
1767122839,0,0
1767122840,0,0
1767122841,0,0
1767122842,81,67
1767122843,82,72
1767122844,79,68
1767122845,82,72
1767122846,79,68
1767122847,82,72
1767122848,82,70
1767122849,83,72
1767122850,80,68
1767122851,83,72
1767122852,81,68
1767122853,82,72
1767122854,81,69
1767122855,83,72
1767122856,82,69
1767122857,80,69
1767122858,78,67
1767122859,80,68
1767122860,78,67
1767122861,80,68
1767122862,78,67
1767122863,48,40
1767122865,79,67
1767122866,78,67
1767122867,79,68
1767122868,77,66
1767122869,80,68
1767122870,79,67
1767122871,78,67
1767122872,79,68
1767122873,79,67
1767122874,79,67
1767122875,80,68
1767122876,82,69
1767122877,83,70
1767122878,79,67
1767122879,83,70
1767122880,80,69
1767122881,81,69
1767122882,83,69
1767122883,81,69
1767122884,82,69
1767122885,79,67
1767122886,82,69
1767122887,80,67
1767122888,82,71
1767122889,82,68
1767122890,83,70
1767122891,78,67
1767122892,78,67
1767122893,77,66
1767122894,1,1
1767122895,55,23
1767122896,79,67
1767122897,78,67
1767122898,79,66
1767122899,78,66
1767122900,78,67
1767122901,79,66
1767122903,79,66
1767122904,79,65
1767122905,84,71
1767122906,82,66
1767122907,81,62
1767122908,82,65
1767122909,87,67
1767122910,87,67
1767122911,87,67
1767122912,81,62
1767122913,84,66
1767122914,80,61
1767122915,81,64
1767122916,87,67
1767122917,86,67
1767122918,86,67
1767122919,86,67
1767122920,85,66
1767122921,80,62
1767122922,82,64
1767122923,86,67
1767122924,88,68
1767122925,87,67
1767122926,87,68
1767122927,87,68
1767122928,87,68
1767122929,87,68
1767122930,87,68
1767122931,87,67
1767122932,87,67
1767122933,87,67
1767122934,87,67
1767122935,87,67
1767122936,87,67
1767122937,87,68
1767122938,87,68
1767122939,87,68
1767122940,87,68
1767122942,88,68
1767122943,87,68
1767122944,88,68
1767122945,87,67
1767122946,87,67
1767122947,87,67
1767122948,87,68
1767122949,87,68
1767122950,90,70
1767122951,43,35
1767122952,85,67
1767122953,86,68
1767122954,87,69
1767122955,87,69
1767122956,87,69
1767122957,87,68
1767122958,87,68
1767122959,87,68
1767122960,87,69
1767122961,86,68
1767122962,86,68
1767122963,85,67
1767122964,86,68
1767122965,87,69
1767122966,87,69
1767122967,87,68
1767122968,80,62
1767122969,83,66
1767122970,85,67
1767122971,86,68
1767122972,81,65
1767122973,81,64
1767122974,79,63
1767122975,87,68
1767122976,87,68
1767122977,87,68
1767122979,86,67
1767122980,85,67
1767122981,84,67
1767122982,87,68
1767122983,87,69
1767122984,86,68
1767122985,86,68
1767122986,86,68
1767122987,86,67
1767122988,85,67
1767122989,85,67
1767122990,86,68
1767122991,86,68
1767122992,86,68
1767122993,86,68
1767122994,85,67
1767122995,86,68
1767122996,85,67
1767122997,86,67
1767122998,86,68
1767122999,86,68
1767123000,86,69
1767123001,82,66
1767123002,85,69
1767123003,85,67
1767123004,75,61
1767123005,65,52
1767123006,80,68
1767123007,83,72
1767123008,79,67
1767123009,82,72
1767123010,80,68
1767123011,83,72
1767123012,81,68
1767123013,83,72
1767123014,80,67
1767123015,83,72
1767123016,80,67
1767123018,83,72
1767123019,82,69
1767123020,84,72
1767123021,90,65
1767123022,89,65
1767123023,90,65
1767123024,89,66
1767123025,90,66
1767123026,91,66
1767123027,90,65
1767123028,89,65
1767123029,89,66
1767123030,88,65
1767123031,89,65
1767123032,89,65
1767123033,90,66
1767123034,90,67
1767123035,90,66
1767123036,89,65
1767123037,89,65
1767123038,89,66
1767123039,89,67
1767123040,89,66
1767123041,88,65
1767123042,88,65
1767123043,88,65
1767123044,89,67
1767123045,90,66
1767123046,90,66
1767123047,88,65
1767123048,89,65
1767123049,90,66
1767123050,89,67
1767123051,88,65
1767123052,88,65
1767123053,89,66
1767123054,89,65
1767123056,89,66
1767123057,89,67
1767123058,88,66
1767123059,88,66
1767123060,82,54
1767123061,86,67
1767123062,86,67
1767123063,86,67
1767123064,86,67
1767123065,86,67
1767123066,86,67
1767123067,86,67
1767123068,86,67
1767123069,82,65
1767123070,82,65
1767123071,82,65
1767123072,84,67
1767123073,81,63
1767123074,87,68
1767123075,86,67
1767123076,87,68
1767123077,86,67
1767123078,86,67
1767123079,87,68
1767123080,85,66
1767123081,86,68
1767123082,86,67
1767123083,87,68
1767123084,86,67
1767123085,87,68
1767123086,87,68
1767123087,87,68
1767123088,87,68
1767123089,87,68
1767123090,87,68
1767123091,86,68
1767123092,87,67
1767123093,86,67
1767123095,87,67
1767123096,85,66
1767123097,87,68
1767123098,87,68
1767123099,87,68
1767123100,87,68
1767123101,86,67
1767123102,87,68
1767123103,87,68
1767123104,86,67
1767123105,86,67
1767123106,86,67
1767123107,87,68
1767123108,86,68
1767123109,87,68
1767123110,86,68
1767123111,87,68
1767123112,86,67
1767123113,82,64
1767123114,80,55
1767123115,86,68
1767123116,86,68
1767123117,86,68
1767123118,86,67
1767123119,84,67
1767123120,86,68
1767123121,85,68
1767123122,86,68
1767123123,86,68
1767123124,86,68
1767123125,86,68
1767123126,85,68
1767123127,86,67
1767123128,84,67
1767123129,86,67
1767123130,86,68
1767123131,86,68
1767123132,86,68
1767123134,86,68
1767123135,85,67
1767123136,86,68
1767123137,85,67
1767123138,86,68
1767123139,86,68
1767123140,86,68
1767123141,86,68
1767123142,86,68
1767123143,86,68
1767123144,85,68
1767123145,86,68
1767123146,85,67
1767123147,86,67
1767123148,86,68
1767123149,86,69
1767123150,86,68
1767123151,85,68
1767123152,86,67
1767123153,85,67
1767123154,86,68
1767123155,86,68
1767123156,86,68
1767123157,85,67
1767123158,86,68
1767123159,86,67
1767123160,86,68
1767123161,86,68
1767123162,86,68
1767123163,86,68
1767123164,85,67
1767123165,86,67
1767123166,86,68
1767123167,88,70
1767123168,49,34
1767123169,86,69
1767123170,85,68
1767123171,85,69
1767123173,84,67
1767123174,85,68
1767123175,85,69
1767123176,86,69
1767123177,86,68
1767123178,85,68
1767123179,85,68
1767123180,86,69
1767123181,86,69
1767123182,85,69
1767123183,86,68
1767123184,85,68
1767123185,85,67
1767123186,86,68
1767123187,85,69
1767123188,80,64
1767123189,86,69
1767123190,85,68
1767123191,84,67
1767123192,85,68
1767123193,84,67
1767123194,84,67
1767123195,86,69
1767123196,85,68
1767123197,84,67
1767123198,85,67
1767123199,81,65
1767123200,86,68
1767123201,86,69
1767123202,86,68
1767123203,84,67
1767123204,83,66
1767123205,85,68
1767123206,86,69
1767123207,86,69
1767123208,86,68
1767123209,86,68
1767123210,85,68
1767123212,86,69
1767123213,86,69
1767123214,85,68
1767123215,81,66
1767123216,84,67
1767123217,84,67
1767123218,86,68
1767123219,86,69
1767123220,86,69
1767123221,86,68
1767123222,81,56
1767123223,78,62
1767123224,81,66
1767123225,78,63
1767123226,78,64
1767123227,85,69
1767123228,85,69
1767123229,85,69
1767123230,84,67
1767123231,85,68
1767123232,85,69
1767123233,85,69
1767123234,85,68
1767123235,85,68
1767123236,85,69
1767123237,86,69
1767123238,86,68
1767123239,80,65
1767123240,80,65
1767123241,80,64
1767123242,82,67
1767123243,80,65
1767123244,80,64
1767123245,80,65
1767123246,82,67
1767123247,81,66
1767123248,82,66
1767123250,86,68
1767123251,85,67
1767123252,86,70
1767123253,86,70
1767123254,84,67
1767123255,86,69
1767123256,86,70
1767123257,84,67
1767123258,86,69
1767123259,86,69
1767123260,86,69
1767123261,85,68
1767123262,86,70
1767123263,86,70
1767123264,86,68
1767123265,86,70
1767123266,85,68
1767123267,85,67
1767123268,80,66
1767123269,85,68
1767123270,85,69
1767123271,86,69
1767123272,84,67
1767123273,85,68
1767123274,86,70
1767123275,85,68
1767123276,75,52
1767123277,85,68
1767123278,85,68
1767123279,85,70
1767123280,85,69
1767123281,83,67
1767123282,85,69
1767123283,83,67
1767123284,85,70
1767123285,84,69
1767123286,85,69
1767123287,84,67
1767123289,84,68
1767123290,85,70
1767123291,85,69
1767123292,84,67
1767123293,86,70
1767123294,86,70
1767123295,82,67
1767123296,85,69
1767123297,85,70
1767123298,85,69
1767123299,85,68
1767123300,85,70
1767123301,85,69
1767123302,85,69
1767123303,85,68
1767123304,85,70
1767123305,86,70
1767123306,83,67
1767123307,85,68
1767123308,85,69
1767123309,85,69
1767123310,85,68
1767123311,85,70
1767123312,85,69
1767123313,85,69
1767123314,85,68
1767123315,85,69
1767123316,85,68
1767123317,83,67
1767123318,85,68
1767123319,85,69
1767123320,85,69
1767123321,84,68
1767123322,85,69
1767123323,85,69
1767123324,84,67
1767123325,82,67
1767123326,85,68
1767123328,85,69
1767123329,84,68
1767123330,75,52
1767123331,84,69
1767123332,85,69
1767123333,85,70
1767123334,85,69
1767123335,85,69
1767123336,85,70
1767123337,84,68
1767123338,85,69
1767123339,85,70
1767123340,84,67
1767123341,85,70
1767123342,85,69
1767123343,85,68
1767123344,83,68
1767123345,86,70
1767123346,83,67
1767123347,85,69
1767123348,85,70
1767123349,83,67
1767123350,84,68
1767123351,84,69
1767123352,85,70
1767123353,84,68
1767123354,85,70
1767123355,85,70
1767123356,83,67
1767123357,85,70
1767123358,85,70
1767123359,83,67
1767123360,85,69
1767123361,85,70
1767123362,83,67
1767123363,86,70
1767123364,85,70
1767123366,77,63
1767123367,78,65
1767123368,78,63
1767123369,78,65
1767123370,80,66
1767123371,78,63
1767123372,79,66
1767123373,84,68
1767123374,84,68
1767123375,84,69
1767123376,85,70
1767123377,83,67
1767123378,85,69
1767123379,84,69
1767123380,84,68
1767123381,83,67
1767123382,85,69
1767123383,75,53
1767123384,83,72
1767123385,81,69
1767123386,82,71
1767123387,83,71
1767123388,82,70
1767123389,82,70
1767123390,83,70
1767123391,82,70
1767123392,83,70
1767123393,82,70
1767123394,83,70
1767123395,83,71
1767123396,83,69
1767123397,83,72
1767123398,98,51
1767123399,98,50
1767123400,99,54
1767123401,98,47
1767123402,98,51
1767123403,99,56
1767123405,99,55
1767123406,99,51
1767123407,98,48
1767123408,99,56
1767123409,99,54
1767123410,99,52
1767123411,98,51
1767123412,98,49
1767123413,98,49
1767123414,98,49
1767123415,98,57
1767123416,98,58
1767123417,98,57
1767123418,98,57
1767123419,98,56
1767123420,98,53
1767123421,98,51
1767123422,98,51
1767123423,98,58
1767123424,98,57
1767123425,94,56
1767123426,98,57
1767123427,97,58
1767123428,82,54
1767123429,91,66
1767123430,89,65
1767123431,90,64
1767123432,89,65
1767123433,90,66
1767123434,90,64
1767123435,89,65
1767123436,91,66
1767123437,91,66
1767123438,89,64
1767123439,80,61
1767123440,82,59
1767123441,83,59
1767123442,83,61
1767123444,92,67
1767123445,50,34
1767123446,83,72
1767123447,82,71
1767123448,83,72
1767123449,81,69
1767123450,83,72
1767123451,80,68
1767123452,82,72
1767123453,79,67
1767123454,83,72
1767123455,82,70
1767123456,83,72
1767123457,82,70
1767123458,83,70
1767123459,82,70
1767123460,82,71
1767123461,83,71
1767123462,82,71
1767123463,83,71
1767123464,82,71
1767123465,84,71
1767123466,83,69
1767123467,82,69
1767123468,98,60
1767123469,98,57
1767123470,97,56
1767123471,98,61
1767123472,98,62
1767123473,98,59
1767123474,98,58
1767123475,97,57
1767123476,98,62
1767123477,98,63
1767123478,97,61
1767123479,98,60
1767123480,97,60
1767123481,96,59
1767123483,97,58
1767123484,97,59
1767123485,96,57
1767123486,96,57
1767123487,96,57
1767123488,96,57
1767123489,96,58
1767123490,96,57
1767123491,96,57
1767123492,96,58
1767123493,95,59
1767123494,96,59
1767123495,96,59
1767123496,95,58
1767123497,96,58
1767123498,96,57
1767123499,95,59
1767123500,96,58
1767123501,89,55
1767123502,82,72
1767123503,82,71
1767123504,83,71
1767123505,83,71
1767123506,83,72
1767123507,81,68
1767123508,83,72
1767123509,81,69
1767123510,83,72
1767123511,82,69
1767123512,83,71
1767123513,82,70
1767123514,82,70
1767123515,83,71
1767123516,84,71
1767123517,82,70
1767123518,83,72
1767123519,84,70
1767123520,85,71
1767123522,84,68
1767123523,85,71
1767123524,82,67
1767123525,85,71
1767123526,98,56
1767123527,99,58
1767123528,98,55
1767123529,98,61
1767123530,99,58
1767123531,98,61
1767123532,98,59
1767123533,98,57
1767123534,98,56
1767123535,98,62
1767123536,97,61
1767123537,97,57
1767123538,97,56
1767123539,98,63
1767123540,98,60
1767123541,97,58
1767123542,96,57
1767123543,97,57
1767123544,97,61
1767123545,97,63
1767123546,97,57
1767123547,96,57
1767123548,97,56
1767123549,97,59
1767123550,97,61
1767123551,97,63
1767123552,97,61
1767123553,98,60
1767123554,97,58
1767123555,97,57
1767123556,97,58
1767123557,97,60
1767123558,65,46
1767123559,92,65
1767123561,88,67
1767123562,87,66
1767123563,88,67
1767123564,88,67
1767123565,85,66
1767123566,83,62
1767123567,83,64
1767123568,83,63
1767123569,85,65
1767123570,82,62
1767123571,85,65
1767123572,88,67
1767123573,88,67
1767123574,88,67
1767123575,88,67
1767123576,88,67
1767123577,88,67
1767123578,88,67
1767123579,88,67
1767123580,87,67
1767123581,87,67
1767123582,83,65
1767123583,88,68
1767123584,86,67
1767123585,87,67
1767123586,87,67
1767123587,87,68
1767123588,88,68
1767123589,87,68
1767123590,88,68
1767123591,87,68
1767123592,87,67
1767123593,87,67
1767123594,87,68
1767123595,87,67
1767123596,87,67
1767123597,87,67
1767123598,87,67
1767123600,86,67
1767123601,87,68
1767123602,87,68
1767123603,87,67
1767123604,87,67
1767123605,87,67
1767123606,87,68
1767123607,88,69
1767123608,88,68
1767123609,83,64
1767123610,87,68
1767123611,87,68
1767123612,87,67
1767123613,87,67
1767123614,81,56
1767123615,86,69
1767123616,86,68
1767123617,85,67
1767123618,86,68
1767123619,86,69
1767123620,86,69
1767123621,86,68
1767123622,85,67
1767123623,86,68
1767123624,85,68
1767123625,86,69
1767123626,85,67
1767123627,85,68
1767123628,86,67
1767123629,86,68
1767123630,87,69
1767123631,85,67
1767123632,85,67
1767123633,86,68
1767123634,86,69
1767123635,86,69
1767123636,85,68
1767123637,85,67
1767123639,86,68
1767123640,87,70
1767123641,87,69
1767123642,85,67
1767123643,86,68
1767123644,86,69
1767123645,85,68
1767123646,86,68
1767123647,85,68
1767123648,85,67
1767123649,86,68
1767123650,83,67
1767123651,81,64
1767123652,81,64
1767123653,87,69
1767123654,86,69
1767123655,86,69
1767123656,85,67
