timestamp,gpu_temp_c,memory_temp_c
1767130578,72,N/A
1767130580,72,N/A
1767130582,71,N/A
1767130583,72,N/A
1767130584,76,N/A
1767130585,79,N/A
1767130586,80,N/A
1767130587,81,N/A
1767130588,80,N/A
1767130589,81,N/A
1767130591,81,N/A
1767130592,82,N/A
1767130593,82,N/A
1767130594,82,N/A
1767130595,83,N/A
1767130596,83,N/A
1767130597,83,N/A
1767130598,83,N/A
1767130599,82,N/A
1767130600,83,N/A
1767130601,83,N/A
1767130602,84,N/A
1767130603,83,N/A
1767130604,83,N/A
1767130605,83,N/A
1767130606,83,N/A
1767130607,83,N/A
1767130608,84,N/A
1767130609,83,N/A
1767130610,82,N/A
1767130611,83,N/A
1767130612,84,N/A
1767130613,84,N/A
1767130614,83,N/A
1767130615,84,N/A
1767130616,84,N/A
1767130617,83,N/A
1767130618,85,N/A
1767130619,84,N/A
1767130620,81,N/A
1767130621,80,N/A
1767130622,80,N/A
1767130623,80,N/A
1767130624,79,N/A
1767130625,79,N/A
1767130626,79,N/A
1767130627,79,N/A
1767130628,79,N/A
1767130630,78,N/A
1767130631,78,N/A
1767130632,78,N/A
1767130633,78,N/A
1767130634,78,N/A
1767130635,78,N/A
1767130636,78,N/A
1767130637,78,N/A
1767130638,77,N/A
1767130639,77,N/A
1767130640,78,N/A
1767130641,78,N/A
1767130642,78,N/A
1767130643,77,N/A
1767130644,77,N/A
1767130645,77,N/A
1767130646,77,N/A
1767130647,77,N/A
1767130648,77,N/A
1767130649,77,N/A
1767130650,77,N/A
1767130651,77,N/A
1767130652,77,N/A
1767130653,77,N/A
1767130654,77,N/A
1767130655,77,N/A
1767130656,76,N/A
1767130657,76,N/A
1767130658,77,N/A
1767130659,77,N/A
1767130660,76,N/A
1767130661,76,N/A
1767130662,76,N/A
1767130663,76,N/A
1767130664,76,N/A
1767130665,76,N/A
1767130666,76,N/A
1767130667,76,N/A
1767130669,76,N/A
1767130670,76,N/A
1767130671,76,N/A
