timestamp,gpu_temp_c,memory_temp_c
1767154645,66,N/A
1767154646,66,N/A
1767154647,66,N/A
1767154648,66,N/A
1767154649,66,N/A
1767154650,66,N/A
1767154651,66,N/A
1767154652,73,N/A
1767154653,74,N/A
1767154654,74,N/A
1767154655,75,N/A
1767154656,75,N/A
1767154657,76,N/A
1767154658,77,N/A
1767154659,76,N/A
1767154660,77,N/A
1767154661,78,N/A
1767154662,78,N/A
1767154663,78,N/A
1767154664,78,N/A
1767154665,79,N/A
1767154666,78,N/A
1767154667,79,N/A
1767154668,79,N/A
1767154669,79,N/A
1767154671,80,N/A
1767154672,80,N/A
1767154673,80,N/A
1767154674,80,N/A
1767154675,81,N/A
1767154676,80,N/A
1767154677,80,N/A
1767154678,81,N/A
1767154679,81,N/A
1767154680,81,N/A
1767154681,81,N/A
1767154682,81,N/A
1767154683,81,N/A
1767154684,81,N/A
1767154685,81,N/A
1767154686,81,N/A
1767154687,81,N/A
1767154688,81,N/A
1767154689,81,N/A
1767154690,81,N/A
1767154691,81,N/A
1767154692,81,N/A
1767154693,82,N/A
1767154694,81,N/A
1767154695,81,N/A
1767154696,82,N/A
1767154697,81,N/A
1767154698,82,N/A
1767154699,82,N/A
1767154700,81,N/A
1767154701,81,N/A
1767154702,81,N/A
1767154703,81,N/A
1767154704,82,N/A
1767154705,82,N/A
1767154706,82,N/A
1767154707,82,N/A
1767154708,82,N/A
1767154710,82,N/A
1767154711,82,N/A
1767154712,82,N/A
1767154713,82,N/A
1767154714,82,N/A
1767154715,82,N/A
1767154716,81,N/A
1767154717,82,N/A
1767154718,82,N/A
1767154719,82,N/A
1767154720,82,N/A
1767154721,82,N/A
1767154722,82,N/A
1767154723,82,N/A
1767154724,82,N/A
1767154725,83,N/A
1767154726,82,N/A
1767154727,82,N/A
1767154728,82,N/A
1767154729,82,N/A
1767154730,82,N/A
1767154731,83,N/A
1767154732,82,N/A
1767154733,83,N/A
1767154734,82,N/A
1767154735,82,N/A
1767154736,82,N/A
1767154737,83,N/A
1767154738,82,N/A
1767154739,82,N/A
1767154740,82,N/A
1767154741,82,N/A
1767154742,83,N/A
1767154743,83,N/A
1767154744,82,N/A
1767154745,82,N/A
1767154746,83,N/A
1767154747,82,N/A
1767154749,82,N/A
1767154750,83,N/A
1767154751,83,N/A
1767154752,82,N/A
1767154753,83,N/A
1767154754,82,N/A
1767154755,83,N/A
