timestamp,gpu_temp_c,memory_temp_c
1767166398,72,N/A
1767166400,72,N/A
1767166401,71,N/A
1767166403,72,N/A
1767166404,72,N/A
1767166405,77,N/A
1767166406,78,N/A
1767166407,79,N/A
1767166408,79,N/A
1767166409,79,N/A
1767166410,79,N/A
1767166411,80,N/A
1767166412,80,N/A
1767166414,81,N/A
1767166415,80,N/A
1767166416,81,N/A
1767166417,81,N/A
1767166418,82,N/A
1767166419,82,N/A
1767166420,81,N/A
1767166421,82,N/A
1767166422,82,N/A
1767166423,82,N/A
1767166424,83,N/A
1767166425,82,N/A
1767166426,82,N/A
1767166427,82,N/A
1767166428,81,N/A
1767166429,83,N/A
1767166430,83,N/A
1767166431,83,N/A
1767166432,82,N/A
1767166433,82,N/A
1767166434,83,N/A
1767166435,83,N/A
1767166436,84,N/A
1767166437,82,N/A
1767166438,82,N/A
1767166439,83,N/A
1767166440,83,N/A
1767166441,83,N/A
1767166442,82,N/A
1767166443,84,N/A
1767166444,82,N/A
1767166445,82,N/A
1767166446,83,N/A
1767166447,83,N/A
1767166448,83,N/A
1767166449,83,N/A
1767166450,83,N/A
1767166451,83,N/A
1767166453,83,N/A
1767166454,81,N/A
1767166455,82,N/A
1767166456,82,N/A
1767166457,83,N/A
1767166458,83,N/A
1767166459,83,N/A
1767166460,82,N/A
1767166461,82,N/A
1767166462,83,N/A
1767166463,82,N/A
1767166464,83,N/A
1767166465,83,N/A
1767166466,82,N/A
1767166467,82,N/A
1767166468,82,N/A
1767166469,82,N/A
1767166470,82,N/A
1767166471,83,N/A
1767166472,83,N/A
1767166473,82,N/A
1767166474,80,N/A
1767166475,83,N/A
1767166476,83,N/A
1767166477,82,N/A
1767166478,82,N/A
1767166479,82,N/A
1767166480,83,N/A
1767166481,83,N/A
1767166482,83,N/A
1767166483,83,N/A
1767166484,82,N/A
1767166485,83,N/A
1767166486,83,N/A
1767166487,83,N/A
1767166488,82,N/A
1767166489,82,N/A
1767166490,82,N/A
1767166492,83,N/A
1767166493,82,N/A
1767166494,83,N/A
1767166495,83,N/A
1767166496,82,N/A
1767166497,83,N/A
1767166498,83,N/A
1767166499,82,N/A
1767166500,82,N/A
1767166501,83,N/A
1767166502,83,N/A
1767166503,83,N/A
1767166504,83,N/A
1767166505,83,N/A
1767166506,83,N/A
1767166507,83,N/A
1767166508,82,N/A
1767166509,82,N/A
1767166510,82,N/A
1767166511,82,N/A
1767166512,83,N/A
1767166513,83,N/A
1767166514,83,N/A
1767166515,83,N/A
1767166516,83,N/A
1767166517,82,N/A
1767166518,82,N/A
1767166519,82,N/A
1767166520,82,N/A
1767166521,82,N/A
1767166522,82,N/A
1767166523,82,N/A
1767166524,82,N/A
1767166525,83,N/A
1767166526,82,N/A
1767166527,82,N/A
1767166528,83,N/A
1767166529,83,N/A
1767166531,83,N/A
1767166532,83,N/A
1767166533,82,N/A
1767166534,82,N/A
1767166535,82,N/A
1767166536,83,N/A
1767166537,83,N/A
1767166538,83,N/A
1767166539,82,N/A
1767166540,82,N/A
1767166541,82,N/A
1767166542,83,N/A
1767166543,82,N/A
1767166544,82,N/A
1767166545,82,N/A
1767166546,82,N/A
1767166547,82,N/A
1767166548,82,N/A
1767166549,82,N/A
1767166550,82,N/A
1767166551,83,N/A
1767166552,83,N/A
1767166553,83,N/A
1767166554,83,N/A
1767166555,82,N/A
1767166556,82,N/A
1767166557,81,N/A
1767166558,82,N/A
1767166559,82,N/A
1767166560,82,N/A
1767166561,83,N/A
1767166562,83,N/A
1767166563,83,N/A
1767166564,83,N/A
1767166565,83,N/A
1767166566,82,N/A
1767166567,82,N/A
1767166569,83,N/A
1767166570,83,N/A
1767166571,83,N/A
1767166572,82,N/A
1767166573,81,N/A
1767166574,82,N/A
1767166575,83,N/A
1767166576,83,N/A
1767166577,83,N/A
1767166578,83,N/A
1767166579,83,N/A
1767166580,82,N/A
1767166581,81,N/A
1767166582,83,N/A
1767166583,83,N/A
1767166584,83,N/A
1767166585,83,N/A
1767166586,82,N/A
1767166587,82,N/A
1767166588,82,N/A
1767166589,81,N/A
1767166590,83,N/A
1767166591,83,N/A
1767166592,83,N/A
1767166593,83,N/A
1767166594,83,N/A
1767166595,83,N/A
1767166596,82,N/A
1767166597,83,N/A
1767166598,82,N/A
1767166599,82,N/A
1767166600,82,N/A
1767166601,82,N/A
1767166602,83,N/A
1767166603,83,N/A
1767166604,83,N/A
1767166605,83,N/A
1767166606,83,N/A
1767166608,82,N/A
1767166609,82,N/A
1767166610,82,N/A
1767166611,82,N/A
1767166612,83,N/A
1767166613,82,N/A
1767166614,81,N/A
1767166615,82,N/A
1767166616,82,N/A
1767166617,82,N/A
1767166618,82,N/A
1767166619,83,N/A
1767166620,83,N/A
1767166621,82,N/A
1767166622,83,N/A
1767166623,83,N/A
1767166624,82,N/A
1767166625,82,N/A
1767166626,82,N/A
1767166627,83,N/A
1767166628,83,N/A
1767166629,83,N/A
1767166630,83,N/A
1767166631,83,N/A
1767166632,82,N/A
1767166633,83,N/A
1767166634,83,N/A
1767166635,83,N/A
1767166636,82,N/A
1767166637,83,N/A
1767166638,83,N/A
1767166639,82,N/A
1767166640,83,N/A
1767166641,83,N/A
1767166642,82,N/A
1767166643,82,N/A
1767166644,82,N/A
1767166645,83,N/A
1767166647,83,N/A
1767166648,83,N/A
1767166649,83,N/A
1767166650,82,N/A
1767166651,83,N/A
1767166652,83,N/A
1767166653,82,N/A
1767166654,82,N/A
1767166655,83,N/A
1767166656,83,N/A
1767166657,82,N/A
1767166658,83,N/A
1767166659,82,N/A
1767166660,83,N/A
1767166661,82,N/A
1767166662,83,N/A
1767166663,83,N/A
1767166664,83,N/A
1767166665,82,N/A
1767166666,82,N/A
1767166667,83,N/A
1767166668,83,N/A
1767166669,83,N/A
1767166670,82,N/A
1767166671,82,N/A
1767166672,83,N/A
1767166673,83,N/A
1767166674,83,N/A
1767166675,81,N/A
1767166676,81,N/A
1767166677,82,N/A
1767166678,83,N/A
1767166679,83,N/A
1767166680,83,N/A
1767166681,82,N/A
1767166682,82,N/A
1767166683,82,N/A
1767166684,82,N/A
1767166685,82,N/A
1767166687,83,N/A
1767166688,83,N/A
1767166689,83,N/A
1767166690,83,N/A
1767166691,83,N/A
1767166692,83,N/A
1767166693,83,N/A
1767166694,82,N/A
1767166695,83,N/A
1767166696,83,N/A
1767166697,83,N/A
1767166698,83,N/A
1767166699,83,N/A
1767166700,82,N/A
1767166701,82,N/A
1767166702,83,N/A
1767166703,83,N/A
1767166704,83,N/A
1767166705,83,N/A
1767166706,82,N/A
1767166707,82,N/A
1767166708,82,N/A
1767166709,82,N/A
1767166710,82,N/A
1767166711,83,N/A
1767166712,83,N/A
1767166713,83,N/A
1767166714,83,N/A
1767166715,83,N/A
1767166716,83,N/A
1767166717,82,N/A
1767166718,82,N/A
1767166719,82,N/A
1767166720,81,N/A
1767166721,82,N/A
1767166722,82,N/A
1767166723,83,N/A
1767166724,83,N/A
1767166726,83,N/A
1767166727,83,N/A
1767166728,82,N/A
1767166729,83,N/A
1767166730,84,N/A
1767166731,83,N/A
1767166732,83,N/A
1767166733,82,N/A
1767166734,82,N/A
1767166735,83,N/A
1767166736,83,N/A
1767166737,82,N/A
1767166738,82,N/A
1767166739,82,N/A
1767166740,83,N/A
1767166741,84,N/A
1767166742,83,N/A
1767166743,83,N/A
1767166744,82,N/A
1767166745,82,N/A
1767166746,82,N/A
1767166747,82,N/A
1767166748,83,N/A
1767166749,83,N/A
1767166750,83,N/A
1767166751,82,N/A
1767166752,82,N/A
1767166753,82,N/A
1767166754,83,N/A
1767166755,83,N/A
1767166756,83,N/A
1767166757,84,N/A
1767166758,82,N/A
1767166759,82,N/A
1767166760,82,N/A
1767166761,83,N/A
1767166762,83,N/A
1767166763,83,N/A
1767166765,82,N/A
1767166766,82,N/A
1767166767,83,N/A
1767166768,83,N/A
1767166769,83,N/A
1767166770,82,N/A
1767166771,82,N/A
1767166772,83,N/A
1767166773,82,N/A
1767166774,83,N/A
1767166775,83,N/A
1767166776,83,N/A
1767166777,82,N/A
1767166778,81,N/A
1767166779,83,N/A
1767166780,82,N/A
1767166781,83,N/A
1767166782,82,N/A
1767166783,83,N/A
1767166784,82,N/A
1767166785,82,N/A
1767166786,83,N/A
1767166787,83,N/A
1767166788,83,N/A
1767166789,83,N/A
1767166790,83,N/A
1767166791,83,N/A
1767166792,82,N/A
1767166793,82,N/A
1767166794,83,N/A
1767166795,82,N/A
1767166796,82,N/A
1767166797,82,N/A
1767166798,82,N/A
1767166799,83,N/A
1767166800,83,N/A
1767166801,83,N/A
1767166802,82,N/A
1767166803,82,N/A
1767166805,82,N/A
1767166806,83,N/A
1767166807,82,N/A
1767166808,83,N/A
1767166809,83,N/A
1767166810,83,N/A
1767166811,82,N/A
1767166812,82,N/A
1767166813,82,N/A
1767166814,83,N/A
1767166815,83,N/A
1767166816,82,N/A
1767166817,83,N/A
1767166818,82,N/A
1767166819,82,N/A
1767166820,83,N/A
1767166821,82,N/A
1767166822,83,N/A
1767166823,83,N/A
1767166824,83,N/A
1767166825,84,N/A
1767166826,82,N/A
1767166827,83,N/A
1767166828,83,N/A
1767166829,83,N/A
1767166830,82,N/A
1767166831,82,N/A
1767166832,82,N/A
1767166833,83,N/A
1767166834,83,N/A
1767166835,82,N/A
1767166836,82,N/A
1767166837,83,N/A
1767166838,83,N/A
1767166839,83,N/A
1767166840,83,N/A
1767166841,83,N/A
1767166842,84,N/A
1767166844,82,N/A
1767166845,83,N/A
1767166846,82,N/A
1767166847,82,N/A
1767166848,83,N/A
1767166849,83,N/A
1767166850,83,N/A
1767166851,82,N/A
1767166852,83,N/A
1767166853,82,N/A
1767166854,83,N/A
1767166855,83,N/A
1767166856,82,N/A
1767166857,83,N/A
1767166858,83,N/A
1767166859,82,N/A
1767166860,82,N/A
1767166861,82,N/A
1767166862,82,N/A
1767166863,83,N/A
1767166864,82,N/A
1767166865,83,N/A
1767166866,84,N/A
1767166867,82,N/A
1767166868,83,N/A
1767166869,82,N/A
1767166870,82,N/A
1767166871,83,N/A
1767166872,83,N/A
1767166873,83,N/A
1767166874,82,N/A
1767166875,83,N/A
1767166876,82,N/A
1767166877,83,N/A
1767166878,82,N/A
1767166879,83,N/A
1767166880,83,N/A
1767166881,83,N/A
1767166882,84,N/A
1767166884,83,N/A
1767166885,82,N/A
1767166886,81,N/A
1767166887,83,N/A
1767166888,83,N/A
1767166889,83,N/A
1767166890,83,N/A
1767166891,82,N/A
1767166892,83,N/A
1767166893,83,N/A
1767166894,83,N/A
1767166895,83,N/A
1767166896,82,N/A
1767166897,81,N/A
1767166898,83,N/A
1767166899,82,N/A
1767166900,83,N/A
1767166901,83,N/A
1767166902,81,N/A
1767166903,83,N/A
1767166904,83,N/A
1767166905,83,N/A
1767166906,83,N/A
1767166907,82,N/A
1767166908,82,N/A
